document,chunk_label,allowed_change
result,tbl-h06-key-sensitivities,"Reader label for site weighting and sentence-case stability classification"
result,tbl-h06-model-checks,"Map stored numerical-gate boolean to Meets numerical checks or Review needed"
result,tbl-h06-figure-readability-checks,"Map stored REPORT-011 state to Verified or Review needed"
companion,setup-h06-preparation,"Reader-role strings only: site-average wording, stored-model wording, and primary model-bundle label"
companion,tbl-h06-prep-render-boundary,"Map workflow states to Read from stored records or Not repeated here"
companion,tbl-h06-prep-shared-provenance,"Map stored status to Verified or Review needed and space the record label"
companion,tbl-h06-prep-input-provenance,"Map stored identity boolean to Verified or Review needed and space the input role"
companion,tbl-h06-prep-diary-pin,"Map stored local-rewrite boolean to Yes or No"
companion,tbl-h06-prep-frame-integrity,"Map stored role IDs and identity booleans to reader labels"
companion,tbl-h06-prep-fit-diagnostics,"Map stored convergence, rank, covariance, and numerical-check booleans to reader labels"
companion,tbl-h06-prep-influence,"Map stored convergence booleans to Yes or No"
companion,tbl-h06-prep-sensitivity-stability,"Map ten stored comparison IDs and stability classes to plain reader labels"
companion,tbl-h06-prep-temporal-formulas,"Map stored logical fields to Yes or No and remove workflow wording from the caption"
companion,tbl-h06-prep-temporal-diagnostics,"Map stored convergence boolean to Yes or No"
companion,tbl-h06-prep-output-inventory,"Remove workflow wording from the caption only"
companion,tbl-h06-prep-environment,"Remove workflow wording from the caption only"
companion,tbl-h06-prep-source-data,"Remove workflow wording from the caption and one descriptive identity string only"
