domain,check_id,pass,detail
historical seals,manifest_1_exact_or_classified,TRUE,rows=29 live_exact=28 classified=1
historical seals,manifest_2_exact_or_classified,TRUE,rows=6 live_exact=6 classified=0
historical seals,manifest_3_exact_or_classified,TRUE,rows=16 live_exact=15 classified=1
historical seals,manifest_4_exact_or_classified,TRUE,rows=16 live_exact=15 classified=1
historical seals,manifest_5_exact_or_classified,TRUE,rows=12 live_exact=12 classified=0
historical seals,manifest_6_exact_or_classified,TRUE,rows=10 live_exact=10 classified=0
identity,source_target_profile_lock_resource_matrix_and_corpus_exact,TRUE,exact=8/8
render,exactly_one_target_render_completed,TRUE,command_count=1 exit=0 semantic=NO_GT
semantic,no_gt_summary_exact,TRUE,tables=0 ids=0 headers=0 substitutions=0
DOM,target_structure_and_nonexecution_exact,TRUE,main=1 headings=4 duplicate_ids=0
links,all_internal_links_and_fragments_resolve,TRUE,resolved=44/44
contracts,preflight_postrender_and_structural_tests_pass,TRUE,preflight=10/10 postrender=6/6 tests=4/4
visual,bounded_loopback_visual_qa_and_teardown_pass,TRUE,checks=8/8 screenshots=6/6 routes=4/4 console=0 listener=none
stability,postrender_postqa_and_live_inventories_exact,TRUE,build=1180/1180 protected=12991/12991 symlinks=0
coordination,order62_active_state_is_unique,TRUE,matrix=15x16 shared_active=1
evidence,stopped_harness_and_final_completion_evidence_retained,TRUE,"initial checker, two visual sealer stops, pre-QA validation, final completion retained"
