check,pass,detail
dispatch_18_of_18,TRUE,18/18
accepted_build_893,TRUE,893/893
candidate_build_893,TRUE,893
zero_symlinks,TRUE,0
other_891_exact,TRUE,891
other_36_routes_exact,TRUE,36
new_landing_clean_dom,TRUE,0 duplicates and 0 unresolved IDREF/header tokens
authors_28,TRUE,28
gt_tables_19,TRUE,19
figures_20,TRUE,20
header_tokens_2762,TRUE,2762
fragments_124,TRUE,124
table3_metric_order,TRUE,Duration | Dynamics | Exposure history | Level | Spectrum | Timing
s5_two_panel_svg,TRUE,SVG
brown_svg_exact,TRUE,200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653
s12_without_mder_legend,TRUE,no MDER legend
docx_exact,TRUE,74193a7a787ea18d70933b1742e588304a6bf6050c8b43e8a0a0cc352b44a2b8
local_references_resolve,TRUE,46071/46071
no_render_invoked,TRUE,program contains no render command
