role,path,sha256,bytes,observed_sha256,observed_bytes,exact
sealed_order,audit/report_harmonization/owner_orders/71c_nature_health_final_landing_and_download_resync.md,2904d45ad2349a1d2a7f8468bccf55a056f75468e722cc820fda8bbc00808512,5075,2904d45ad2349a1d2a7f8468bccf55a056f75468e722cc820fda8bbc00808512,5075,TRUE
writer_order71a_acceptance,audit/report_harmonization/report018_writer_order71a_independent_acceptance.md,40536b9bdea257b3c7e79d05d49b2f96dabb25cbbe741c507ece17faf6447cb6,2961,40536b9bdea257b3c7e79d05d49b2f96dabb25cbbe741c507ece17faf6447cb6,2961,TRUE
writer_order71a_acceptance_manifest,audit/report_harmonization/report018_writer_order71a_independent_acceptance_manifest.csv,891131a789d39d86b167a9166b527b558cc1f270febc1ceec7eb90bec5b7b797,2719,891131a789d39d86b167a9166b527b558cc1f270febc1ceec7eb90bec5b7b797,2719,TRUE
writer_order71b2d_acceptance,audit/report_harmonization/report018_writer_order71b2d_independent_acceptance.md,29d0e64e947d13a947cde77fa8fd87faada7db86f7261c074c1ff7be055442f5,1818,29d0e64e947d13a947cde77fa8fd87faada7db86f7261c074c1ff7be055442f5,1818,TRUE
writer_order71b2d_acceptance_manifest,audit/report_harmonization/report018_writer_order71b2d_independent_acceptance_manifest.csv,b04f1f68e7771719b550511cc1eea825625937cca9fc3e0838468ca21851e82e,2426,b04f1f68e7771719b550511cc1eea825625937cca9fc3e0838468ca21851e82e,2426,TRUE
accepted_html,manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.html,438f80545e09eb1844d15c3d4495d7d2d4dbc07bcf039f4c8e4430b18e79ee0c,30877834,438f80545e09eb1844d15c3d4495d7d2d4dbc07bcf039f4c8e4430b18e79ee0c,30877834,TRUE
accepted_docx,manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.docx,74193a7a787ea18d70933b1742e588304a6bf6050c8b43e8a0a0cc352b44a2b8,28793619,74193a7a787ea18d70933b1742e588304a6bf6050c8b43e8a0a0cc352b44a2b8,28793619,TRUE
accepted_s6_svg,manuscript/R0_NatHealth/display_assets/brown_participant_state_raincloud.svg,200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653,108600,200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653,108600,TRUE
protected_main_qmd,manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd,a527b6cb9ba689ab15370a05776280c632073ef27b79320a271feca96b27c69f,81434,a527b6cb9ba689ab15370a05776280c632073ef27b79320a271feca96b27c69f,81434,TRUE
protected_si_qmd,manuscript/R0_NatHealth/supplementary_information_outline.qmd,fbfdde52cd24a60a5ff19eefb7901d3b7dcb268d97c2c922e0e87e7c944c652e,25590,fbfdde52cd24a60a5ff19eefb7901d3b7dcb268d97c2c922e0e87e7c944c652e,25590,TRUE
landing_preimage,_build/nathealth/index.html,c8abe2f9fbfcbe2fc8b4e39e149797a6dc2d74a5735337ed2399fb6e5814eb21,29023063,c8abe2f9fbfcbe2fc8b4e39e149797a6dc2d74a5735337ed2399fb6e5814eb21,29023063,TRUE
download_preimage,_build/nathealth/ZaunerEtAl2026_NatHealth_phase3_brown.docx,6cd592391f720829ed278a35e81c854ee7fd54eca6a4a4e664faad7b37310f91,28792333,6cd592391f720829ed278a35e81c854ee7fd54eca6a4a4e664faad7b37310f91,28792333,TRUE
corpus_manifest_preimage,audit/report_harmonization/phase4_corpus_manifest.csv,b807197850b3d9024899da79403f3aec7d716f9be785fe1eefe6500e1ac1e55d,11479,b807197850b3d9024899da79403f3aec7d716f9be785fe1eefe6500e1ac1e55d,11479,TRUE
accepted_order70_implementation,audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/order70_integrate_verify_promote.R,f87eaf01f7ea76cba94a1d30bd45ddc07c6fcf55f8ea87c1bb94bf510a56f66a,53241,f87eaf01f7ea76cba94a1d30bd45ddc07c6fcf55f8ea87c1bb94bf510a56f66a,53241,TRUE
accepted_build_inventory,audit/report_harmonization/nathealth_final_landing_integration_2026_09_02/post_promotion_build_inventory.csv,4e468ad26edfcb5f877428549b6734543380e9cd50381b8eb640be30ceac315f,124629,4e468ad26edfcb5f877428549b6734543380e9cd50381b8eb640be30ceac315f,124629,TRUE
navigation_acceptance,audit/report_harmonization/report018_navigation_order67a_independent_acceptance.md,d0398d9872340a5245beccc8462daee155f7a709503834cd6a7d882dba018cc8,2444,d0398d9872340a5245beccc8462daee155f7a709503834cd6a7d882dba018cc8,2444,TRUE
protected_mobile_toc_include,_includes/nathealth-mobile-toc.html,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,1542,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,1542,TRUE
protected_site_stylesheet,styles-nathealth.css,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,4548,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,4548,TRUE
