position,node_name,id,source_sha256,candidate_sha256,exact
1,header,title-block-header,963286317d60303521f208b70ac085b2773a6e0d234968a3c2ae815c231bfccd,963286317d60303521f208b70ac085b2773a6e0d234968a3c2ae815c231bfccd,TRUE
2,p,,4a4b25ea48f3ba1a7cb5c0c636ab1505947c4bdcf5150c8c49c130df4e1a31f9,4a4b25ea48f3ba1a7cb5c0c636ab1505947c4bdcf5150c8c49c130df4e1a31f9,TRUE
3,p,,8c4cdd5c5adb1745995008b81302f5878786aa1057d011e7e866eff752fb13b3,8c4cdd5c5adb1745995008b81302f5878786aa1057d011e7e866eff752fb13b3,TRUE
4,p,,50f3f2b361f11add1215b4369a81f04e71d54982e898a68194ea79548136bfcf,50f3f2b361f11add1215b4369a81f04e71d54982e898a68194ea79548136bfcf,TRUE
5,p,,9a2414efa979e0852c5cc6ef6fb25ed6c0080a723c9604070432453f8ce9e5cf,9a2414efa979e0852c5cc6ef6fb25ed6c0080a723c9604070432453f8ce9e5cf,TRUE
6,section,results,4f74c39fb1c90a5a8918d8582e4e0ec40d10049145696c344aa8c68fa9b6add0,4f74c39fb1c90a5a8918d8582e4e0ec40d10049145696c344aa8c68fa9b6add0,TRUE
7,section,discussion,c41745734faa7e8a33820ef0542466673fee2bd8ab82207b4b140b1d88e27a08,c41745734faa7e8a33820ef0542466673fee2bd8ab82207b4b140b1d88e27a08,TRUE
8,section,methods,6e45fbe9d1231df1c5fe2c23932ffe36919166218c70bc8cd082fc92a0c2d579,6e45fbe9d1231df1c5fe2c23932ffe36919166218c70bc8cd082fc92a0c2d579,TRUE
9,section,data-availability,c7cc48f5061887d0a89ac18f1a236c520c1cdf7e28e503d4ff2bbf309d33c9c6,c7cc48f5061887d0a89ac18f1a236c520c1cdf7e28e503d4ff2bbf309d33c9c6,TRUE
10,section,code-availability,750f5047c0e9d078442784403eef0022ef08594f963d33bb67bf70834fa61e13,750f5047c0e9d078442784403eef0022ef08594f963d33bb67bf70834fa61e13,TRUE
11,section,references,96140a2a2fc676107dabd03c7ff13a635524e7b69943af182715f01d67d40269,96140a2a2fc676107dabd03c7ff13a635524e7b69943af182715f01d67d40269,TRUE
12,section,acknowledgements,f73cc3256795aba56cb833410166c992c369324086fdb239ae7fc0237ba5f223,f73cc3256795aba56cb833410166c992c369324086fdb239ae7fc0237ba5f223,TRUE
13,section,funding,ab6b615a5aab3673024f5d58daf73334b2d8a6aa4cb4b1755c8760173c0169f4,ab6b615a5aab3673024f5d58daf73334b2d8a6aa4cb4b1755c8760173c0169f4,TRUE
14,section,author-contributions,079fb408e4c917150d85dbb52ce9d3eea4870b1fea127481061c3409c71d98e9,079fb408e4c917150d85dbb52ce9d3eea4870b1fea127481061c3409c71d98e9,TRUE
15,section,competing-interests,7cdd25f5c48a13e3249f57e77d3255e4e3e3b34b315c4f69df45fdc5e0c913ed,7cdd25f5c48a13e3249f57e77d3255e4e3e3b34b315c4f69df45fdc5e0c913ed,TRUE
16,section,supplementary-information,26ef4261bfaa0bf847999b341e3513062108ead4a4f08033d00b32212251c240,26ef4261bfaa0bf847999b341e3513062108ead4a4f08033d00b32212251c240,TRUE
