metric,observed,expected,pass
authors_meta,28,28,TRUE
authors_body,28,28,TRUE
gt_tables,19,19,TRUE
table_header_tokens,2762,2762,TRUE
unresolved_table_headers,0,0,TRUE
figure_endpoints,20,20,TRUE
embedded_images,74,74,TRUE
main_internal_fragments,124,124,TRUE
unresolved_idrefs,0,0,TRUE
duplicate_id_values,0,0,TRUE
brown_svg_bytes,108600,108600,TRUE
brown_svg_sha256_exact,TRUE,TRUE,TRUE
s5_svg_two_panel,TRUE,TRUE,TRUE
s12_mder_legend_absent,TRUE,TRUE,TRUE
table3_metric_order,Duration | Dynamics | Exposure history | Level | Spectrum | Timing,Duration | Dynamics | Exposure history | Level | Spectrum | Timing,TRUE
docx_links,1,1,TRUE
toc_links,42,42,TRUE
script_count,20,20,TRUE
main_inner_raw_sha256,9162b8b2c59d1ec5e8b68600925ee2ca7711dd0805bd967780ce3637a98757ec,9162b8b2c59d1ec5e8b68600925ee2ca7711dd0805bd967780ce3637a98757ec,TRUE
