"domain","observed","status","detail"
"tables","15 native gt tables","PASS","All tables and captions inspected at desktop and 708-pixel widths"
"table_typography","minimum 11 CSS px / 8.25 pt","PASS","Above the 7-pt essential-text threshold"
"table_scrollers","one required scroller","PASS","Table 8 scroll width 677 px within a 657-px overflow-x auto container"
"figures","eight reader figures","PASS","All load successfully; both hidden Chest panels were activated and inspected"
"figure_170mm_typography","essential 7.649 pt; minor 7.012 pt","PASS","Eight accepted assets inspected at 642-pixel width"
"captions","23 nonempty captions","PASS","No missing caption"
"alt_text","eight nonempty alt texts","PASS","No missing alt text"
"responsive_navigation","sidebar disclosure","PASS","Opened with aria-expanded true and closed with aria-expanded false"
"placement_tabsets","two Near-eye/Chest tabsets","PASS","Both Chest panels opened and Near eye was restored"
"reciprocal_link","H11 result to preparation and preparation to H11 result","PASS","Both directions present and the preparation page loaded"
"deviation_links","12 occurrences; 10 unique DEV targets","PASS","All 10 unique targets present; DEV-003 landed visibly"
"source_data_links","13 occurrences; 12 unique CSV targets","PASS","Complete verifier resolved all; representative CSV GET returned 200. Browser client blocked raw CSV display after the successful response"
"same_page_links","59 occurrences; 47 unique targets","PASS","Complete verifier resolved the link and anchor contract"
"console","zero warnings or errors","PASS","H11 page console remained clean"
"privacy","no visible local path, username, or file URL","PASS","No /Users path, username, or file:// text in the reader page"
"clipping_and_overlap","none in reader content","PASS","A cropped Table 4 clip was a screenshot-coordinate artifact; the direct live viewport showed the full table"
"favicon","one automatic favicon request returned 404","NONBLOCKING","No browser-console warning or error and no reader content depended on it"
