"check","pass","detail"
"build_entries_1180",TRUE,"1,180 entries"
"zero_symlinks",TRUE,"zero build symlinks"
"build_byte_identical",TRUE,"pre/post inventory byte-identical"
"protected_336",TRUE,"336 paths"
"protected_byte_identical",TRUE,"pre/post inventory byte-identical"
"science_193",TRUE,"193 scientific assets"
"science_byte_identical",TRUE,"pre/post inventory byte-identical"
"critical_38",TRUE,"38 critical paths"
"critical_byte_identical",TRUE,"pre/post inventory byte-identical"
"result_html_exact",TRUE,"fixed Order 60b HTML"
"stage3_test_exact",TRUE,"authorized Order 60c postimage"
