"operation","count","status","detail"
"Stage 3 test edit","1","PASS","Exactly three line-local replacements"
"complete verifier invocation","1","PASS","14/14"
"Quarto invocation","0","PASS","Prohibited and not run"
"Pandoc invocation","0","PASS","Prohibited and not run"
"semantic hook invocation","0","PASS","Preserved Order 60b evidence reused"
"preparation helper invocation","0","PASS","Held"
"preparation test invocation","0","PASS","Held"
"result render","0","PASS","Order 60b HTML preserved"
"companion render","0","PASS","Held"
"sensitivity execution","0","PASS","Held"
"commit push or upload","0","PASS","Not authorized"
