placement,sample_scenario,metric_order,metric_id,manuscript_name,estimate_main,estimate_gap_timing_unaware,conf_low_main,conf_low_gap_timing_unaware,conf_high_main,conf_high_gap_timing_unaware,p_adjusted_main,p_adjusted_gap_timing_unaware,adjusted_significant_main,adjusted_significant_gap_timing_unaware,participants_main,participants_gap_timing_unaware,participant_days_main,participant_days_gap_timing_unaware,sites_main,sites_gap_timing_unaware,row_key_hash_main,row_key_hash_gap_timing_unaware,exact_common_keys,stability_classification,abbreviation,effect_scale,included_in_identity_plot,placement_label,primary_log_ratio,gap_log_ratio
chest,main_gap_common_sample,1,daily_geometric_mean_medi,Mean melEDI,-0.029499862865615706,-0.02928924547218177,-0.07636257505978256,-0.07636253038270734,0.017362849328551144,0.017784039438343793,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty,Mean,ratio,TRUE,Chest,-0.06792594447973534,-0.0674409800092891
chest,main_gap_common_sample,2,m10_mean_medi,Brightest 10 h mean,-0.05134899858628752,-0.05192753464607254,-0.1190596317652855,-0.11818964008341112,0.016361634592710457,0.014334570791266044,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty,M10mean,ratio,TRUE,Chest,-0.11823543868495798,-0.11956756719197847
chest,main_gap_common_sample,3,l10_mean_medi,Darkest 10 h mean,0.005940724749805342,0.0016762601493473842,-0.030185301334187457,-0.03343931058995712,0.04206675083379814,0.03679183088865189,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty,L10mean,ratio,TRUE,Chest,0.013679024250482563,0.00385973163186726
chest,main_gap_common_sample,4,duration_above_1000,"Time above 1,000 lx melEDI",-0.13582164911041458,-0.13650910270212344,-0.2527875756637662,-0.25485921517593135,-0.018855722557062998,-0.018158990228315505,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty,TAT1000,ratio,TRUE,Chest,-0.13582164911041458,-0.13650910270212344
chest,main_gap_common_sample,5,duration_above_250_wake,Time above 250 lx melEDI during wake,-0.08465137468127806,-0.08403338648947067,-0.1753631813957517,-0.17531437058741178,0.006060432033195576,0.007247597608470421,,,FALSE,FALSE,153,153,800,800,8,8,41fc6dc744f173fe8847f1de44c27e0a60cebd1a4a697932da5be93f0160494d,41fc6dc744f173fe8847f1de44c27e0a60cebd1a4a697932da5be93f0160494d,TRUE,stable within model uncertainty,TAT250,ratio,TRUE,Chest,-0.08465137468127806,-0.08403338648947067
chest,main_gap_common_sample,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,0.06671352640335267,0.06789515005622893,-0.037212117157464905,-0.03581947706476554,0.17063916996417022,0.1716097771772234,,,FALSE,FALSE,153,153,740,740,8,8,ba2d480b26573b4d58d04f198d396f2257e85c118ec7a67c9d93938c48d30da6,ba2d480b26573b4d58d04f198d396f2257e85c118ec7a67c9d93938c48d30da6,TRUE,stable within model uncertainty,TBT10,difference,FALSE,Chest,0.06671352640335267,0.06789515005622893
chest,main_gap_common_sample,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,-0.0021243216395039565,-0.0018716071801945905,-0.030264175688252487,-0.030001773055949893,0.026015532409244577,0.026258558695560714,,,FALSE,FALSE,154,154,853,853,8,8,75e4aafe14768c22016def3e25ff8de8b92aa0dc3a64376ad608d7d442ae9e31,75e4aafe14768c22016def3e25ff8de8b92aa0dc3a64376ad608d7d442ae9e31,TRUE,stable within model uncertainty,TBT1,ratio,TRUE,Chest,-0.0021243216395039565,-0.0018716071801945905
chest,main_gap_common_sample,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,-0.03428527083799873,-0.035019003110563066,-0.06943357234843861,-0.07127967046684822,8.630306724411382e-4,0.001241664245722078,,,FALSE,FALSE,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,stable within model uncertainty,PAT250,ratio,TRUE,Chest,-0.07894475354083937,-0.08063423453389464
chest,main_gap_common_sample,9,dose_time_sensitive_corrected_medi,melEDI dose,-0.06177283192640239,-0.060988765123944966,-0.12442782597456456,-0.12388096341157669,8.821621217597816e-4,0.0019034331636867546,,,FALSE,FALSE,154,154,847,847,8,8,4191db606baf26b4b445175f54d82b81dd6e1e140e4772dbe2673930533be54b,4191db606baf26b4b445175f54d82b81dd6e1e140e4772dbe2673930533be54b,TRUE,stable within model uncertainty,Dose,ratio,TRUE,Chest,-0.1422372019457608,-0.14043182141451085
glasses,main_gap_common_sample,1,daily_geometric_mean_medi,Mean melEDI,-0.03916915587103363,-0.03978243219766713,-0.0913801841131441,-0.09221068721075398,0.013041872371076832,0.012645822815419726,,,FALSE,FALSE,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,stable within model uncertainty,Mean,ratio,TRUE,Near eye,-0.09019031441380225,-0.0916024353413947
