"route","preimage_sha256","old_failure_tokens","new_failure_tokens","exact_multiset","strict_entry"
"audit/H01/02_implementation_and_v0_comparison.html","4daa424552ce83cd0a5879cae4ced62d6ca75c4703bc0a1b3be2806ff332c10e",5461,5461,TRUE,FALSE
"audit/hypotheses/H01/H01_analysis_preparation 2.html","52b24d00ed6e5a9251b813932969376e396b6ff89239de9ef413d1a3e9054578",0,0,TRUE,FALSE
"audit/hypotheses/H01/H01_analysis_preparation.html","5479794d71b6030381f0cb25b298ece94e95a9e0a696dc41077fa77fbe0eced1",0,0,TRUE,FALSE
"audit/hypotheses/H02/H02_analysis_preparation.html","79459f44495fc28bba2d678a788192402f5ca6244aae2c1bc397901a4a53173f",0,0,TRUE,FALSE
"audit/hypotheses/H03/H03_analysis_preparation 2.html","813492b5b1941716c1996f8a0c1b88c658e6eefb52e2569be62744fe965308bf",1312,1312,TRUE,FALSE
"audit/hypotheses/H03/H03_analysis_preparation.html","01958106e0363f7f449e234eabde65d0246f4ca864d895a57909d4cd46dde59a",0,0,TRUE,FALSE
"audit/hypotheses/H03-H11_gated_workflow.html","63710ee8e266136ddce389d974e8ae7138421d25277c2ce650425c1598adafda",0,0,TRUE,FALSE
"audit/hypotheses/H04/H04_analysis_preparation.html","a7ae510b6f7b5c990699bacc3d2a60d2bdf55464996ca31c5653dd6f3bf6bcb9",0,0,TRUE,FALSE
"audit/hypotheses/H05/H05_analysis_preparation.html","c88614a3c17b604817a5f08e8c8310adb702d40edd7da67bc1238c737d3cdbb8",0,0,TRUE,FALSE
"audit/hypotheses/H06/H06_analysis_preparation.html","aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e",0,0,TRUE,FALSE
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","46c1b40edeecb6fe980aa2a9500b47d68d4e26d2b1202a7c0e0bd1564d935c2e",0,0,TRUE,FALSE
"audit/hypotheses/H07/H07_analysis_preparation.html","fdff004d7cb1bfd249b8bf0c26a3ced61a989fa6373a732c40849e1fad94be5f",0,0,TRUE,FALSE
"audit/hypotheses/H08/H08_analysis_preparation.html","524107d84b907fd830bcc31fa0b2340c10608923a4d5f99208c40b3adf5af4ba",0,0,TRUE,FALSE
"audit/hypotheses/H09/H09_analysis_preparation.html","cdf9aaed6c594b365b048ee4d9256c492a1e5f41f88f33df47e829dc2eca422c",0,0,TRUE,FALSE
"audit/hypotheses/H10/H10_analysis_preparation.html","c679d369c1e38a2f8479a2a2bef7b2d17fee6ba6bbf17c0d1d27c180ab97693d",0,0,TRUE,FALSE
"audit/hypotheses/H11/H11_analysis_preparation.html","8eaf3fa9ee561f90a18ab5980c12447e33a0955d17eb6a7ebc3183c5d089517c",0,0,TRUE,FALSE
"audit/hypotheses/implementation_result_comparison_contract.html","f866ce43ee767c92cde2fb39f88fa2f89925b34dff3936666f377841dbac8e7d",0,0,TRUE,FALSE
"index.html","af87852a1a5e2e5739eb87870fafcf0166e6c79e262c6e1f1f0eb9f3eed7e651",0,0,TRUE,TRUE
"notebooks/descriptives 2.html","676d74983b992db194845f4ffd98c461212c0f26174131fc0c93d64eabeab66d",494,494,TRUE,FALSE
"notebooks/descriptives.html","75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af",1033,1033,TRUE,FALSE
"notebooks/hypotheses/H01 2.html","eab336d8cde80608968679d68cfc4ed67828c4f60969d51f90d3738b59e63839",0,0,TRUE,FALSE
"notebooks/hypotheses/H01 3.html","4b3ee0d424f5f5eb3c49664d1e2954e89ef1d5c0146978073c2bdaf1c33ab6ef",0,0,TRUE,FALSE
"notebooks/hypotheses/H01.html","421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41",0,0,TRUE,FALSE
"notebooks/hypotheses/H02.html","2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143",0,0,TRUE,FALSE
"notebooks/hypotheses/H03.html","8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c",0,0,TRUE,FALSE
"notebooks/hypotheses/H04.html","9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543",0,0,TRUE,FALSE
"notebooks/hypotheses/H05.html","d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda",0,0,TRUE,FALSE
"notebooks/hypotheses/H06.html","4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f",0,0,TRUE,FALSE
"notebooks/hypotheses/H06_daily.html","e10dbaa356c63c808465a3a0b28963a0c84d97b03f1798f22315ee258f9cb180",0,0,TRUE,FALSE
"notebooks/hypotheses/H07.html","851a301c400e771cee6e9d6dff4360f2842f3fa3055190405342853563a2b284",0,0,TRUE,FALSE
"notebooks/hypotheses/H08.html","4943ccbb186ddc292a169513f3752da15bc29765acb5f3c33ef0f585f7d96a20",0,0,TRUE,FALSE
"notebooks/hypotheses/H09.html","37c06994b2eb992d924b266a6ac930090170a68642f956b9690dada379300ced",0,0,TRUE,FALSE
"notebooks/hypotheses/H10.html","9eccd8f7b2156aca725c884298b17111b3945ff14b8070cf131d8c7ea2fc6cb8",0,0,TRUE,FALSE
"notebooks/hypotheses/H11.html","5e18bb94d0ad84d0e6916a12c1eb819b224b87c9030eb2bd8dba49422d1c4d53",0,0,TRUE,FALSE
"notebooks/placement_decision.html","5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d",0,0,TRUE,FALSE
