"path","sha256","bytes","role","current_sha256","current_bytes","status"
"audit/report_harmonization/owner_orders/32b_h01_order32_final_verifier_classification.md","b4287fd1bda479aed1c0b30b46e02a09e5434620941f2af2832607ac73758e7c",5773,"controlling order","b4287fd1bda479aed1c0b30b46e02a09e5434620941f2af2832607ac73758e7c",5773,"PASS"
"audit/report_harmonization/report017_h01_order32a_stopped_state_independent_acceptance.md","c0605082e29b4561aa5397d93d2d2792e38060fe4df6cfb855d2da0b86c177ab",2810,"independent stopped-state acceptance","c0605082e29b4561aa5397d93d2d2792e38060fe4df6cfb855d2da0b86c177ab",2810,"PASS"
"audit/report_harmonization/report017_h01_order32a_stopped_state_independent_manifest.csv","d768c944bddf7753b6df98d3f2efa5aeb6d0951f4a244abf52894c18f9749c39",2942,"independent stopped-state seal","d768c944bddf7753b6df98d3f2efa5aeb6d0951f4a244abf52894c18f9749c39",2942,"PASS"
"audit/report_harmonization/report017_h01_order32a_four_failure_disposition.md","15f370d710d38e4b3d07529be0e9001c09d83518a9ce22bea0e50de0f5475c3d",1941,"complete four-failure disposition","15f370d710d38e4b3d07529be0e9001c09d83518a9ce22bea0e50de0f5475c3d",1941,"PASS"
"audit/hypotheses/H01/report017_order32a_verifier_repair/H01_order32a_stopped_non_circular_manifest.csv","81b1e6000219987b8fb3ca9ff721647e72438dab324d857652b1fbfa55697427",3276,"order32a owner seal","81b1e6000219987b8fb3ca9ff721647e72438dab324d857652b1fbfa55697427",3276,"PASS"
"audit/hypotheses/H01/report017_order32a_verifier_repair/run_h01_order32a_source_audit.R","620b2fe71fcf25c542afa9c435f925887454db895059cbd4aa8617046369ea18",34808,"order32a verifier baseline","620b2fe71fcf25c542afa9c435f925887454db895059cbd4aa8617046369ea18",34808,"PASS"
"audit/hypotheses/H01/report017_order32a_verifier_repair/H01_order32a_baseline_identities.csv","215492bf04e55b6875ec4f950bb765edb31b6ff3309c0df9e159d7246f7da0cf",1315,"retained baseline identity contract","215492bf04e55b6875ec4f950bb765edb31b6ff3309c0df9e159d7246f7da0cf",1315,"PASS"
"audit/report_harmonization/report017_h01_order32a_dispatch_manifest.csv","be2295383ae491ce710ad161fcfcd85f20070490699397cbe5f3c276d11132a5",4858,"prior dispatch seal","be2295383ae491ce710ad161fcfcd85f20070490699397cbe5f3c276d11132a5",4858,"PASS"
"notebooks/hypotheses/H01.qmd","9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb",93260,"hard protected identity","9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb",93260,"PASS"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",55827,"hard protected identity","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",55827,"PASS"
"tests/hypotheses/H01/test_h01_reporting_inputs.R","48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af",23014,"hard protected identity","48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af",23014,"PASS"
"tests/hypotheses/H01/test_h01_preparation_report.R","379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4",10993,"hard protected identity","379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4",10993,"PASS"
"tests/hypotheses/H01/test_h01_report016_deviation_reconciliation.R","c359489b45703ae243d277817832e305716271dd54a7713620ceb4a7943d6393",14658,"hard protected identity","c359489b45703ae243d277817832e305716271dd54a7713620ceb4a7943d6393",14658,"PASS"
