check_id,status,expected,observed,detail
result_table_endpoints,PASS,36 unchanged unique table endpoints,36 table endpoints,
result_figure_endpoints,PASS,10 unchanged unique figure endpoints,10 figure endpoints,
companion_table_endpoints,PASS,20 unchanged unique table endpoints,20 table endpoints,
companion_figure_endpoints,PASS,2 unchanged unique figure endpoints,2 figure endpoints,
result_formula_chunk_tbl-h01-participant-formulas,PASS,formula chunk byte-identical,identical,
result_formula_chunk_tbl-h01-participant-day-formulas,PASS,formula chunk byte-identical,identical,
result_formula_chunk_tbl-h01-preregistered-scope-formulas,PASS,formula chunk byte-identical,identical,
result_formula_chunk_tbl-h01-formula-manifest,PASS,formula chunk byte-identical,identical,
companion_formula_chunk_tbl-h01-prep-formulas,PASS,formula chunk byte-identical,identical,
result_scientific_numeric_tokens,PASS,230 unchanged prose numeric tokens,230 current prose numeric tokens,
result_file_reference_tokens,PASS,83 unchanged file-reference tokens,83 current file-reference tokens,
result_source_data_links,PASS,19 unchanged source-data links,19 current source-data links,
companion_scientific_numeric_tokens,PASS,39 unchanged prose numeric tokens,39 current prose numeric tokens,
companion_file_reference_tokens,PASS,49 unchanged file-reference tokens,49 current file-reference tokens,
companion_source_data_links,PASS,0 unchanged source-data links,0 current source-data links,
registration_link_contract,PASS,"40 exact targets, 36 unique lower-case anchors, each central anchor once",40 targets and 36 anchors,
reciprocal_dynamic_qmd_links,PASS,reciprocal relative QMD links and registration anchor,source links inspected,
no_hard_coded_internal_page_links,PASS,"no .html, _build, file://, root-absolute, or local absolute Markdown page targets",,
protected__build_nathealth_notebooks_hypotheses_H01_html,PASS,6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa,6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa,
protected__build_nathealth_audit_hypotheses_H01_H01_analysis_preparation_html,PASS,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,
protected__quarto_nathealth_yml,PASS,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,
protected_tests_hypotheses_H01_test_h01_stage3_model_support_display_refresh_R,PASS,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,
historical_report016_order31f_31i_preservation,PASS,18 baseline worker identities exact,18 of 18 exact,
historical_report016_reconciliation_manifest,PASS,15f88d244450f380112f1ab7adfadade56f518ea43daf8ef4fb0454278cdd5bf,15f88d244450f380112f1ab7adfadade56f518ea43daf8ef4fb0454278cdd5bf,
