"check","pass","detail"
"served_root_has_no_symlinks",TRUE,"symlinks=0"
"result_route_exists",TRUE,"notebooks/hypotheses/H10.html"
"viewport_meta_present",TRUE,"single responsive viewport meta"
"eight_figure_sources_contained",TRUE,"figures=8"
"eight_accessible_alt_texts",TRUE,"alts=8 minimum_chars=405"
"readability_manifest_pass",TRUE,"rows=8 essential_min=5.696 central_min=7.120"
"desktop_viewport_specified",TRUE,"1440x1000"
"narrow_viewport_specified",TRUE,"708x1000"
"zoom_equivalent_viewport_specified",TRUE,"720x500"
"final_size_specified",TRUE,"170 mm"
"pre_post_inventory_contract",TRUE,"rehash QMD test profile HTML companion build and protected after QA"
