"path","pre_sha256","live_sha256","prospective_sha256","authorized_transition","prospective_exact"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",FALSE,TRUE
"artifacts/06_model_data/H10/H10_approved_prepared_rows.rds","e4909aca8a2b241747bca214f31419ebabff6d3d7fbcffe1395897531e3a188a","e4909aca8a2b241747bca214f31419ebabff6d3d7fbcffe1395897531e3a188a","e4909aca8a2b241747bca214f31419ebabff6d3d7fbcffe1395897531e3a188a",FALSE,TRUE
"artifacts/06_model_data/H10/H10_author_approvals.csv","df06c4022c00354c47adccc6f89e9710ce49e84c2a4d5b0be4f7080d9acc4d5b","df06c4022c00354c47adccc6f89e9710ce49e84c2a4d5b0be4f7080d9acc4d5b","df06c4022c00354c47adccc6f89e9710ce49e84c2a4d5b0be4f7080d9acc4d5b",FALSE,TRUE
"artifacts/06_model_data/H10/H10_comparison_registry.csv","5e1dd7b598f279003ac845d9e03e86d55f762d7ac5fb75bb53f18a335eff4594","5e1dd7b598f279003ac845d9e03e86d55f762d7ac5fb75bb53f18a335eff4594","5e1dd7b598f279003ac845d9e03e86d55f762d7ac5fb75bb53f18a335eff4594",FALSE,TRUE
"artifacts/06_model_data/H10/H10_demographic_coding_and_site_cells.csv","e9eab0f24149732872d5dc514fea0a4cad2dea98a28e9773db675a4d5c25b60f","e9eab0f24149732872d5dc514fea0a4cad2dea98a28e9773db675a4d5c25b60f","e9eab0f24149732872d5dc514fea0a4cad2dea98a28e9773db675a4d5c25b60f",FALSE,TRUE
"artifacts/06_model_data/H10/H10_input_audit.csv","9c8aebbc232d8706a23b71f87e31b649078055e139f9f011bc8c0c3d4d557f3b","9c8aebbc232d8706a23b71f87e31b649078055e139f9f011bc8c0c3d4d557f3b","9c8aebbc232d8706a23b71f87e31b649078055e139f9f011bc8c0c3d4d557f3b",FALSE,TRUE
"artifacts/06_model_data/H10/H10_metric_registry.csv","b6fd736fd32ea9922b267592c107f3d635aa703a4380bc53c765716cddda2799","b6fd736fd32ea9922b267592c107f3d635aa703a4380bc53c765716cddda2799","b6fd736fd32ea9922b267592c107f3d635aa703a4380bc53c765716cddda2799",FALSE,TRUE
"artifacts/06_model_data/H10/H10_METRIC010_authorized_gap_zero.csv","1f2df6e1273167d6e576a46df0ce4b482886017cdfbdd6c2dc96f85058bf78bf","1f2df6e1273167d6e576a46df0ce4b482886017cdfbdd6c2dc96f85058bf78bf","1f2df6e1273167d6e576a46df0ce4b482886017cdfbdd6c2dc96f85058bf78bf",FALSE,TRUE
"artifacts/06_model_data/H10/H10_METRIC010_availability.csv","6a63cb0fa043a16f0cea33477961568ccf65343620b8db08353b3dfe36aa99fd","6a63cb0fa043a16f0cea33477961568ccf65343620b8db08353b3dfe36aa99fd","6a63cb0fa043a16f0cea33477961568ccf65343620b8db08353b3dfe36aa99fd",FALSE,TRUE
"artifacts/06_model_data/H10/H10_METRIC010_gap_repair_record.csv","486961601781c285c6bc0bd87a82537f406f45962fd6a5f7ea1a997f95e850ac","486961601781c285c6bc0bd87a82537f406f45962fd6a5f7ea1a997f95e850ac","486961601781c285c6bc0bd87a82537f406f45962fd6a5f7ea1a997f95e850ac",FALSE,TRUE
"artifacts/06_model_data/H10/H10_METRIC011_l10_cell_changes.csv","8756d3a0c2a990c5f6df147f0c5475ffd1e19097525ec9d108d7fb34c906005f","8756d3a0c2a990c5f6df147f0c5475ffd1e19097525ec9d108d7fb34c906005f","8756d3a0c2a990c5f6df147f0c5475ffd1e19097525ec9d108d7fb34c906005f",FALSE,TRUE
"artifacts/06_model_data/H10/H10_model_frame_index.csv","6651fca7f68ee04cefdc20eb0c89c9bedbab4c10736426dd63528b2d13633041","6651fca7f68ee04cefdc20eb0c89c9bedbab4c10736426dd63528b2d13633041","6651fca7f68ee04cefdc20eb0c89c9bedbab4c10736426dd63528b2d13633041",FALSE,TRUE
"artifacts/06_model_data/H10/H10_model_frames.rds","2d1c9119409c908f6890062c46827698aff19b12c3bcc93ce15cb37b28b8a6e7","2d1c9119409c908f6890062c46827698aff19b12c3bcc93ce15cb37b28b8a6e7","2d1c9119409c908f6890062c46827698aff19b12c3bcc93ce15cb37b28b8a6e7",FALSE,TRUE
"artifacts/06_model_data/H10/H10_paired_placement_sample_audit.csv","e2765a5fcf60ec45b44e83cc5ff772e8d73c091de720af1bb02233c14ca3bbd7","e2765a5fcf60ec45b44e83cc5ff772e8d73c091de720af1bb02233c14ca3bbd7","e2765a5fcf60ec45b44e83cc5ff772e8d73c091de720af1bb02233c14ca3bbd7",FALSE,TRUE
"artifacts/06_model_data/H10/H10_preregistered_exclusion_participants.csv","0cc3c5c1f9031e0f24e8ab3d8973e88b87d9c4f81108a8a3083bb2bdb14a10bf","0cc3c5c1f9031e0f24e8ab3d8973e88b87d9c4f81108a8a3083bb2bdb14a10bf","0cc3c5c1f9031e0f24e8ab3d8973e88b87d9c4f81108a8a3083bb2bdb14a10bf",FALSE,TRUE
