"domain","check_id","pass","detail"
"owner_stop","non_circular_manifest",TRUE,"exact=13/13"
"owner_stop","fail_closed_record",TRUE,"owner stopped record and seal reproduce"
"identity","source_html_companion_profile_h11",TRUE,"exact=11/11"
"test_contract","single_caption_transition",TRUE,"post=dac8e70f9389bac48bfb91fd0640f86b3a65e468d52aa2dbb37a63d9aa0303af/25803 reverse=TRUE"
"test_contract","complete_prospective_reader_test",TRUE,"H10 standalone reader-report checks passed
"
"semantic_dom","reversal_and_scoped_headers",TRUE,"tables=15 ids=92 headers=1038 substitutions=1130 tokens=1038"
"semantic_dom","source_ordered_endpoints",TRUE,"tables=15 figures=8"
"semantic_dom","no_rendered_errors_or_unresolved_refs",TRUE,"nodes=0"
"links","source_and_rendered_target_multiset",TRUE,"source=26/24 rendered=26/24"
"historical_manifest","exact_six_transitions",TRUE,"_build/nathealth/notebooks/hypotheses/H10.html | _quarto-nathealth.yml | audit/hypotheses/H10/H10_analysis_preparation.qmd | notebooks/hypotheses/H10.qmd | tests/hypotheses/H10/test_h10_preparation_report.R | tests/hypotheses/H10/test_h10_stage3_reader_report.R"
"science","fifty_seven_assets",TRUE,"exact=57/57"
"build","exact_target_owned_delta",TRUE,"entries=1180 delta=3 symlinks=0"
"protected","current_exact_and_one_prospective_test_transition",TRUE,"current=150/150 prospective_transition=1"
"qa_harness","complete_no_rerender_path_ready",TRUE,"checks=11/11"
