"href","resolved_path","target_exists","fragment_resolves_once"
"../../notebooks/preregistration_deviations.html#dev-003","_build/nathealth/notebooks/hypotheses/../../notebooks/preregistration_deviations.html",TRUE,TRUE
"../../notebooks/preparation/04_metric_derivation.html","_build/nathealth/notebooks/hypotheses/../../notebooks/preparation/04_metric_derivation.html",TRUE,TRUE
"../../notebooks/preparation/06_model_ready_datasets.html","_build/nathealth/notebooks/hypotheses/../../notebooks/preparation/06_model_ready_datasets.html",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_age_site_significant_associations_data.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_age_site_significant_associations_data.csv",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_primary_age_associations_data.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_primary_age_associations_data.csv",TRUE,TRUE
"../../artifacts/09_tables/H10/H10_primary_main_results.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/09_tables/H10/H10_primary_main_results.csv",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_primary_biological_sex_associations_data.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_primary_biological_sex_associations_data.csv",TRUE,TRUE
"../../artifacts/09_tables/H10/H10_primary_interaction_results.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/09_tables/H10/H10_primary_interaction_results.csv",TRUE,TRUE
"../../artifacts/09_tables/H10/H10_site_specific_effects.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/09_tables/H10/H10_site_specific_effects.csv",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_diagnostic_assessment_data.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_diagnostic_assessment_data.csv",TRUE,TRUE
"../../artifacts/08_diagnostics/H10/H10_primary_diagnostic_assessment.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/08_diagnostics/H10/H10_primary_diagnostic_assessment.csv",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_retained_age_core_diagnostic_data.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_retained_age_core_diagnostic_data.csv",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_retained_biological_sex_core_diagnostic_data.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_retained_biological_sex_core_diagnostic_data.csv",TRUE,TRUE
"../../artifacts/10_figures/H10/H10_all_primary_model_core_diagnostics.pdf","_build/nathealth/notebooks/hypotheses/../../artifacts/10_figures/H10/H10_all_primary_model_core_diagnostics.pdf",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_all_primary_core_diagnostic_index.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_all_primary_core_diagnostic_index.csv",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_all_primary_core_diagnostic_data.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_all_primary_core_diagnostic_data.csv",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_paired_placement_effects_data.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_paired_placement_effects_data.csv",TRUE,TRUE
"../../artifacts/08_diagnostics/H10/sensitivity/H10_paired_placement_main_effects.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/08_diagnostics/H10/sensitivity/H10_paired_placement_main_effects.csv",TRUE,TRUE
"../../artifacts/11_source_data/H10/H10_gap_common_sample_effects_data.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H10/H10_gap_common_sample_effects_data.csv",TRUE,TRUE
"../../artifacts/08_diagnostics/H10/sensitivity/H10_primary_gap_common_sample_effects.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/08_diagnostics/H10/sensitivity/H10_primary_gap_common_sample_effects.csv",TRUE,TRUE
"../../notebooks/preregistration_deviations.html#dev-003","_build/nathealth/notebooks/hypotheses/../../notebooks/preregistration_deviations.html",TRUE,TRUE
"../../artifacts/08_diagnostics/H10/sensitivity/H10_preregistered_exclusion_effects.csv","_build/nathealth/notebooks/hypotheses/../../artifacts/08_diagnostics/H10/sensitivity/H10_preregistered_exclusion_effects.csv",TRUE,TRUE
"../../notebooks/preregistration_deviations.html#dev-003","_build/nathealth/notebooks/hypotheses/../../notebooks/preregistration_deviations.html",TRUE,TRUE
"../../notebooks/preregistration_deviations.html#dev-040","_build/nathealth/notebooks/hypotheses/../../notebooks/preregistration_deviations.html",TRUE,TRUE
"../../notebooks/preregistration_deviations.html#dev-041","_build/nathealth/notebooks/hypotheses/../../notebooks/preregistration_deviations.html",TRUE,TRUE
"../../audit/hypotheses/H10/H10_analysis_preparation.html","_build/nathealth/notebooks/hypotheses/../../audit/hypotheses/H10/H10_analysis_preparation.html",TRUE,TRUE
