Metric,Effect (95% CI),Raw p,FDR-adjusted p,Sample,Valid support (h),Assessment
Interdaily stability,OR 1.06 (0.98–1.14),0.161,0.277,141 participants/observations; 816 contributing participant-days,"18,851.0",acceptable
Intradaily variability,-0.057 (-0.129–0.015),0.119,0.252,141 participants/observations; 816 contributing participant-days,"18,851.0",acceptable with specified limitations
Mean melEDI,1.12× (0.98–1.27),0.082,0.198,141 participants; 816 participant-days/observations,"18,851.0",acceptable with specified limitations
Brightest 10 h mean,1.31× (1.09–1.58),0.003,**0.018**,141 participants; 816 participant-days/observations,;,acceptable with specified limitations
Darkest 10 h mean,0.91× (0.82–1.00),0.043,0.147,141 participants; 816 participant-days/observations,;,acceptable with specified limitations
"Time above 1,000 lx melEDI",1.27× (1.11–1.45),<0.001,**0.009**,141 participants; 816 participant-days/observations,"18,851.0",acceptable with specified limitations
Time above 250 lx melEDI during wake,1.12× (1.00–1.25),0.055,0.155,141 participants; 737 participant-days/observations,"9,174.3",acceptable
Time below 10 lx melEDI before sleep,-3.1 min (-11.4–5.2),0.434,0.671,139 participants; 655 participant-days/observations,"1,925.5",acceptable with specified limitations
Time below 1 lx melEDI during sleep,1.01× (0.98–1.05),0.534,0.698,141 participants; 778 participant-days/observations,"6,282.5",acceptable with specified limitations
Longest continuous period above 250 lx melEDI,1.14× (1.03–1.27),0.013,0.055,141 participants; 816 participant-days/observations,"18,851.0",acceptable with specified limitations
Midpoint of the brightest 10 hours,3.8 min (-7.6–15.2),0.492,0.697,141 participants; 816 participant-days/observations,;,acceptable with specified limitations
Midpoint of the darkest 10 hours,-3.1 min (-14.6–8.5),0.590,0.716,141 participants; 816 participant-days/observations,;,acceptable with specified limitations
Mean timing of exposure above 250 lx melEDI,2.2 min (-8.4–12.9),0.660,0.748,141 participants; 742 participant-days/observations,"17,209.6",acceptable with specified limitations
First light timing above 250 lx melEDI,-2.8 min (-19.7–14.1),0.738,0.784,140 participants; 727 participant-days/observations,"16,832.5",acceptable with specified limitations
Last light timing above 250 lx melEDI,0.5 min (-16.4–17.3),0.945,0.945,141 participants; 687 participant-days/observations,"15,995.0",acceptable with specified limitations
melEDI dose,1.31× (1.09–1.56),0.003,**0.018**,141 participants; 761 participant-days/observations,"17,678.8",acceptable with specified limitations
Melanopic daylight efficacy ratio,0.011 (-0.005–0.027),0.163,0.277,137 participants; 702 participant-days/observations,"10,949.9",acceptable with specified limitations
