Metric,Effect (95% CI),Raw p,FDR-adjusted p,Sample,Valid support (h),Assessment
Interdaily stability,OR 1.04 (0.97–1.12),0.235,0.340,153 participants/observations; 900 contributing participant-days,"20,845.4",acceptable
Intradaily variability,-0.044 (-0.108–0.021),0.181,0.308,153 participants/observations; 900 contributing participant-days,"20,845.4",acceptable
Mean melEDI,1.16× (1.04–1.30),0.006,**0.017**,154 participants; 902 participant-days/observations,"20,891.8",acceptable with specified limitations
Brightest 10 h mean,1.35× (1.15–1.57),<0.001,**<0.001**,154 participants; 902 participant-days/observations,;,acceptable with specified limitations
Darkest 10 h mean,0.94× (0.86–1.02),0.124,0.234,154 participants; 902 participant-days/observations,;,acceptable with specified limitations
"Time above 1,000 lx melEDI",1.31× (1.18–1.46),<0.001,**<0.001**,154 participants; 902 participant-days/observations,"20,891.8",acceptable
Time above 250 lx melEDI during wake,1.16× (1.06–1.26),0.001,**0.004**,154 participants; 818 participant-days/observations,"10,297.7",acceptable
Time below 10 lx melEDI before sleep,-6.3 min (-12.8–0.1),0.049,0.105,153 participants; 743 participant-days/observations,"2,180.1",acceptable with specified limitations
Time below 1 lx melEDI during sleep,1.01× (0.98–1.04),0.383,0.500,154 participants; 861 participant-days/observations,"6,871.4",acceptable with specified limitations
Longest continuous period above 250 lx melEDI,1.18× (1.09–1.27),<0.001,**<0.001**,154 participants; 902 participant-days/observations,"20,891.8",acceptable
Midpoint of the brightest 10 hours,-1.1 min (-10.9–8.7),0.825,0.873,154 participants; 902 participant-days/observations,;,acceptable with specified limitations
Midpoint of the darkest 10 hours,0.8 min (-9.0–10.5),0.873,0.873,154 participants; 902 participant-days/observations,;,acceptable with specified limitations
Mean timing of exposure above 250 lx melEDI,-2.4 min (-11.6–6.9),0.615,0.697,154 participants; 831 participant-days/observations,"19,336.1",acceptable
First light timing above 250 lx melEDI,-15.4 min (-29.3–-1.6),0.026,0.063,154 participants; 802 participant-days/observations,"18,634.7",acceptable with specified limitations
Last light timing above 250 lx melEDI,8.1 min (-5.8–22.0),0.240,0.340,154 participants; 787 participant-days/observations,"18,358.1",acceptable with specified limitations
melEDI dose,1.40× (1.21–1.61),<0.001,**<0.001**,154 participants; 851 participant-days/observations,"19,814.9",acceptable
Melanopic daylight efficacy ratio,0.009 (-0.028–0.047),0.605,0.697,152 participants; 732 participant-days/observations,"11,145.3",acceptable with specified limitations
