Metric,Effect (95% CI),Raw p,FDR-adjusted p,Sample,Valid support (h),Assessment
Interdaily stability,OR 1.07 (0.93–1.23),0.357,0.556,141 participants/observations; 816 contributing participant-days,"18,851.0",acceptable
Intradaily variability,-0.002 (-0.135–0.131),0.978,0.978,141 participants/observations; 816 contributing participant-days,"18,851.0",acceptable with specified limitations
Mean melEDI,0.78× (0.62–0.99),0.036,0.206,141 participants; 816 participant-days/observations,"18,851.0",acceptable
Brightest 10 h mean,0.69× (0.49–0.98),0.031,0.206,141 participants; 816 participant-days/observations,;,acceptable
Darkest 10 h mean,0.87× (0.72–1.04),0.109,0.266,141 participants; 816 participant-days/observations,;,acceptable with specified limitations
"Time above 1,000 lx melEDI",0.74× (0.57–0.96),0.023,0.206,141 participants; 816 participant-days/observations,"18,851.0",acceptable
Time above 250 lx melEDI during wake,0.81× (0.66–1.00),0.057,0.244,141 participants; 737 participant-days/observations,"9,174.3",acceptable
Time below 10 lx melEDI before sleep,-3.4 min (-18.6–11.7),0.647,0.734,139 participants; 655 participant-days/observations,"1,925.5",acceptable with specified limitations
Time below 1 lx melEDI during sleep,1.05× (0.98–1.12),0.147,0.313,141 participants; 778 participant-days/observations,"6,282.5",acceptable with specified limitations
Longest continuous period above 250 lx melEDI,0.84× (0.69–1.03),0.089,0.266,141 participants; 816 participant-days/observations,"18,851.0",acceptable
Midpoint of the brightest 10 hours,0.5 min (-20.6–21.6),0.959,0.978,141 participants; 816 participant-days/observations,;,acceptable with specified limitations
Midpoint of the darkest 10 hours,6.4 min (-14.8–27.6),0.537,0.652,141 participants; 816 participant-days/observations,;,acceptable with specified limitations
Mean timing of exposure above 250 lx melEDI,-8.9 min (-28.6–10.8),0.365,0.556,141 participants; 742 participant-days/observations,"17,209.6",acceptable
First light timing above 250 lx melEDI,13.1 min (-18.4–44.6),0.406,0.556,140 participants; 727 participant-days/observations,"16,832.5",acceptable
Last light timing above 250 lx melEDI,-18.2 min (-49.1–12.8),0.235,0.444,141 participants; 687 participant-days/observations,"15,995.0",acceptable
melEDI dose,0.77× (0.55–1.07),0.108,0.266,141 participants; 761 participant-days/observations,"17,678.8",acceptable
Melanopic daylight efficacy ratio,-0.012 (-0.041–0.018),0.425,0.556,137 participants; 702 participant-days/observations,"10,949.9",acceptable with specified limitations
