Metric,Site,Difference per decade (95% CI)
Midpoint of the brightest 10 hours,Borås (SE),+17.9 min (-2.7 to +38.6)
Midpoint of the brightest 10 hours,Delft (NL),+3.4 min (-20.5 to +27.3)
Midpoint of the brightest 10 hours,Dortmund (DE),-1.2 min (-20.9 to +18.5)
Midpoint of the brightest 10 hours,Munich (DE),+245.2 min (+105.6 to +384.9)
Midpoint of the brightest 10 hours,Madrid (ES),-19.3 min (-42.1 to +3.6)
Midpoint of the brightest 10 hours,Izmir (TR),+32.9 min (-64.6 to +130.4)
Midpoint of the brightest 10 hours,San José (CR),-13.6 min (-33.7 to +6.5)
Midpoint of the brightest 10 hours,Kumasi (GH),-57.9 min (-212.1 to +96.3)
Last light timing above 250 lx melEDI,Borås (SE),+43.9 min (+14.8 to +73.1)
Last light timing above 250 lx melEDI,Delft (NL),-29.6 min (-65.2 to +6.1)
Last light timing above 250 lx melEDI,Dortmund (DE),-25.1 min (-52.8 to +2.6)
Last light timing above 250 lx melEDI,Munich (DE),-39.4 min (-235.6 to +156.8)
Last light timing above 250 lx melEDI,Madrid (ES),+35.7 min (+3.3 to +68.0)
Last light timing above 250 lx melEDI,Izmir (TR),-27.3 min (-164.1 to +109.6)
Last light timing above 250 lx melEDI,San José (CR),+14.7 min (-13.6 to +43.0)
Last light timing above 250 lx melEDI,Kumasi (GH),-27.1 min (-247.6 to +193.4)
