Metric,Effect (95% CI),Raw p,FDR-adjusted p,Sample,Valid support (h),Assessment
Interdaily stability,OR 1.04 (0.91–1.20),0.538,0.649,153 participants/observations; 900 contributing participant-days,"20,845.4",acceptable
Intradaily variability,0.056 (-0.072–0.183),0.388,0.550,153 participants/observations; 900 contributing participant-days,"20,845.4",acceptable
Mean melEDI,0.74× (0.60–0.92),0.006,**0.048**,154 participants; 902 participant-days/observations,"20,891.8",acceptable with specified limitations
Brightest 10 h mean,0.70× (0.51–0.96),0.024,0.139,154 participants; 902 participant-days/observations,;,acceptable with specified limitations
Darkest 10 h mean,0.76× (0.65–0.90),<0.001,**0.016**,154 participants; 902 participant-days/observations,;,acceptable with specified limitations
"Time above 1,000 lx melEDI",0.84× (0.67–1.06),0.140,0.303,154 participants; 902 participant-days/observations,"20,891.8",acceptable with specified limitations
Time above 250 lx melEDI during wake,0.89× (0.74–1.07),0.210,0.397,154 participants; 818 participant-days/observations,"10,297.7",acceptable
Time below 10 lx melEDI before sleep,0.7 min (-12.2–13.7),0.904,0.904,153 participants; 743 participant-days/observations,"2,180.1",acceptable with specified limitations
Time below 1 lx melEDI during sleep,1.06× (1.00–1.12),0.051,0.217,154 participants; 861 participant-days/observations,"6,871.4",acceptable with specified limitations
Longest continuous period above 250 lx melEDI,0.87× (0.73–1.02),0.081,0.274,154 participants; 902 participant-days/observations,"20,891.8",acceptable
Midpoint of the brightest 10 hours,7.7 min (-11.8–27.2),0.425,0.555,154 participants; 902 participant-days/observations,;,acceptable
Midpoint of the darkest 10 hours,5.4 min (-13.9–24.8),0.572,0.649,154 participants; 902 participant-days/observations,;,acceptable with specified limitations
Mean timing of exposure above 250 lx melEDI,-13.6 min (-31.9–4.7),0.135,0.303,154 participants; 831 participant-days/observations,"19,336.1",acceptable
First light timing above 250 lx melEDI,-3.9 min (-32.0–24.2),0.775,0.823,154 participants; 802 participant-days/observations,"18,634.7",acceptable with specified limitations
Last light timing above 250 lx melEDI,-20.2 min (-47.8–7.4),0.143,0.303,154 participants; 787 participant-days/observations,"18,358.1",acceptable with specified limitations
melEDI dose,0.84× (0.63–1.14),0.251,0.428,154 participants; 851 participant-days/observations,"19,814.9",acceptable with specified limitations
Melanopic daylight efficacy ratio,-0.035 (-0.108–0.039),0.347,0.537,152 participants; 732 participant-days/observations,"11,145.3",acceptable with specified limitations
