Placement,Association,Metric,Gap all-available,Paired/common,Preregistration exclusions,Direction stable,Classification
Chest (complementary),"Age, per 10 years",Mean melEDI,Yes,Yes,Yes,Yes,direction and adjusted-support stable
Chest (complementary),"Age, per 10 years",Brightest 10 h mean,Yes,Yes,Yes,Yes,direction and adjusted-support stable
Chest (complementary),"Age, per 10 years","Time above 1,000 lx melEDI",Yes,Yes,Yes,Yes,direction and adjusted-support stable
Chest (complementary),"Age, per 10 years",Time above 250 lx melEDI during wake,Yes,Yes,Yes,Yes,direction and adjusted-support stable
Chest (complementary),"Age, per 10 years",Longest continuous period above 250 lx melEDI,Yes,Yes,Yes,Yes,direction and adjusted-support stable
Chest (complementary),"Age, per 10 years",melEDI dose,Yes,Yes,Yes,Yes,direction and adjusted-support stable
Chest (complementary),"Measured biological sex, Female minus Male",Mean melEDI,Yes,Yes,Yes,Yes,direction stable; adjusted support changes
Chest (complementary),"Measured biological sex, Female minus Male",Darkest 10 h mean,Yes,Yes,Yes,Yes,direction and adjusted-support stable
Near eye (primary),"Age, per 10 years",Brightest 10 h mean,Yes,No,Yes,Yes,direction stable; adjusted support changes
Near eye (primary),"Age, per 10 years","Time above 1,000 lx melEDI",Yes,Yes,Yes,Yes,direction and adjusted-support stable
Near eye (primary),"Age, per 10 years",melEDI dose,Yes,No,Yes,Yes,direction stable; adjusted support changes
