"id","line","type","dom_count"
"tbl-main-samples",122,"table",1
"fig-main-adherence-levels",133,"figure",1
"tbl-main-adherence-levels",139,"table",1
"tbl-main-primary-results",148,"table",1
"tbl-main-site-interactions",160,"table",1
"fig-main-site-workday-adherence",169,"figure",1
"fig-main-site-free-work-contrasts",179,"figure",1
"tbl-main-compact-adherence",187,"table",1
"tbl-main-endpoint-calibration",199,"table",1
"fig-main-coverage-sensitivity",206,"figure",1
"tbl-main-coverage-gate",212,"table",1
"tbl-main-random-effects",226,"table",1
"tbl-main-r2-partition",236,"table",1
"tbl-main-shapley-global",246,"table",1
"tbl-main-shapley-within",255,"table",1
"tbl-main-placement",269,"table",1
"tbl-main-grouping-sensitivity",281,"table",1
"tbl-main-all-sensitivities",297,"table",1
"tbl-main-weighting",306,"table",1
"tbl-main-route-dispositions",315,"table",1
"tbl-main-diagnostic-dispositions",324,"table",1
"tbl-selected-samples",369,"table",1
"fig-participant-state-raincloud",408,"figure",1
"tbl-participant-state-summary",420,"table",1
"tbl-cross-state-effects",459,"table",1
"tbl-wake-cycle-groups",545,"table",1
"tbl-coverage-gate",606,"table",1
