"check","pass"
"controlling_order_exact",TRUE
"all_411_source_checks_passed",TRUE
"seven_final_pages_exact",TRUE
"seven_page_bytes_same_across_attempts",TRUE
"table_2_a.html no active script, frame, object, form or fetch links",TRUE
"table_2_a.html no remote CSS resources",TRUE
"table_2_a.html links confined to delivered local pages",TRUE
"table_2_a.html local links resolve",TRUE
"table_2_a.html unique page IDs",TRUE
"table_2_b.html no active script, frame, object, form or fetch links",TRUE
"table_2_b.html no remote CSS resources",TRUE
"table_2_b.html links confined to delivered local pages",TRUE
"table_2_b.html local links resolve",TRUE
"table_2_b.html unique page IDs",TRUE
"table_s2_part_01.html no active script, frame, object, form or fetch links",TRUE
"table_s2_part_01.html no remote CSS resources",TRUE
"table_s2_part_01.html links confined to delivered local pages",TRUE
"table_s2_part_01.html local links resolve",TRUE
"table_s2_part_01.html unique page IDs",TRUE
"table_s2_part_02.html no active script, frame, object, form or fetch links",TRUE
"table_s2_part_02.html no remote CSS resources",TRUE
"table_s2_part_02.html links confined to delivered local pages",TRUE
"table_s2_part_02.html local links resolve",TRUE
"table_s2_part_02.html unique page IDs",TRUE
"table_s2_part_03.html no active script, frame, object, form or fetch links",TRUE
"table_s2_part_03.html no remote CSS resources",TRUE
"table_s2_part_03.html links confined to delivered local pages",TRUE
"table_s2_part_03.html local links resolve",TRUE
"table_s2_part_03.html unique page IDs",TRUE
"table_s7_part_03.html no active script, frame, object, form or fetch links",TRUE
"table_s7_part_03.html no remote CSS resources",TRUE
"table_s7_part_03.html links confined to delivered local pages",TRUE
"table_s7_part_03.html local links resolve",TRUE
"table_s7_part_03.html unique page IDs",TRUE
"table_s7_part_04.html no active script, frame, object, form or fetch links",TRUE
"table_s7_part_04.html no remote CSS resources",TRUE
"table_s7_part_04.html links confined to delivered local pages",TRUE
"table_s7_part_04.html local links resolve",TRUE
"table_s7_part_04.html unique page IDs",TRUE
"index.html no active script, frame, object, form or fetch links",TRUE
"index.html no remote CSS resources",TRUE
"index.html links confined to delivered local pages",TRUE
"index.html local links resolve",TRUE
"index.html unique page IDs",TRUE
"manual_capture_guide.html no active script, frame, object, form or fetch links",TRUE
"manual_capture_guide.html no remote CSS resources",TRUE
"manual_capture_guide.html links confined to delivered local pages",TRUE
"manual_capture_guide.html local links resolve",TRUE
"manual_capture_guide.html unique page IDs",TRUE
"index.html lists every exact source page and hash",TRUE
"manual_capture_guide.html lists every exact source page and hash",TRUE
"manual_capture_guide.md lists every exact source page and hash",TRUE
"accepted_84_member_source_package_unchanged",TRUE
"no_captured_PNG_or_document_output",TRUE
"no_symlinks",TRUE
