"path","sha256","bytes","role","producer","r_version"
"_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html","d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa",580722,"unchanged stale render context","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"_build/nathealth/notebooks/hypotheses/H02.html","df73f2f87d6d3bdc9acd44493a113e18b510884f0ecb8e2214b39dc3d71cb164",270001,"unchanged stale render context","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/06_model_data/H02/sample_counts.csv","61adf723232139383aa56075587b4476e0766641f4bc311542724b8482a5ab12",5281,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/07_models/H02/selected_temporal_model_specification.csv","c3c95e97dbf7a260e4aa7513a15bb8c3c7e98bdb754d97c54700e4d82629310f",3280,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/09_tables/H02/dominance_comparison_summary.csv","7240b7ab29818b085375a10c02bf53e49ad71203d6e2feb2385c590ca27e36fe",6003,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/09_tables/H02/dominance_summary.csv","c50589ee53541845cee1a104ae4aabb0bb45296a94e3ab7547fd1142ded4e84f",9051,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/09_tables/H02/figure4_pointwise_conditional_windows.csv","ada1406a99af8edacbc9662c7a4616811bada78cb2a4cc5e61e6d9853e5cfa7b",4723,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/09_tables/H02/variation_summary.csv","a07296c2e64e15a0217b9efc21b83acd578574f5b456a79eb2401382b0b4d3b0",22180,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/10_figures/H02/figure4_exact_layout_replication_chest.png","a82659874f9246b27e8cc25733b7a8236bbf8327d67f6378f868cc8f9c2f2cb1",2189439,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/10_figures/H02/figure4_exact_layout_replication.png","2d31f38a169659b37a16c44b9845605186709e4dc7734a8f97342408711f9ac2",2389678,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/10_figures/H02/model_diagnostics_chest.png","10e8d1b1fce74474987b5f8b699260c85a4dba28126da2164fb9442e409424e8",936716,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/10_figures/H02/model_diagnostics_near_eye.png","63feccccbde19e1804fe1405260e0a2015344837549046015e16374e8d5df05c",920581,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/11_source_data/H02/figure4_exact_layout_source_chest.rds","f577321a48a04bf23d577abadcd4c57c264afe82ec889f6cebe5b6c5d20d5294",162592,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
"artifacts/11_source_data/H02/figure4_exact_layout_source.rds","63ea7588e5a19f5df64710e54d647b18cc74bc7c87dc7e8829bf65b7dfea825b",212976,"protected source-only dependency","audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R","4.6.1"
