page,model_key,placement,predictor,metric_id,metric_order,manuscript_name,placement_display,predictor_display,analysis_unit,response_family,response_transform,adjusted_significant,p_adjusted,effect_95_ci_display,final_assessment,diagnostic_issues,residual_qq_correlation,residual_absolute_fitted_spearman,serial_status,deletion_status,site_influence_assessment
1,glasses__age__interdaily_stability,glasses,age,interdaily_stability,1,Interdaily stability,Near eye (primary),"Age, per 10 years",participant,gaussian,logit,FALSE,0.27666587774072315,OR 1.06 (0.98–1.14),acceptable,,0.9919860838081368,0.1007995206461006,NOT_APPLICABLE_PARTICIPANT_LEVEL,PASS_DESCRIPTIVE_CHECK,acceptable
2,glasses__age__intradaily_variability,glasses,age,intradaily_variability,2,Intradaily variability,Near eye (primary),"Age, per 10 years",participant,gaussian,identity,FALSE,0.251909945539884,-0.057 (-0.129–0.015),acceptable with specified limitations,,0.9912332438334076,0.05619560153752126,NOT_APPLICABLE_PARTICIPANT_LEVEL,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
3,glasses__age__daily_geometric_mean_medi,glasses,age,daily_geometric_mean_medi,3,Mean melEDI,Near eye (primary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,FALSE,0.19843410809376383,1.12× (0.98–1.27),acceptable with specified limitations,,0.9766431615818926,-0.18346116560639303,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
4,glasses__age__m10_mean_medi,glasses,age,m10_mean_medi,4,Brightest 10 h mean,Near eye (primary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,TRUE,0.01754715037167054,1.31× (1.09–1.58),acceptable with specified limitations,,0.9691091133678744,-0.21862594527557416,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
5,glasses__age__l10_mean_medi,glasses,age,l10_mean_medi,5,Darkest 10 h mean,Near eye (primary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,FALSE,0.14749665478276686,0.91× (0.82–1.00),acceptable with specified limitations,RESIDUAL_SPREAD_REVIEW,0.9782108186429344,0.33905938811417746,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
6,glasses__age__duration_above_1000,glasses,age,duration_above_1000,6,"Time above 1,000 lx melEDI",Near eye (primary),"Age, per 10 years",participant_day,tweedie_log,identity,TRUE,0.00926994057759987,1.27× (1.11–1.45),acceptable with specified limitations,,0.9648046214638448,0.11525089038991083,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
7,glasses__age__duration_above_250_wake,glasses,age,duration_above_250_wake,7,Time above 250 lx melEDI during wake,Near eye (primary),"Age, per 10 years",participant_day,tweedie_log,identity,FALSE,0.15524724521298822,1.12× (1.00–1.25),acceptable,,0.9849064781508846,-0.11657353397404498,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
8,glasses__age__duration_below_10_pre_sleep,glasses,age,duration_below_10_pre_sleep,8,Time below 10 lx melEDI before sleep,Near eye (primary),"Age, per 10 years",participant_day,gaussian,identity,FALSE,0.6710398044981666,-3.1 min (-11.4–5.2),acceptable with specified limitations,,0.9922246146806416,-0.05985583992271261,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
9,glasses__age__duration_below_1_sleep_environment,glasses,age,duration_below_1_sleep_environment,9,Time below 1 lx melEDI during sleep,Near eye (primary),"Age, per 10 years",participant_day,tweedie_log,identity,FALSE,0.6983688337139891,1.01× (0.98–1.05),acceptable with specified limitations,ZERO_MASS_REVIEW,0.9528652379070508,-0.09178316738569696,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
10,glasses__age__longest_bout_above_250,glasses,age,longest_bout_above_250,10,Longest continuous period above 250 lx melEDI,Near eye (primary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,FALSE,0.05484616216176595,1.14× (1.03–1.27),acceptable with specified limitations,,0.9974823948872664,-0.12574756806989645,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
11,glasses__age__m10_midpoint,glasses,age,m10_midpoint,11,Midpoint of the brightest 10 hours,Near eye (primary),"Age, per 10 years",participant_day,gaussian,clock_minutes,FALSE,0.6965434407901143,3.8 min (-7.6–15.2),acceptable with specified limitations,,0.9776773462382506,0.110612938683385,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
12,glasses__age__l10_midpoint,glasses,age,l10_midpoint,12,Midpoint of the darkest 10 hours,Near eye (primary),"Age, per 10 years",participant_day,gaussian,clock_minutes_after_16,FALSE,0.7161260293919338,-3.1 min (-14.6–8.5),acceptable with specified limitations,RESIDUAL_QQ_REVIEW,0.9188248426239948,0.15435777136899245,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
13,glasses__age__mean_timing_above_250,glasses,age,mean_timing_above_250,13,Mean timing of exposure above 250 lx melEDI,Near eye (primary),"Age, per 10 years",participant_day,gaussian,clock_minutes,FALSE,0.7478232450318809,2.2 min (-8.4–12.9),acceptable with specified limitations,,0.992902426005648,0.06499463896257336,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
14,glasses__age__first_timing_above_250,glasses,age,first_timing_above_250,14,First light timing above 250 lx melEDI,Near eye (primary),"Age, per 10 years",participant_day,gaussian,clock_minutes,FALSE,0.784334198244364,-2.8 min (-19.7–14.1),acceptable with specified limitations,,0.9530357422346848,0.15304673566810303,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
15,glasses__age__last_timing_above_250,glasses,age,last_timing_above_250,15,Last light timing above 250 lx melEDI,Near eye (primary),"Age, per 10 years",participant_day,gaussian,clock_minutes,FALSE,0.9454411432394514,0.5 min (-16.4–17.3),acceptable with specified limitations,,0.9843390257146424,-0.1717651385141002,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
