metric_order,metric_id,manuscript_name,abbreviation,manuscript_category,predictor,included_in_plot_chest,included_in_plot_glasses,unavailable_reason_chest,unavailable_reason_glasses,standardized_estimate_chest,standardized_estimate_glasses,standardized_conf_low_chest,standardized_conf_low_glasses,standardized_conf_high_chest,standardized_conf_high_glasses,participants_chest,participants_glasses,participant_days_chest,participant_days_glasses,included_in_plot,predictor_label
1,interdaily_stability,Interdaily stability,IS,dynamics-based,age,FALSE,FALSE,This analysis does not recompute participant-level IS or IV on identical paired participant-day sets; no approximation was made,This analysis does not recompute participant-level IS or IV on identical paired participant-day sets; no approximation was made,,,,,,,,,,,FALSE,Age per 10 years
2,intradaily_variability,Intradaily variability,IV,dynamics-based,age,FALSE,FALSE,This analysis does not recompute participant-level IS or IV on identical paired participant-day sets; no approximation was made,This analysis does not recompute participant-level IS or IV on identical paired participant-day sets; no approximation was made,,,,,,,,,,,FALSE,Age per 10 years
3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,age,TRUE,TRUE,,,0.1639399738288249,0.08734355292044876,0.03415594423035532,-0.04084584519901093,0.29372400342729443,0.21553295103990844,112,112,643,643,TRUE,Age per 10 years
4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,age,TRUE,TRUE,,,0.19914830016887392,0.14653415687296872,0.08147673570660911,0.0274008801287006,0.3168198646311387,0.2656674336172368,112,112,643,643,TRUE,Age per 10 years
5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,age,TRUE,TRUE,,,-0.07397549962295578,-0.1275122208348124,-0.20960768146048508,-0.26055676824446106,0.06165668221457349,0.00553232657483625,112,112,643,643,TRUE,Age per 10 years
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,duration-based,age,TRUE,TRUE,,,0.17790743922135152,0.1467945968050593,0.09390661257022606,0.06536787901150706,0.26190826587247695,0.22822131459861153,112,112,643,643,TRUE,Age per 10 years
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,duration-based,age,TRUE,TRUE,,,0.06537803881184978,0.03512231056046529,0.02317879656759627,-0.006581275752852,0.1075772810561033,0.07682589687378259,112,112,578,578,TRUE,Age per 10 years
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,duration-based,age,TRUE,TRUE,,,-0.15396629676646115,-0.04022520684347257,-0.2868639765647923,-0.18052719611744547,-0.02106861696813002,0.10007678243050032,110,110,505,505,TRUE,Age per 10 years
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,duration-based,age,TRUE,TRUE,,,0.00565214707034239,0.005499449905116,-0.0117598898867061,-0.01413218535309353,0.02306418402739089,0.02513108516332555,112,112,608,608,TRUE,Age per 10 years
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,duration-based,age,TRUE,TRUE,,,0.20319490880513205,0.12583896751821663,0.09853643227493183,0.01111922984963369,0.30785338533533224,0.24055870518679956,112,112,643,643,TRUE,Age per 10 years
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,timing-based,age,TRUE,TRUE,,,0.0364617902163749,0.04386842226066107,-0.06599012304725686,-0.0549075275472868,0.13891370348000665,0.14264437206860894,112,112,643,643,TRUE,Age per 10 years
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,timing-based,age,TRUE,TRUE,,,0.04107206438439315,-0.01111501038731829,-0.06571536039749853,-0.11939331369150467,0.14785948916628483,0.0971632929168681,112,112,643,643,TRUE,Age per 10 years
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,age,TRUE,TRUE,,,9.956385315820306e-4,0.00157043437631682,-0.09529156340843692,-0.0925948002852328,0.097282840471601,0.09573566903786648,112,112,573,573,TRUE,Age per 10 years
