frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant,primary_family_member,estimate,std_error,conf_low,conf_high,interval_method,effect_status,converged,positive_definite_hessian,singular,fixed_full_rank,warning_message,error_message,reference_estimate,reference_conf_low,reference_conf_high,estimate_difference,stability_classification
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,0.36534040567118564,0.12247956202605054,0.125284875257887,0.6053959360844843,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.3812365428900415,0.1462539463505574,0.6162191394295256,-0.015896137218855855,stable within model uncertainty
primary__glasses__all_available__first_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MEQ,ESTIMABLE,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,140,727,727,9,16832.5,1,6,7,TRUE,-0.42651997010696063,0.13275582920927825,-0.6867166140948964,-0.16632332611902484,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.443907364409369,-0.698616503785482,-0.189198225033256,0.017387394302408377,stable within model uncertainty
primary__glasses__all_available__l10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,140,810,810,9,18711.683333333334,3,6,8,TRUE,0.24021257270418353,0.0808563667589751,0.08173700593583078,0.3986881394725363,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.2764088526112908,0.11761200873027719,0.43520569649230434,-0.03619627990710725,stable within model uncertainty
primary__glasses__all_available__l10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,141,816,816,9,18851,3,6,8,TRUE,-0.2768006333619805,0.08787116486275715,-0.44902495177256596,-0.1045763149513951,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.31432168701595675,-0.4869588082580469,-0.14168456577386662,0.03752105365397623,stable within model uncertainty
primary__glasses__all_available__last_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MCTQ,ESTIMABLE,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,140,683,683,9,15900.783333333333,1,5,7,TRUE,0.07584607120816818,0.11572573077191056,-0.15097219318935512,0.30266433560569145,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.025149104870303196,-0.26430511007262436,0.21400690033201794,0.10099517607847137,direction-sensitive
primary__glasses__all_available__last_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MEQ,ESTIMABLE,19d69ac7ca5c0e39ec329b92242fe35f48e5f068139bfeb96592ff51579a2290,141,687,687,9,15995.05,1,5,7,TRUE,-0.08150220877035858,0.12804266628459554,-0.3324612231726468,0.16945680563192966,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.029031269578030105,-0.2362101275729928,0.294272666729053,-0.11053347834838868,direction-sensitive
primary__glasses__all_available__longest_period_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MCTQ,ESTIMABLE,4a84638249c0cb5e0be8b0e5add1eff77115390fcdb24560ff63791921dd35bc,131,478,478,9,11325.55,1,4,7,TRUE,0.21541704417513702,0.139268967169171,-0.057545115640529276,0.4883792039908033,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.16075586608946735,-0.11286949605605107,0.43438122823498576,0.05466117808566967,stable within model uncertainty
primary__glasses__all_available__longest_period_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MEQ,ESTIMABLE,25847f9665b9a73dec8045d1f8a79ca480b67e410a1acb06784e078260661ce3,132,482,482,9,11419.816666666668,1,4,7,TRUE,-0.287536085842535,0.147793018389981,-0.5772050790533635,0.002132907368293524,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.22846388666205275,-0.520729501152317,0.06380172782821142,-0.05907219918048223,stable within model uncertainty
primary__glasses__all_available__m10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,140,810,810,9,18711.683333333334,3,6,8,TRUE,0.22833262650417066,0.08278399503856332,0.06607897773224408,0.39058627527609724,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.20524847249744915,0.04475807818452163,0.3657388668103767,0.023084154006721508,stable within model uncertainty
primary__glasses__all_available__m10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,141,816,816,9,18851,3,6,8,TRUE,-0.30422794808309717,0.08889519339711945,-0.478459325540174,-0.1299965706260203,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.2780090924393169,-0.4509260408562904,-0.10509214402234332,-0.026218855643780292,stable within model uncertainty
primary__glasses__all_available__mean_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MCTQ,ESTIMABLE,95c788d9f24f3be5dfcb16df9c55a86a4dd5339929ce9a4751b1104e79c61829,140,736,736,9,17070.316666666666,2,5.5,7,FALSE,0.12993558855245593,0.07791032923427833,-0.022765850770387647,0.28263702787529954,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.08969909335504386,-0.0637353571668258,0.24313354387691352,0.04023649519741207,stable within model uncertainty
primary__glasses__all_available__mean_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MEQ,ESTIMABLE,00d504fedfc57a0513be3fd459fdcd99f63a252d839327f7cee5203d21a65736,141,742,742,9,17209.633333333335,2,6,7,FALSE,-0.2128727384399951,0.08366271622733307,-0.3768486490943626,-0.048896827785627595,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.16854678630824801,-0.3343381663669368,-0.0027554062495592224,-0.04432595213174709,stable within model uncertainty
primary__chest__all_available__first_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,first_timing_above_250,MCTQ,ESTIMABLE,2686fa682d40e8ef613b8441d9afefea73b72685097e7455c9bc2f42e073b156,153,797,797,8,18518.416666666668,1,6,7,TRUE,0.40052320792767193,0.1098861413842303,0.18515032841450427,0.6158960874408396,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.4108363044751371,0.19647286120902527,0.6251997477412489,-0.01031309654746515,stable within model uncertainty
primary__chest__all_available__first_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,first_timing_above_250,MEQ,ESTIMABLE,6f770b18d6cbbfbeb5f661f348887869b29d44fe11bdbd349a5dd4662b7c4e43,154,802,802,8,18634.65,1,6,7,TRUE,-0.44737363201824737,0.12234397205433807,-0.6871634109703247,-0.20758385306616997,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.46159486605550687,-0.695575589404136,-0.22761414270687771,0.0142212340372595,stable within model uncertainty
primary__chest__all_available__l10_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,l10_midpoint,MCTQ,ESTIMABLE,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,153,896,896,8,20752.433333333334,2,6,8,TRUE,0.15656542217759797,0.07707562774098775,0.0054999677194457475,0.30763087663575017,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.1744712821517323,0.021740633143877253,0.32720193115958734,-0.017905859974134325,stable within model uncertainty
primary__chest__all_available__l10_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,l10_midpoint,MEQ,ESTIMABLE,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,154,902,902,8,20891.75,2,6,8,TRUE,-0.1905253750338443,0.08500075835481952,-0.3571238000678826,-0.02392694999980602,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.22677108239458893,-0.3917074891917406,-0.061834675597437244,0.03624570736074462,stable within model uncertainty
primary__chest__all_available__last_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,last_timing_above_250,MCTQ,ESTIMABLE,6d692f12236dbb899e5d86d1c00fd6209cc200edf0ed7c4a7f7f0ba1e4e570a2,153,783,783,8,18263.85,2,5,7,TRUE,-0.14190774989479985,0.10409667605736024,-0.3459334858775588,0.0621179860879591,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.18681002616668901,-0.4041352893003095,0.030515236966931508,0.04490227627188917,stable within model uncertainty
primary__chest__all_available__last_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,last_timing_above_250,MEQ,ESTIMABLE,af544e57c0ec2cbfc3370f8bc8a2758575541a6768d247f0b79fe458e2d60b52,154,787,787,8,18358.116666666665,2,5,7,TRUE,0.0743324579511635,0.11715149290577562,-0.1552802488792563,0.3039451647815833,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.17643101990040064,-0.06357348711920005,0.4164355269200013,-0.10209856194923714,stable within model uncertainty
primary__chest__all_available__longest_period_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,longest_period_midpoint,MCTQ,ESTIMABLE,a7cc6709b751267c2ee88145f2c47547e5aa1c035f65e819d307a30380048d27,149,547,547,8,12980.05,1,4,7,TRUE,0.070870895821313007,0.12394058372351381,-0.1720481844996452,0.3137899761422712,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.058424450758869984,-0.18936312681605952,0.30621202833379946,0.012446445062443023,stable within model uncertainty
primary__chest__all_available__longest_period_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,longest_period_midpoint,MEQ,ESTIMABLE,1907b1e46384901f463be25c32a2f6c825a358de50139ec89478fffe2933eb1f,150,549,549,8,13027.8,1,4,7,TRUE,-0.12201787786496451,0.13787295520611867,-0.39224390451106117,0.14820814878113212,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.06673569700099212,-0.33936398935444917,0.2058925953524649,-0.055282180863972394,stable within model uncertainty
primary__chest__all_available__m10_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MCTQ,ESTIMABLE,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,153,896,896,8,20752.433333333334,2,6,8,TRUE,0.12531109822446204,0.07935296733541111,-0.030217859819327036,0.28084005626825115,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.1166265030988777,-0.03833912878324047,0.2715921349809959,0.008684595125584338,stable within model uncertainty
primary__chest__all_available__m10_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MEQ,ESTIMABLE,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,154,902,902,8,20891.75,2,6,8,TRUE,-0.24140663136560225,0.0863325471183012,-0.4106153144110798,-0.07219794832012474,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.21395955618749973,-0.3805462145913639,-0.04737289778363557,-0.02744707517810252,stable within model uncertainty
primary__chest__all_available__mean_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MCTQ,ESTIMABLE,00077b75ea786147cf82f8c5d8d5bb8903460ae2561fbdf56ed89c566abb8a4c,153,825,825,8,19196.816666666666,2,6,7,FALSE,0.12482341368000341,0.07304542798269241,-0.018342994401387924,0.26798982176139474,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,0.10826619850935178,-0.03710348272688575,0.2536358797455893,0.016557215170651632,stable within model uncertainty
primary__chest__all_available__mean_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MEQ,ESTIMABLE,61a7b57f8de7dd440eb961dc8333da2f02c0e811f8cf6532e10f0d1d7175fb90,154,831,831,8,19336.133333333335,2,6,7,FALSE,-0.18210077592229493,0.0802382775660161,-0.3393649101332146,-0.02483664171137523,Wald normal 95% confidence interval,PASS,TRUE,TRUE,FALSE,TRUE,,,-0.13750457447918213,-0.29559251031899614,0.020583361360631852,-0.0445962014431128,precision-sensitive
