metric_order,metric_id,manuscript_name,abbreviation,instrument_id,instrument_name,placement_label_glasses,placement_label_chest,participants_glasses,participants_chest,participant_days_glasses,participant_days_chest,observations_glasses,observations_chest,sites_glasses,sites_chest,derivation_hours_glasses,derivation_hours_chest,row_key_hash_glasses,row_key_hash_chest,estimate_glasses,estimate_chest,std_error_glasses,std_error_chest,conf_low_glasses,conf_low_chest,conf_high_glasses,conf_high_chest,main_p_raw_glasses,main_p_raw_chest,main_p_adjusted_glasses,main_p_adjusted_chest,main_adjusted_significant_glasses,main_adjusted_significant_chest,exact_sample_match,chest_minus_near_eye_point_difference,difference_interval_status,equivalence_status
3,first_timing_above_250,First light timing above 250 lx melEDI,First >250,MCTQ,MCTQ MSFsc,Near eye,Chest,111,111,558,558,558,558,8,8,12943.483333333334,12939.05,4d7f5884323df82a23446d8a2c2445f2a022e69aa1b5542b16e0baf0d45aa537,4d7f5884323df82a23446d8a2c2445f2a022e69aa1b5542b16e0baf0d45aa537,0.3294377303779286,0.3533793352578014,0.1271266183325774,0.12958695787573432,0.08027413696970762,0.09939356495525309,0.5786013237861496,0.6073651055603497,0.007744087829617442,0.005164718672349201,0.03872043914808721,0.025823593361746007,TRUE,TRUE,TRUE,0.02394160487987279,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
3,first_timing_above_250,First light timing above 250 lx melEDI,First >250,MEQ,MEQ,Near eye,Chest,112,112,563,563,563,563,8,8,13059.716666666667,13055.283333333333,345c252f0c9601f8b26fc09d3317cb330481d6203fbabab6ed04551cc66ef3f7,345c252f0c9601f8b26fc09d3317cb330481d6203fbabab6ed04551cc66ef3f7,-0.41173549879202076,-0.516526638196873,0.14293828922574878,0.14396247064232112,-0.6918893976862579,-0.7986878957812271,-0.13158159989778362,-0.23436538061251877,0.0032068740445749906,2.8059528384567e-4,0.016034370222874954,0.0014029764192283502,TRUE,TRUE,TRUE,-0.10479113940485218,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
2,l10_midpoint,Midpoint of the darkest 10 hours,L10 midpoint,MCTQ,MCTQ MSFsc,Near eye,Chest,111,111,637,637,637,637,8,8,14734.8,14734.4,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,0.1900609292606813,0.11120478736465957,0.09132306440425883,0.0902152611753376,0.011071012070502234,-0.06561387539487669,0.3690508464508604,0.28802345012419583,0.03178494457525456,0.19953376642528106,0.0794623614381364,0.33255627737546845,FALSE,FALSE,TRUE,-0.07885614189602173,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
2,l10_midpoint,Midpoint of the darkest 10 hours,L10 midpoint,MEQ,MEQ,Near eye,Chest,112,112,643,643,643,643,8,8,14874.116666666667,14873.716666666667,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,-0.2563264807702527,-0.21901205485857292,0.10322366126805793,0.101193081424794,-0.4586411392080083,-0.4173468499357982,-0.05401182233249713,-0.02067725978134763,0.010666589377727092,0.02542432542409269,0.026666473444317728,0.04237387570682115,TRUE,TRUE,TRUE,0.0373144259116798,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
4,last_timing_above_250,Last light timing above 250 lx melEDI,Last >250,MCTQ,MCTQ MSFsc,Near eye,Chest,111,111,520,520,520,520,8,8,12131.816666666668,12132.316666666668,26c5d1aab74d2fe26c0a446cbf05b476ada858146b4d4741178794aa2c0a78e7,26c5d1aab74d2fe26c0a446cbf05b476ada858146b4d4741178794aa2c0a78e7,-0.08149287259776543,-0.20588857481155093,0.13116009010288215,0.11295430353027766,-0.33856192540844277,-0.4272749416297006,0.17557618021291188,0.015497792006598704,0.5073077954899292,0.0579168016790378,0.5073077954899292,0.1447920041975945,FALSE,FALSE,TRUE,-0.1243957022137855,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
4,last_timing_above_250,Last light timing above 250 lx melEDI,Last >250,MEQ,MEQ,Near eye,Chest,112,112,524,524,524,524,8,8,12226.083333333334,12226.583333333334,00493dd1095273812da93f4bdb1fc3343ae41e2dbd9310853fedacee804af87e,00493dd1095273812da93f4bdb1fc3343ae41e2dbd9310853fedacee804af87e,0.0822505344594479,0.16667008092532687,0.1526067524963175,0.13354839134472346,-0.21685320423095228,-0.09507995630359173,0.3813542731498481,0.42842011815424547,0.5662265222208843,0.1900725435441858,0.5662265222208843,0.23759067943023224,FALSE,FALSE,TRUE,0.08441954646587897,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
5,longest_period_midpoint,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,MCTQ,MCTQ MSFsc,Near eye,Chest,104,104,355,355,355,355,8,8,8428.933333333332,8428.466666666667,f3746d1ac910b04692d48fe478c73006c509f1faebacdcfbb4f5c3060c3b7d8f,f3746d1ac910b04692d48fe478c73006c509f1faebacdcfbb4f5c3060c3b7d8f,0.12507855886077354,0.009139193446067319,0.16344326023413067,0.1557746686402306,-0.19526434471393003,-0.2961735467924455,0.4454214624354771,0.3144519336845802,0.4122531168400369,0.907084609176922,0.5073077954899292,0.907084609176922,FALSE,FALSE,TRUE,-0.11593936541470623,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
5,longest_period_midpoint,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,MEQ,MEQ,Near eye,Chest,105,105,357,357,357,357,8,8,8476.683333333332,8476.216666666667,45eb634ca54fba7c5d2dba612b55b612958581b678553cadd1650c31d474f12c,45eb634ca54fba7c5d2dba612b55b612958581b678553cadd1650c31d474f12c,-0.10283909219984345,-0.06515557808591513,0.1870957531416159,0.17707410880944338,-0.46954003001780714,-0.4122144539469508,0.26386184561812026,0.28190329777512046,0.5589411412535382,0.6727110214457002,0.5662265222208843,0.6727110214457002,FALSE,FALSE,TRUE,0.037683514113928326,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
1,m10_midpoint,Midpoint of the brightest 10 hours,M10 midpoint,MCTQ,MCTQ MSFsc,Near eye,Chest,111,111,637,637,637,637,8,8,14734.8,14734.4,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,0.11813914879321412,0.09335391000401495,0.09158317560159064,0.0953763952040125,-0.06136057697571089,-0.09358038957110824,0.2976388745621391,0.28028820957913814,0.18117778754272024,0.30884480520229785,0.3019629792378671,0.3860560065028723,FALSE,FALSE,TRUE,-0.024785238789199165,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
1,m10_midpoint,Midpoint of the brightest 10 hours,M10 midpoint,MEQ,MEQ,Near eye,Chest,112,112,643,643,643,643,8,8,14874.116666666667,14873.716666666667,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,-0.2246364172432347,-0.2874083168251476,0.10287589996714054,0.10574617497454485,-0.4262694760559754,-0.4946670112781262,-0.023003358430493975,-0.08014962237216902,0.02415373698711349,0.005345971697841362,0.04025622831185582,0.013364929244603405,TRUE,TRUE,TRUE,-0.06277189958191293,Not estimated: the separate placement models do not specify a paired-difference covariance model or resampling method,Not assessed: no prespecified defensible equivalence margin
