"route","line","target","exists","scope"
"index.qmd",231,"assets/Fig1.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",233,"assets/tbl1_red.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",245,"assets/Brown_table.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",299,"assets/Fig4.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",323,"assets/H4.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",335,"assets/Fig10.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",546,"audit/hypotheses/H01/H01_analysis_preparation.qmd",TRUE,"DYNAMIC_SOURCE_LINK_NOT_RESOURCE_COPY"
"index.qmd",557,"notebooks/preregistration_deviations.qmd",TRUE,"DYNAMIC_SOURCE_LINK_NOT_RESOURCE_COPY"
"index.qmd",656,"assets/Timeseries_to_metrics.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",658,"assets/Fig5.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",660,"assets/Fig9.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",662,"assets/Fig6.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",664,"assets/Fig12.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",666,"assets/Fig14.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",668,"assets/Fig7.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",670,"assets/Fig8.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",672,"assets/Fig13.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",674,"assets/photoperiod_potential_ridges.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",678,"assets/tbl2.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",680,"assets/H1.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",682,"assets/H1_R2_tbl.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",684,"assets/H3.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",686,"assets/H6.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",688,"assets/H8.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",690,"assets/H9.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"index.qmd",692,"assets/H10.png",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"notebooks/preparation/01_import_state_alignment.qmd",596,"notebooks/preparation/02_coverage_sample_flow.qmd",TRUE,"DYNAMIC_SOURCE_LINK_NOT_RESOURCE_COPY"
"notebooks/preparation/01_import_state_alignment.qmd",742,"artifacts/02_aligned/state_interval_audit.csv",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"notebooks/preparation/01_import_state_alignment.qmd",917,"artifacts/12_manifests/pinned_downloads.csv",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"notebooks/preparation/01_import_state_alignment.qmd",920,"artifacts/02_aligned/source_audit.csv",TRUE,"LOCAL_LINK_OR_IMAGE_RESOURCE_REQUIRES_MAPPING"
"notebooks/preparation/02_coverage_sample_flow.qmd",475,"notebooks/preparation/03_reference_profiles.qmd",TRUE,"DYNAMIC_SOURCE_LINK_NOT_RESOURCE_COPY"
"notebooks/preparation/02_coverage_sample_flow.qmd",476,"notebooks/preparation/04_metric_derivation.qmd",TRUE,"DYNAMIC_SOURCE_LINK_NOT_RESOURCE_COPY"
