"path","sha256","bytes","basis"
"nature.csl","15b1272a3c360168e0b51ab9257534b08ced67190ed57be7a1c32cea8fc87be8",6444,"Current filter/font/runtime metadata. No code or renderer executed."
"_extensions/kapsner/authors-block/_extension.yml","d9b2e74c18e5c6ef9c299e659d5340b6cdaedea89fcce3b8d78823489dbbc603",263,"Current filter/font/runtime metadata. No code or renderer executed."
"_extensions/kapsner/authors-block/authors-block.lua","d0b0874a22eb4556690773ca04094bf467190d60a3f2267918dc8048aec329d6",2926,"Current filter/font/runtime metadata. No code or renderer executed."
"_extensions/kapsner/authors-block/from_author_info_blocks.lua","0bb5577a23b9109fe555313ac087096c37af7142e617adf747ba47f930aa5d30",7564,"Current filter/font/runtime metadata. No code or renderer executed."
"_extensions/kapsner/authors-block/from_scholarly_metadata.lua","84a3066380783b6794e6312f653d896ae6547011463af291bbcc7638ab2ad834",2246,"Current filter/font/runtime metadata. No code or renderer executed."
"_extensions/kapsner/authors-block/utils.lua","75d6b7897e3c6aac79f2f6e04433084758340dac4701b2031fabed665262628f",1888,"Current filter/font/runtime metadata. No code or renderer executed."
"/Applications/quarto/share/version","5a31f565b57cfc812a1df236e9887e0befa27ea00d239971405c9fe8f675e62e",6,"Current filter/font/runtime metadata. No code or renderer executed."
"/Applications/quarto/bin/quarto","72632b5b855ffec9db28a098cf62b9b83a80c57174bfa733b2b399a7bdef037f",8061,"Current filter/font/runtime metadata. No code or renderer executed."
"/Library/Frameworks/R.framework/Resources/bin/Rscript","e985928bd58bee1f2454916e59a97338288b2eeec3610caa9d1135ae04e3b393",70848,"Current filter/font/runtime metadata. No code or renderer executed."
"/Library/Frameworks/R.framework/Resources/bin/R","353ad5ebb2fc1a6945c6f4650a7aaae638dccd1f153eb3fc817720d8b8fb1a26",9263,"Current filter/font/runtime metadata. No code or renderer executed."
