"route","frontmatter","sha256"
"notebooks/preparation/01_import_state_alignment.qmd","title: ""Preparation 01: Import and align light, sleep, and wear data""
subtitle: ""From fixed site releases to checked one-minute measurement records""
date: last-modified
engine: knitr
bibliography: ../../bibliography.bib
format:
  html:
    toc: true
    code-fold: true
    code-summary: ""Show supporting R code""
execute:
  echo: false
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","4456931d89395d050f331ce56047db4eb0a36036856dcd9aa399e971c837732d"
"notebooks/preparation/02_coverage_sample_flow.qmd","title: ""Preparation 02: Assess coverage and document sample flow""
subtitle: ""From aligned one-minute measurements to eligible participant-days""
date: last-modified
engine: knitr
format:
  html:
    toc: true
    code-fold: true
    code-summary: ""Show supporting R code""
execute:
  echo: false
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","18e56cc8d7d3344761bc8f61c0bddc87746f172e290bf646204824e30a871f9d"
"notebooks/preparation/03_reference_profiles.qmd","title: ""Preparation 03: Learn fixed time-of-day reference profiles""
subtitle: ""From eligible one-minute records to metric-specific temporal-support maps""
date: last-modified
engine: knitr
format:
  html:
    toc: true
    code-fold: true
    code-summary: ""Show supporting R code""
execute:
  echo: false
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","620f18bc9670799e898d76129e6da61acf4af5970e0cbbbfb6453607d94cb53e"
"notebooks/preparation/04_metric_derivation.qmd","title: ""Preparation 04: Derive light-exposure metrics""
subtitle: ""From eligible one-minute records to metric-specific analysis inputs""
date: last-modified
engine: knitr
format:
  html:
    toc: true
    code-fold: true
    code-summary: ""Show supporting R code""
execute:
  echo: false
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","a8db456f09d051aefd1ae8c9c106eac6efae3cf5a63325b48c8d601bc897e36b"
"notebooks/preparation/05_model_input_acquisition.qmd","title: ""Preparation 05: Acquire fixed questionnaire and diary inputs""
subtitle: ""From site-specific data releases to locally verified analysis inputs""
date: last-modified
engine: knitr
format:
  html:
    toc: true
    code-fold: true
    code-summary: ""Show supporting R code""
execute:
  echo: false
  warning: false
  message: false
  error: false
tbl-cap-location: top","8da087c05209ed371bd2666a375128741bef0572bc3e0ea7995213bd7e47de25"
"notebooks/preparation/06_model_ready_datasets.qmd","title: ""Preparation 06: Build model-ready datasets""
subtitle: ""From checked metrics and participant information to hypothesis-specific inputs""
date: last-modified
engine: knitr
format:
  html:
    toc: true
    code-fold: true
    code-summary: ""Show supporting R code""
execute:
  echo: false
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","1a0024c25eccacdea48d8d89c8c948682596f3c53c437f5265450243c9259dcf"
"notebooks/preparation/07_example_days.qmd","title: ""Preparation 07: Inspect example days from each study site""
subtitle: ""A display-only check of prepared one-minute light exposure, daylight, diary periods, and declared non-wear""
date: last-modified
engine: knitr
format:
  html:
    toc: true
    code-fold: true
    code-summary: ""Show supporting R code""
execute:
  echo: false
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","281c030897d03d2cb02609b66d9896293d1f422a403c6b14df8000872e5abdf6"
"notebooks/placement_decision.qmd","title: ""Sensor-placement decision""
subtitle: ""Primary near-eye analysis with chest-level measurements as a complementary comparison""","b26181f3e85462e1ddea2e5c013c16a4b80d0bfac57965366251122a215c31c3"
"notebooks/descriptives.qmd","title: ""Descriptive tables and figures""
subtitle: ""Study sample, light exposure distributions, and temporal context""
engine: knitr
bibliography: ../bibliography.bib
format:
  html:
    toc: true
    toc-depth: 3
    page-layout: full
execute:
  echo: false
  warning: false
  message: false","683f2b491fb1adc34822c296780488519ab208779e0a674821320357d1f6806b"
"notebooks/preregistration_deviations.qmd","title: ""Preregistration deviations and current analysis decisions""
subtitle: ""What changed from the registered plan, why it changed, and how to interpret the current analyses""
date: 2026-08-12
format:
  html:
    toc: true
    toc-depth: 2
    code-tools: false
execute:
  enabled: false","5215161aedffb0660e62fbba6bb6cb604daf2155ca6a2a86bc71f00908cde723"
"notebooks/hypotheses/H01.qmd","title: ""H01: Site differences in personal light exposure""
subtitle: ""Site, photoperiod, and latitude associations in personal light exposure""
format:
  html:
    toc: true
    toc-depth: 3
    page-layout: full
    lightbox: true
execute:
  echo: false
  warning: false
  message: false","353033abc3ec6a556c825129b744d98f601dd42bd0a2dafb1963ca52e634a42f"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","title: ""H01 analysis preparation and provenance""
subtitle: ""From verified personal light-exposure metrics to reported results""
date: last-modified
format:
  html:
    toc: true
    toc-depth: 3
    code-fold: true
    code-summary: ""Show the R code used for this display""
    code-tools: true
    page-layout: full
    lightbox: true
execute:
  echo: true
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","7bedb8f0abf0427e1703a94e5b6fe64fa52db0148146f735ecb737001d506575"
"notebooks/hypotheses/H02.qmd","title: ""H02: Daily melEDI patterns across sites and people""
subtitle: ""Site, participant, and participant-day variation in personal light exposure""
format:
  html:
    toc: true
    toc-depth: 2
    code-tools: false
    lightbox: true
execute:
  echo: false
  warning: false
  message: false","506306d2ebab3e9b4af6fb53d66abef2f44bc0998ef235d3543b2adbded58204"
"audit/hypotheses/H02/H02_analysis_preparation.qmd","title: ""H02 analysis preparation and provenance""
subtitle: ""From verified 30-minute data to reported results""
date: last-modified
format:
  html:
    toc: true
    toc-depth: 3
    code-fold: true
    code-summary: ""Show the R code used for this display""
    code-tools: true
    page-layout: full
    lightbox: true
execute:
  echo: true
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","e159eb79f6ce84971708e9dd2f07929ffadc08e42edf50e371fb26b0326f4967"
"notebooks/hypotheses/H03.qmd","title: ""H03: Self-reported light source and measured personal light exposure""
subtitle: ""Associations with one-hour melanopic equivalent daylight illuminance""
format:
  html:
    toc: true
    toc-depth: 2
    code-tools: false
    lightbox: true
execute:
  echo: false
  warning: false
  message: false","7327c4dff1ac708612d9f53cff276492c43390de863d1bd4cddef7875724186f"
"audit/hypotheses/H03/H03_analysis_preparation.qmd","title: ""H03 analysis preparation and provenance""
subtitle: ""From verified one-hour records and reported light sources to site-average exposure contrasts""
date: last-modified
format:
  html:
    toc: true
    toc-depth: 3
    code-fold: true
    code-summary: ""Show the R code used for this display""
    code-tools: true
    page-layout: full
    lightbox: true
execute:
  echo: true
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","c79c0a855c6a9fbf117d9670f0a9324a1725496419c4dd19dc7e163b13143867"
"notebooks/hypotheses/H04.qmd","title: ""H04: Self-reported activity and measured personal light exposure""
subtitle: ""Associations with one-hour melanopic equivalent daylight illuminance""
page-layout: full
format:
  html:
    toc: true
    toc-depth: 2
    code-tools: false
    lightbox: true
execute:
  echo: false
  warning: false
  message: false
  error: false","7dd4fd89ffb68317bda8e307cbc7dafb6a302a245b300f4b4d94d651f8510929"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","title: ""H04 analysis preparation and provenance""
subtitle: ""From verified one-hour records and multi-select activity reports to site-average exposure contrasts""
date: last-modified
format:
  html:
    toc: true
    toc-depth: 3
    code-fold: true
    code-summary: ""Show the R code used for this display""
    code-tools: true
    page-layout: full
    lightbox: true
execute:
  echo: true
  warning: false
  message: false
  error: false
fig-cap-location: bottom
tbl-cap-location: top","3b62da81be3202be948866939fdb398cc24fb9caa31b94e86b4edc1f72c46b6a"
"notebooks/hypotheses/H05.qmd","title: ""H05: Habitual light-related behaviour and personal light exposure""
subtitle: ""Associations between habitual light-related behaviours and 17 light-exposure metrics""
format:
  html:
    toc: true
    toc-depth: 2
    code-tools: false
    lightbox: true
execute:
  echo: false
  warning: false
  message: false","e42cd171b80669ab08155029e5660d96f1033b4620992a859692647db77dab82"
