"route","context","basis"
"index.qmd","index.qmd::TOP_LEVEL","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"supplementary_information.qmd","supplementary_information.qmd::TOP_LEVEL","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd::TOP_LEVEL","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd::absolute_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd::read_stored_csv","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd::assert_columns","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd::prep_gt","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd::wrap_provenance_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/02_coverage_sample_flow.qmd","notebooks/preparation/02_coverage_sample_flow.qmd::TOP_LEVEL","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/02_coverage_sample_flow.qmd","notebooks/preparation/02_coverage_sample_flow.qmd::absolute_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/02_coverage_sample_flow.qmd","notebooks/preparation/02_coverage_sample_flow.qmd::read_stored_csv","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/02_coverage_sample_flow.qmd","notebooks/preparation/02_coverage_sample_flow.qmd::assert_columns","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/02_coverage_sample_flow.qmd","notebooks/preparation/02_coverage_sample_flow.qmd::prep_gt","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/02_coverage_sample_flow.qmd","notebooks/preparation/02_coverage_sample_flow.qmd::wrap_provenance_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd::TOP_LEVEL","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd::absolute_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd::read_stored_csv","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd::assert_columns","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd::prep_gt","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd::wrap_provenance_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd::wrap_hash","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::TOP_LEVEL","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::absolute_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::read_stored_csv","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::assert_columns","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::prep_gt","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::wrap_provenance_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::wrap_hash","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::placement_label","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::format_count_fraction","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::check_manifest","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::check_file_hash","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::path_hash_markdown","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::output_file_lines","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::relative_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd::format_integer","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/05_model_input_acquisition.qmd","notebooks/preparation/05_model_input_acquisition.qmd::TOP_LEVEL","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
"notebooks/preparation/05_model_input_acquisition.qmd","notebooks/preparation/05_model_input_acquisition.qmd::absolute_path","Conservative AST call/symbol reachability; all syntactic branches, callbacks and defaults retained; no code evaluated"
