"file","unit","scope","node","expression","candidate","dynamic","exists"
"notebooks/descriptives.qmd","chunk_1","TOP_LEVEL","3","source(file.path(root, ""scripts"", ""descriptives"", ""build_descriptives.R""))","scripts/descriptives/build_descriptives.R",FALSE,TRUE
"notebooks/hypotheses/H01.qmd","chunk_1","TOP_LEVEL","9","source(file.path(root, ""scripts/hypotheses/H01/h01_contract.R""))","scripts/hypotheses/H01/h01_contract.R",FALSE,TRUE
"notebooks/hypotheses/H01.qmd","chunk_1","TOP_LEVEL","10","source(file.path(root, ""scripts/pipeline/p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","chunk_1","TOP_LEVEL","7","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","chunk_1","TOP_LEVEL","8","source(file.path(root, ""scripts/pipeline/p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","chunk_1","TOP_LEVEL","9","source(file.path(root, ""scripts/hypotheses/H01/h01_contract.R""))","scripts/hypotheses/H01/h01_contract.R",FALSE,TRUE
"notebooks/hypotheses/H02.qmd","chunk_1","TOP_LEVEL","4","source(file.path(root, ""scripts"", ""pipeline"", ""p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H02/H02_analysis_preparation.qmd","chunk_1","TOP_LEVEL","7","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"audit/hypotheses/H02/H02_analysis_preparation.qmd","chunk_1","TOP_LEVEL","8","source(file.path(root, ""scripts/pipeline/p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H02/H02_analysis_preparation.qmd","chunk_1","TOP_LEVEL","9","source(file.path(root, ""scripts/hypotheses/H02/h02_contract.R""))","scripts/hypotheses/H02/h02_contract.R",FALSE,TRUE
"notebooks/hypotheses/H03.qmd","chunk_1","TOP_LEVEL","12","source(file.path(root, ""scripts/pipeline/p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H03/H03_analysis_preparation.qmd","chunk_1","TOP_LEVEL","7","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"notebooks/hypotheses/H04.qmd","chunk_1","TOP_LEVEL","12","source(file.path(root, ""scripts/pipeline/p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H04/H04_analysis_preparation.qmd","chunk_1","TOP_LEVEL","11","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"notebooks/hypotheses/H05.qmd","chunk_1","TOP_LEVEL","4","source(file.path(root, ""scripts"", ""pipeline"", ""p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H05/H05_analysis_preparation.qmd","chunk_1","TOP_LEVEL","7","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"audit/hypotheses/H05/H05_analysis_preparation.qmd","chunk_2","TOP_LEVEL","7","sys.source(file.path(root, ""scripts/hypotheses/H01/h01_contract.R""), envir = h01_contract_environment)","scripts/hypotheses/H01/h01_contract.R",FALSE,TRUE
"notebooks/hypotheses/H06.qmd","chunk_1","TOP_LEVEL","3","source(file.path(h06_root, ""scripts"", ""pipeline"", ""paths_io.R""))","{h06_root}/scripts/pipeline/paths_io.R",TRUE,FALSE
"notebooks/hypotheses/H06.qmd","chunk_1","TOP_LEVEL","4","source(file.path(h06_root, ""scripts"", ""pipeline"", ""p_value_display.R""))","{h06_root}/scripts/pipeline/p_value_display.R",TRUE,FALSE
"notebooks/hypotheses/H06.qmd","chunk_1","TOP_LEVEL","5","source(file.path(h06_root, ""scripts"", ""hypotheses"", ""H06"", ""h06_contract.R""))","{h06_root}/scripts/hypotheses/H06/h06_contract.R",TRUE,FALSE
"audit/hypotheses/H06/H06_analysis_preparation.qmd","chunk_1","TOP_LEVEL","7","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"audit/hypotheses/H06/H06_analysis_preparation.qmd","chunk_1","TOP_LEVEL","8","source(file.path(root, ""scripts/pipeline/p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
