"source","key","node","old","current"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","setup-h04-preparation","root/17/3/7","""Other/unspecified""","""Other"""
"audit/hypotheses/H04/H04_analysis_preparation.qmd","setup-h04-preparation","root/28/3","read_h04_csv(""artifacts/11_source_data/H04/H04_preparation_category_support.csv"")","mutate(read_h04_csv(""artifacts/11_source_data/H04/H04_preparation_category_support.csv""), short_label = if_else(.data$activity_code == ""other"", ""Other"", .data$short_label))"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","setup-h04-preparation","root/29/3","read_h04_csv(paste0(""artifacts/11_source_data/H04/"", ""H04_preparation_site_category_support.csv""))","mutate(read_h04_csv(paste0(""artifacts/11_source_data/H04/"", ""H04_preparation_site_category_support.csv"")), short_label = if_else(.data$activity_code == ""other"", ""Other"", .data$short_label))"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","setup-h04-preparation","root/30/3","read_h04_csv(paste0(""artifacts/11_source_data/H04/"", ""H04_preparation_clock_category_support.csv""))","mutate(read_h04_csv(paste0(""artifacts/11_source_data/H04/"", ""H04_preparation_clock_category_support.csv"")), short_label = if_else(.data$activity_code == ""other"", ""Other"", .data$short_label))"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","tbl-h04-prep-estimand-contract","root/1/2/2/2/2/22","""Other/unspecified mean melEDI""","""Other mean melEDI"""
"audit/hypotheses/H06/H06_analysis_preparation.qmd","setup-h06-preparation","root","expression(suppressPackageStartupMessages({
    library(cowplot)
    library(dplyr)
    library(ggplot2)
    library(gt)
    library(knitr)
    library(LightLogR)
    library(readr)
    library(scales)
    library(tibble)
    library(tidyr)
}), root_candidates <- unique(c(normalizePath(getwd(), winslash = ""/"", mustWork = TRUE), normalizePath(file.path(getwd(), ""../../..""), winslash = ""/"", mustWork = FALSE))), is_project_root <- vapply(root_candidates, function(path) {
    file.exists(file.path(path, ""renv.lock"")) && file.exists(file.path(path, ""scripts/hypotheses/H06/h06_contract.R""))
}, logical(1)), stopifnot(any(is_project_root)), root <- root_candidates[which(is_project_root)[1L]], knitr::opts_knit$set(root.dir = root), source(file.path(root, ""scripts/pipeline/paths_io.R"")), if (!identical(as.character(getRversion()), ""4.6.1"")) {
    stop(""H06 preparation requires R 4.6.1"", call. = FALSE)
}, read_h06_csv <- function(relative_path) {
    readr::read_csv(file.path(root, relative_path), show_col_types = FALSE)
}, h06_gt <- function(table, font_size = 12) {
    gt::tab_options(gt::sub_missing(gt::opt_row_striping(table), missing_text = ""—""), table.width = gt::pct(100), table.font.size = gt::px(font_size), data_row.padding = gt::px(4), column_labels.font.weight = ""600"", source_notes.font.size = gt::px(11))
}, placement_colors <- c(`Near-eye` = ""#0072B2"", Chest = ""#D55E00""), joint_colors <- c(`Work day · Sedentary` = ""#0072B2"", `Work day · Active` = ""#D55E00"", `Free day · Sedentary` = ""#56B4E9"", `Free day · Active` = ""#CC79A7""), frame_integrity <- read_h06_csv(""artifacts/11_source_data/H06/H06_preparation_frame_integrity.csv""), response_distribution <- read_h06_csv(""artifacts/11_source_data/H06/H06_preparation_response_distribution.csv""), site_day_activity_support <- read_h06_csv(paste0(""artifacts/11_source_data/H06/"", 
    ""H06_preparation_site_day_activity_support.csv"")), clock_day_activity_support <- read_h06_csv(paste0(""artifacts/11_source_data/H06/"", ""H06_preparation_clock_day_activity_support.csv"")), participant_day_support <- read_h06_csv(paste0(""artifacts/11_source_data/H06/"", ""H06_preparation_participant_day_support.csv"")), input_provenance <- read_h06_csv(""artifacts/11_source_data/H06/H06_preparation_input_provenance.csv""), shared_provenance <- read_h06_csv(""artifacts/11_source_data/H06/H06_preparation_shared_provenance.csv""), 
    exercise_diary_source_pin <- read_h06_csv(paste0(""artifacts/11_source_data/H06/"", ""H06_preparation_exercise_diary_source_pin.csv"")), candidate_flow <- read_h06_csv(""artifacts/06_model_data/H06/H06_candidate_flow.csv""), candidate_missingness <- read_h06_csv(""artifacts/06_model_data/H06/H06_candidate_missingness.csv""), exact_samples <- read_h06_csv(""artifacts/06_model_data/H06/H06_exact_samples.csv""), category_cells <- read_h06_csv(""artifacts/06_model_data/H06/H06_category_cells.csv""), predictor_registry <- read_h06_csv(""artifacts/06_model_data/H06/H06_predictor_registry.csv""), 
    multiplicity_registry <- read_h06_csv(""artifacts/06_model_data/H06/H06_multiplicity_registry.csv""), true_time_sequences <- read_h06_csv(""artifacts/06_model_data/H06/H06_true_time_sequences.csv""), previous_night_linkage <- read_h06_csv(""artifacts/06_model_data/H06/H06_previous_night_linkage_audit.csv""), exploratory_predictor_samples <- read_h06_csv(""artifacts/06_model_data/H06/H06_exploratory_predictor_samples.csv""), temporal_formula_registry <- read_h06_csv(paste0(""artifacts/06_model_data/H06/"", 
        ""H06_exploratory_two_part_formula_registry.csv"")), package_versions <- read_h06_csv(""artifacts/06_model_data/H06/H06_package_versions.csv""), fit_diagnostics <- read_h06_csv(""artifacts/08_diagnostics/H06/H06_robust_fit_diagnostics.csv""), residual_acf <- read_h06_csv(""artifacts/08_diagnostics/H06/H06_robust_residual_acf.csv""), influence_deletions <- read_h06_csv(""artifacts/08_diagnostics/H06/H06_robust_influence_deletions.csv""), temporal_fit_summary <- read_h06_csv(paste0(""artifacts/08_diagnostics/H06/"", 
        ""H06_exploratory_two_part_fit_summary.csv"")), temporal_k_check <- read_h06_csv(paste0(""artifacts/08_diagnostics/H06/"", ""H06_exploratory_two_part_k_check.csv"")), sensitivity_comparisons <- read_h06_csv(""artifacts/09_tables/H06/H06_robust_sensitivity_comparisons.csv""), primary_formula_registry <- tibble::tribble(~model, ~wilkinson_formula, ~purpose, ""Primary additive model"", paste0(""response_value ~ site + work_free_day + activity_status + "", ""previous_sleep_duration_centered_h""), ""Average association for each of the three prespecified predictors"", 
        ""Predictor-by-site interaction model"", paste0(""response_value ~ site * work_free_day + site * activity_status + "", ""site * previous_sleep_duration_centered_h""), ""Site-specific associations and three omnibus site-interaction tests""), model_settings <- tibble::tribble(~setting, ~implementation, ~interpretation, ""Mean and link"", ""Quasi-Poisson mean with log link; working variance power 1"", ""Estimated zero-aware geometric-mean melEDI for an observed hour that met support criteria"", ""Site adjustment"", 
        ""Fixed site effects with sum contrasts"", ""The site-average ratios give each included site equal weight"", ""Repeated observations"", ""Participant-cluster HC3 covariance with finite-cluster correction"", ""Hours may repeat within participant-days and participants"", ""Reference coding"", ""Work day; Sedentary; previous sleep centred at 8 h"", ""Ratios compare Free versus Work, Active versus Sedentary, and one additional hour of sleep"", ""Uncertainty"", ""95% confidence intervals with participants minus one degrees of freedom"", 
        ""Finite-participant rather than asymptotic normal inference"", ""Back-transformation"", ""Standardized log means are exponentiated once"", ""Reported contrasts are ratios of estimated mean hourly melEDI""), sensitivity_registry <- tibble::tribble(~check, ~`stored comparison`, ~`question addressed`, ""Gap timing"", ""Gap-timing-unaware near-eye and chest frames"", ""Whether the metric-specific use of remaining gap timing changes the conclusion"", ""Exact common hours"", ""Primary and gap-timing-unaware frames restricted to common hour keys"", 
        ""Whether different retained hours explain the dataset comparison"", ""Sensor position"", ""Separate near-eye and chest estimates on all available and paired days"", ""Whether the pattern remains similar after changing sensor position or restricting to paired days; not a direct position effect"", ""Working variance"", ""Power 1.8 in the same quasi-likelihood mean model"", ""Whether inference depends on the power-1 working variance"", ""Cluster covariance"", ""Participant-cluster HC1, HC2, and HC3"", ""Whether the sandwich correction changes uncertainty"", 
        ""Site standardization"", ""Site-average weighting and observed-site weighting"", ""Whether large sites dominate the reported average"", ""Calendar label"", ""Weekday/weekend replacing diary-defined work/free day"", ""Whether the diary label drives the day-type conclusion"", ""Influence"", ""Seven targeted one-participant deletions and nine leave-one-site-out refits"", ""Whether individual participants or sites dominate a contrast"", ""Response model"", ""Gaussian log10 sensitivity"", ""Whether the log-mean result depends on the quasi-Poisson working mean""), 
    code_map <- tibble::tribble(~file, ~responsibility, ""scripts/hypotheses/H06/h06_contract.R"", ""Predictor labels, input identities, formula and multiplicity contracts"", ""scripts/hypotheses/H06/h06_robust_modeling.R"", ""Frame assembly, quasi-likelihood fits, clustered covariance, contrasts, and stored model checks"", ""scripts/hypotheses/H06/run_h06_stage2_robust.R"", ""Analysis orchestration and artifact writing"", ""scripts/hypotheses/H06/run_h06_exploratory_time_of_day_two_part.R"", ""Separate exploratory occurrence and positive-magnitude clock-time models"", 
        ""scripts/hypotheses/H06/diagnose_h06_exploratory_two_part.R"", ""Stored temporal calibration, residual, basis, and correlation checks"", ""scripts/hypotheses/H06/build_h06_stage3_reader_displays.R"", ""Reader tables, primary figures, and paired source data"", ""scripts/hypotheses/H06/build_h06_stage3_temporal_contrasts.R"", ""Stored-model exploratory Active/Sedentary and Free/Work clock-time contrasts"", ""notebooks/hypotheses/H06.qmd"", ""Reader-facing results and qualifications"", ""audit/hypotheses/H06/H06_analysis_preparation.qmd"", 
        ""This bounded preparation and provenance display""), output_inventory <- mutate(tibble::tribble(~role, ~relative_path, ""Primary model bundle"", ""artifacts/07_models/H06/H06_robust_core_models.rds"", ""Primary effect estimates"", ""artifacts/09_tables/H06/H06_robust_core_effects.csv"", ""Site-specific estimates"", ""artifacts/09_tables/H06/H06_robust_site_specific_effects.csv"", ""Model-check outputs"", ""artifacts/08_diagnostics/H06/H06_robust_fit_diagnostics.csv"", ""Temporal model bundle"", ""artifacts/07_models/H06/H06_exploratory_time_of_day_two_part.rds"", 
        ""Temporal model-check outputs"", ""artifacts/08_diagnostics/H06/H06_exploratory_two_part_fit_summary.csv"", ""Reader primary figure"", ""artifacts/10_figures/H06/H06_reader_primary_effects.png"", ""Temporal activity figure"", ""artifacts/10_figures/H06/H06_reader_temporal_activity.png"", ""Temporal day-type figure"", ""artifacts/10_figures/H06/H06_reader_temporal_day_type.png"", ""Reader artifact manifest"", ""artifacts/12_manifests/H06/H06_stage3_artifacts.csv""), absolute_path = file.path(root, .data$relative_path), 
        exists = file.exists(.data$absolute_path), sha256 = vapply(.data$absolute_path, artifact_sha256, character(1))), stopifnot(all(output_inventory$exists)), knitr::opts_chunk$set(fig.align = ""center"", dpi = 192, dev = ""png"", fig.retina = 1))","expression(suppressPackageStartupMessages({
    library(cowplot)
    library(dplyr)
    library(ggplot2)
    library(gt)
    library(knitr)
    library(LightLogR)
    library(readr)
    library(scales)
    library(tibble)
    library(tidyr)
}), root_candidates <- unique(c(normalizePath(getwd(), winslash = ""/"", mustWork = TRUE), normalizePath(file.path(getwd(), ""../../..""), winslash = ""/"", mustWork = FALSE))), is_project_root <- vapply(root_candidates, function(path) {
    file.exists(file.path(path, ""renv.lock"")) && file.exists(file.path(path, ""scripts/hypotheses/H06/h06_contract.R""))
}, logical(1)), stopifnot(any(is_project_root)), root <- root_candidates[which(is_project_root)[1L]], knitr::opts_knit$set(root.dir = root), source(file.path(root, ""scripts/pipeline/paths_io.R"")), source(file.path(root, ""scripts/pipeline/p_value_display.R"")), if (!identical(as.character(getRversion()), ""4.6.1"")) {
    stop(""H06 preparation requires R 4.6.1"", call. = FALSE)
}, read_h06_csv <- function(relative_path) {
    readr::read_csv(file.path(root, relative_path), show_col_types = FALSE)
}, h06_gt <- function(table, font_size = 12) {
    gt::tab_options(gt::sub_missing(gt::opt_row_striping(table), missing_text = ""—""), table.width = gt::pct(100), table.font.size = gt::px(font_size), data_row.padding = gt::px(4), column_labels.font.weight = ""600"", source_notes.font.size = gt::px(11))
}, h06_format_ratio <- function(estimate, low, high) {
    sprintf(""%.2f × (%.2f–%.2f)"", estimate, low, high)
}, h06_format_p <- function(value, significant = FALSE) {
    display <- nh_p_value_display(value, significant = significant)
    ifelse(display$p_bold, paste0(""**"", display$p_display, ""**""), display$p_display)
}, placement_colors <- c(`Near-eye` = ""#0072B2"", Chest = ""#D55E00""), joint_colors <- c(`Work day · Sedentary` = ""#0072B2"", `Work day · Active` = ""#D55E00"", `Free day · Sedentary` = ""#56B4E9"", `Free day · Active` = ""#CC79A7""), frame_integrity <- read_h06_csv(""artifacts/11_source_data/H06/H06_preparation_frame_integrity.csv""), response_distribution <- read_h06_csv(""artifacts/11_source_data/H06/H06_preparation_response_distribution.csv""), site_day_activity_support <- read_h06_csv(paste0(""artifacts/11_source_data/H06/"", 
    ""H06_preparation_site_day_activity_support.csv"")), clock_day_activity_support <- read_h06_csv(paste0(""artifacts/11_source_data/H06/"", ""H06_preparation_clock_day_activity_support.csv"")), participant_day_support <- read_h06_csv(paste0(""artifacts/11_source_data/H06/"", ""H06_preparation_participant_day_support.csv"")), input_provenance <- read_h06_csv(""artifacts/11_source_data/H06/H06_preparation_input_provenance.csv""), shared_provenance <- read_h06_csv(""artifacts/11_source_data/H06/H06_preparation_shared_provenance.csv""), 
    exercise_diary_source_pin <- read_h06_csv(paste0(""artifacts/11_source_data/H06/"", ""H06_preparation_exercise_diary_source_pin.csv"")), candidate_flow <- read_h06_csv(""artifacts/06_model_data/H06/H06_candidate_flow.csv""), candidate_missingness <- read_h06_csv(""artifacts/06_model_data/H06/H06_candidate_missingness.csv""), exact_samples <- read_h06_csv(""artifacts/06_model_data/H06/H06_exact_samples.csv""), category_cells <- read_h06_csv(""artifacts/06_model_data/H06/H06_category_cells.csv""), predictor_registry <- read_h06_csv(""artifacts/06_model_data/H06/H06_predictor_registry.csv""), 
    multiplicity_registry <- read_h06_csv(""artifacts/06_model_data/H06/H06_multiplicity_registry.csv""), true_time_sequences <- read_h06_csv(""artifacts/06_model_data/H06/H06_true_time_sequences.csv""), previous_night_linkage <- read_h06_csv(""artifacts/06_model_data/H06/H06_previous_night_linkage_audit.csv""), exploratory_predictor_samples <- read_h06_csv(""artifacts/06_model_data/H06/H06_exploratory_predictor_samples.csv""), temporal_formula_registry <- read_h06_csv(paste0(""artifacts/06_model_data/H06/"", 
        ""H06_exploratory_two_part_formula_registry.csv"")), package_versions <- read_h06_csv(""artifacts/06_model_data/H06/H06_package_versions.csv""), fit_diagnostics <- read_h06_csv(""artifacts/08_diagnostics/H06/H06_robust_fit_diagnostics.csv""), residual_acf <- read_h06_csv(""artifacts/08_diagnostics/H06/H06_robust_residual_acf.csv""), influence_deletions <- read_h06_csv(""artifacts/08_diagnostics/H06/H06_robust_influence_deletions.csv""), temporal_fit_summary <- read_h06_csv(paste0(""artifacts/08_diagnostics/H06/"", 
        ""H06_exploratory_two_part_fit_summary.csv"")), temporal_k_check <- read_h06_csv(paste0(""artifacts/08_diagnostics/H06/"", ""H06_exploratory_two_part_k_check.csv"")), sensitivity_comparisons <- read_h06_csv(""artifacts/09_tables/H06/H06_robust_sensitivity_comparisons.csv""), employment_eligibility_flow <- read_h06_csv(paste0(""artifacts/06_model_data/H06/employment_eligibility_sensitivity/"", ""H06_employment_eligibility_sample_flow.csv"")), employment_eligibility_effects <- read_h06_csv(paste0(""artifacts/09_tables/H06/employment_eligibility_sensitivity/"", 
        ""H06_employment_eligibility_effect_comparison.csv"")), employment_eligibility_heterogeneity <- read_h06_csv(paste0(""artifacts/09_tables/H06/employment_eligibility_sensitivity/"", ""H06_employment_eligibility_heterogeneity_comparison.csv"")), primary_formula_registry <- tibble::tribble(~model, ~wilkinson_formula, ~purpose, ""Primary additive model"", paste0(""response_value ~ site + work_free_day + activity_status + "", ""previous_sleep_duration_centered_h""), ""Average association for each of the three prespecified predictors"", 
        ""Predictor-by-site interaction model"", paste0(""response_value ~ site * work_free_day + site * activity_status + "", ""site * previous_sleep_duration_centered_h""), ""Site-specific associations and three omnibus site-interaction tests""), model_settings <- tibble::tribble(~setting, ~implementation, ~interpretation, ""Mean and link"", ""Quasi-Poisson mean with log link; working variance power 1"", ""Estimated zero-aware geometric-mean melEDI for an observed hour that met support criteria"", ""Site adjustment"", 
        ""Fixed site effects with sum contrasts"", ""The site-average ratios give each included site equal weight"", ""Repeated observations"", ""Participant-cluster HC3 covariance with finite-cluster correction"", ""Hours may repeat within participant-days and participants"", ""Reference coding"", ""Work day; Sedentary; previous sleep centred at 8 h"", ""Ratios compare Free versus Work, Active versus Sedentary, and one additional hour of sleep"", ""Uncertainty"", ""95% confidence intervals with participants minus one degrees of freedom"", 
        ""Finite-participant rather than asymptotic normal inference"", ""Back-transformation"", ""Standardized log means are exponentiated once"", ""Reported contrasts are ratios of estimated mean hourly melEDI""), sensitivity_registry <- tibble::tribble(~check, ~`stored comparison`, ~`question addressed`, ""Gap timing"", ""Gap-timing-unaware near-eye and chest frames"", ""Whether the metric-specific use of remaining gap timing changes the conclusion"", ""Exact common hours"", ""Primary and gap-timing-unaware frames restricted to common hour keys"", 
        ""Whether different retained hours explain the dataset comparison"", ""Sensor position"", ""Separate near-eye and chest estimates on all available and paired days"", ""Whether the pattern remains similar after changing sensor position or restricting to paired days; not a direct position effect"", ""Working variance"", ""Power 1.8 in the same quasi-likelihood mean model"", ""Whether inference depends on the power-1 working variance"", ""Cluster covariance"", ""Participant-cluster HC1, HC2, and HC3"", ""Whether the sandwich correction changes uncertainty"", 
        ""Site standardization"", ""Site-average weighting and observed-site weighting"", ""Whether large sites dominate the reported average"", ""Calendar label"", ""Weekday/weekend replacing diary-defined work/free day"", ""Whether the diary label drives the day-type conclusion"", ""Employment eligibility"", ""Near-eye models excluding participants recorded as not employed or marginally employed"", ""Whether participants outside the registered employment requirement change the near-eye conclusions"", ""Influence"", 
        ""Seven targeted one-participant deletions and nine leave-one-site-out refits"", ""Whether individual participants or sites dominate a contrast"", ""Response model"", ""Gaussian log10 sensitivity"", ""Whether the log-mean result depends on the quasi-Poisson working mean""), code_map <- tibble::tribble(~file, ~responsibility, ""scripts/hypotheses/H06/h06_contract.R"", ""Predictor labels, input identities, formula and multiplicity contracts"", ""scripts/hypotheses/H06/h06_robust_modeling.R"", ""Frame assembly, quasi-likelihood fits, clustered covariance, contrasts, and stored model checks"", 
        ""scripts/hypotheses/H06/run_h06_stage2_robust.R"", ""Analysis orchestration and artifact writing"", ""scripts/hypotheses/H06/run_h06_exploratory_time_of_day_two_part.R"", ""Separate exploratory occurrence and positive-magnitude clock-time models"", ""scripts/hypotheses/H06/diagnose_h06_exploratory_two_part.R"", ""Stored temporal calibration, residual, basis, and correlation checks"", ""scripts/hypotheses/H06/build_h06_stage3_reader_displays.R"", ""Reader tables, primary figures, and paired source data"", 
        ""scripts/hypotheses/H06/build_h06_stage3_temporal_contrasts.R"", ""Stored-model exploratory Active/Sedentary and Free/Work clock-time contrasts"", ""notebooks/hypotheses/H06.qmd"", ""Reader-facing results and qualifications"", ""audit/hypotheses/H06/H06_analysis_preparation.qmd"", ""This bounded preparation and provenance display""), output_inventory <- mutate(tibble::tribble(~role, ~relative_path, ""Primary model bundle"", ""artifacts/07_models/H06/H06_robust_core_models.rds"", ""Primary effect estimates"", 
        ""artifacts/09_tables/H06/H06_robust_core_effects.csv"", ""Site-specific estimates"", ""artifacts/09_tables/H06/H06_robust_site_specific_effects.csv"", ""Model-check outputs"", ""artifacts/08_diagnostics/H06/H06_robust_fit_diagnostics.csv"", ""Temporal model bundle"", ""artifacts/07_models/H06/H06_exploratory_time_of_day_two_part.rds"", ""Temporal model-check outputs"", ""artifacts/08_diagnostics/H06/H06_exploratory_two_part_fit_summary.csv"", ""Reader primary figure"", ""artifacts/10_figures/H06/H06_reader_primary_effects.png"", 
        ""Temporal activity figure"", ""artifacts/10_figures/H06/H06_reader_temporal_activity.png"", ""Temporal day-type figure"", ""artifacts/10_figures/H06/H06_reader_temporal_day_type.png"", ""Employment-eligibility sensitivity record"", ""audit/hypotheses/H06/employment_eligibility_sensitivity/H06_employment_eligibility_sensitivity.qmd"", ""Reader artifact manifest"", ""artifacts/12_manifests/H06/H06_stage3_artifacts.csv""), absolute_path = file.path(root, .data$relative_path), exists = file.exists(.data$absolute_path), 
        sha256 = vapply(.data$absolute_path, artifact_sha256, character(1))), stopifnot(all(output_inventory$exists)), knitr::opts_chunk$set(fig.align = ""center"", dpi = 192, dev = ""png"", fig.retina = 1))"
"audit/hypotheses/H06/H06_analysis_preparation.qmd","tbl-h06-prep-employment-eligibility","root","NULL","expression(h06_gt(gt::tab_source_note(gt::fmt_markdown(gt::gt(transmute(employment_eligibility_effects, Predictor = dplyr::recode(.data$predictor_id, work_free_day = ""Free day versus work day"", activity_status = ""Active versus sedentary"", previous_sleep_duration_centered_h = ""Previous sleep duration (per hour)""), Primary = h06_format_ratio(.data$reference_ratio, .data$reference_conf_low, .data$reference_conf_high), `Employment eligible` = h06_format_ratio(.data$alternative_ratio, .data$alternative_conf_low, 
    .data$alternative_conf_high), `Employment-eligible FDR-adjusted p` = h06_format_p(.data$alternative_p_adjusted, .data$alternative_p_adjusted <= 0.05), Classification = dplyr::recode(.data$detailed_stability_classification, `stable within model uncertainty` = ""Stable within model uncertainty""))), columns = `Employment-eligible FDR-adjusted p`), source_note = paste(""The same additive model, participant-cluster HC3 inference, and"", ""three-test FDR family are used in both samples."")), font_size = 11))"
"notebooks/hypotheses/H05.qmd","setup-h05-reader","root/45/3/2/2","13","12"
"notebooks/hypotheses/H05.qmd","setup-h05-reader","root/48/3/2","as.pairlist(alist(data = , metric_orders = ))","as.pairlist(alist(data = , metric_orders = , source_note_lead = ""Effects are per one participant-level SD of the LEBA score with""))"
"notebooks/hypotheses/H05.qmd","setup-h05-reader","root/48/3/3/2/2/3/2","""Effects are per one participant-level SD of the LEBA score with""","source_note_lead"
