"route","file","unit","scope","kind","expression","disposition"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","for","for (index in seq_len(nrow(manifest_registry))) {     manifest <- read_stored_csv(manifest_registry$Manifest[index])     assert_columns(manifest, c(""path"", ""sha256"", ""bytes""), manifest_registry$Manifest[index])     listed_paths <- absolute_path(manifest$path)     exists <- file.exists(listed_paths)     observed_bytes <- rep(NA_real_, length(listed_paths))     observed_sha256 <- rep(NA_character_, length(listed_paths))     observed_bytes[exists] <- file.info(listed_paths[exists])$size     observed_sha256[exists] <- vapply(listed_paths[exists], digest::digest, character(1), algo = ""sha256"", file = TRUE)     manifest_checks[[index]] <- tibble::tibble(Stage = manifest_registry$Stage[index], `Files listed` = nrow(manifest), `Files present` = sum(exists), `Size checks` = sum(exists & observed_bytes == manifest$bytes), `SHA-256 checks` = sum(exists & observed_sha256 == manifest$sha256), Check = ifelse(all(exists & observed_bytes == manifest$bytes & observed_sha256 == manifest$sha256), ""PASS"", ""FAIL""))     manifest_objects[[index]] <- manifest }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","chunk_1","assert_columns","if","if (length(missing_columns) > 0L) {     stop(label, "" is missing required columns: "", paste(missing_columns, collapse = "", "")) }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","chunk_1","prep_gt","if","if (!is.null(source_note)) {     output <- gt::tab_source_note(output, gt::md(source_note)) }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
"notebooks/preparation/02_coverage_sample_flow.qmd","notebooks/preparation/02_coverage_sample_flow.qmd","chunk_1","assert_columns","if","if (length(missing_columns) > 0L) {     stop(label, "" is missing required columns: "", paste(missing_columns, collapse = "", "")) }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
"notebooks/preparation/02_coverage_sample_flow.qmd","notebooks/preparation/02_coverage_sample_flow.qmd","chunk_1","prep_gt","if","if (!is.null(source_note)) {     output <- gt::tab_source_note(output, gt::md(source_note)) }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd","chunk_1","assert_columns","if","if (length(missing_columns) > 0L) {     stop(label, "" is missing required columns: "", paste(missing_columns, collapse = "", "")) }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd","chunk_1","prep_gt","if","if (!is.null(source_note)) {     output <- gt::tab_source_note(output, gt::md(source_note)) }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd","chunk_1","assert_columns","if","if (length(missing_columns) > 0L) {     stop(label, "" is missing required columns: "", paste(missing_columns, collapse = "", "")) }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd","chunk_1","prep_gt","if","if (!is.null(source_note)) {     output <- gt::tab_source_note(output, gt::md(source_note)) }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
"notebooks/preparation/05_model_input_acquisition.qmd","notebooks/preparation/05_model_input_acquisition.qmd","chunk_1","assert_columns","if","if (length(missing_columns) > 0L) {     stop(label, "" is missing required columns: "", paste(missing_columns, collapse = "", "")) }","All syntactic branches inventoried, not evaluated; dynamic conditions remain explicit"
