"route","manifest","row","path","recorded_sha256","recorded_bytes","basis"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",1,"artifacts/05_metrics/metrics_chest_30_minute.csv","559408cafb714fd7bea9c9146142a8610e5e4a66b1efc68dc4be789c7c66be79","7779824","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",2,"artifacts/05_metrics/metrics_glasses_30_minute.csv","4e4a3bc56e8442fc7788c508dd665208ea663d87e25ef3f85180fa1cef3b06ee","7219230","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",3,"artifacts/05_metrics/metrics_chest_30_minute.rds","eadb3acf88037b365c2957013cf1654aadefbd0db42871e4d60dc02341987c9d","386832","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",4,"artifacts/05_metrics/metrics_glasses_30_minute.rds","efdddbf03fcc836b08acada16f063191ad64f08b7dc7bda98510837adfec2278","352112","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",5,"artifacts/05_metrics/metrics_chest_one_hour.csv","0c334acd9d4fe855bd0f7e9216e6cf9179fd4f4fce41f9269403fa89f9d8b432","4228294","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",6,"artifacts/05_metrics/metrics_glasses_one_hour.csv","7d4e5b73f0e1f2317dc79ee0020f3513468cfd39ec546fb03aadab89ba677829","3915774","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",7,"artifacts/05_metrics/metrics_chest_one_hour.rds","c0339a516e1cee47dbf238dc2f47f69b41a089c4fec6e817b39e210291c6931b","224372","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",8,"artifacts/05_metrics/metrics_glasses_one_hour.rds","7f56f4b6399e33bd92102e7a21c8187b934f7837240c8470755c9b05d28e86ed","204152","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",9,"artifacts/05_metrics/metrics_chest_values_long.csv","bee4c4a8cf01e316736e4312b9bb0ecb8567433cc1b73fbaf70f8ba146cafd55","3749835","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",10,"artifacts/05_metrics/metrics_glasses_values_long.csv","f093e2de87e9580f7f01100417a2227349f3f3e16a8b10a976dbb9439c0f585e","3431007","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",11,"artifacts/05_metrics/metrics_chest_admissibility.csv","e7b511432e4e4a9b406e4a7f83cb8bca2a10659d77013a44d50f8afd12a5f332","2516941","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",12,"artifacts/05_metrics/metrics_glasses_admissibility.csv","49370ca087ca9946f2d895425076548ab51ae0205c71a77508d7e261d8654efb","2318812","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",13,"artifacts/05_metrics/metrics_chest_censoring_diagnostics.csv","fd2b776b6eb913ccbe402c88f3fd364568a09d19907eae17317658e5e1ac0deb","348865","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",14,"artifacts/05_metrics/metrics_glasses_censoring_diagnostics.csv","fabd450ccb578f7e684af621369ffef7177acaec1e443ec4b573614b3b65b7b9","316993","All members are file-identity reads in the reviewed report branch, not scientific object loads"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",15,"artifacts/05_metrics/metric_derivation_settings.csv","5fe5a9b0c026e70ea89b476bef552ec78cc502ac058e29552720b1c95c7063b8","8128","All members are file-identity reads in the reviewed report branch, not scientific object loads"
