"path","bytes","sha256","observed_sha256","observed_bytes","sha256_exact","bytes_exact","final_sha256","final_exact"
"build_structural_contracts.R",8084,"378785e4113819b84c9446abd4e0c2883eda1491ee77b3ed1c63ca837ad21e43","378785e4113819b84c9446abd4e0c2883eda1491ee77b3ed1c63ca837ad21e43",8084,TRUE,TRUE,"378785e4113819b84c9446abd4e0c2883eda1491ee77b3ed1c63ca837ad21e43",TRUE
"current_table_part_identity_geometry.csv",9590,"afb115ca4a51a670a921c9ae4155170c4d002dc16e19870349feff75ba4f4982","afb115ca4a51a670a921c9ae4155170c4d002dc16e19870349feff75ba4f4982",9590,TRUE,TRUE,"afb115ca4a51a670a921c9ae4155170c4d002dc16e19870349feff75ba4f4982",TRUE
"diffs/capture_word_tables.mjs.diff",10632,"df4c7fe75fb48f38376e6668031cb5e7939c0cb9fcdb233b27c40eb2eca44eaf","df4c7fe75fb48f38376e6668031cb5e7939c0cb9fcdb233b27c40eb2eca44eaf",10632,TRUE,TRUE,"df4c7fe75fb48f38376e6668031cb5e7939c0cb9fcdb233b27c40eb2eca44eaf",TRUE
"diffs/export_editable_tables.py.diff",6436,"b3b7945b1bf8e9ca456bbfdccbdd8611c8caabb293b5cd4c95cae2d72e7b4d8d","b3b7945b1bf8e9ca456bbfdccbdd8611c8caabb293b5cd4c95cae2d72e7b4d8d",6436,TRUE,TRUE,"b3b7945b1bf8e9ca456bbfdccbdd8611c8caabb293b5cd4c95cae2d72e7b4d8d",TRUE
"diffs/order72k_layout.css.diff",3547,"7243736e5234f466e5ab294dbdd2030ecd32de7b4c606fe5fa0c66c3e90e69f7","7243736e5234f466e5ab294dbdd2030ecd32de7b4c606fe5fa0c66c3e90e69f7",3547,TRUE,TRUE,"7243736e5234f466e5ab294dbdd2030ecd32de7b4c606fe5fa0c66c3e90e69f7",TRUE
"diffs/prepare_word_manuscript.py.diff",12998,"0876e8fe580c8b0ad6fea21d040f4c1ae8ba384a72fc9f626774d000147d5684","0876e8fe580c8b0ad6fea21d040f4c1ae8ba384a72fc9f626774d000147d5684",12998,TRUE,TRUE,"0876e8fe580c8b0ad6fea21d040f4c1ae8ba384a72fc9f626774d000147d5684",TRUE
"dispatch_preflight.csv",9746,"87346b75a2f6f84f0c4c752aff472a60d722b5b75a602fdc7d96405f79c9162e","87346b75a2f6f84f0c4c752aff472a60d722b5b75a602fdc7d96405f79c9162e",9746,TRUE,TRUE,"87346b75a2f6f84f0c4c752aff472a60d722b5b75a602fdc7d96405f79c9162e",TRUE
"doc_defaults.xml",442,"aa535b99c7dbd3e03cb7ae32e8d87ba4b1419efa609b38cb127a26f0db45e3bd","aa535b99c7dbd3e03cb7ae32e8d87ba4b1419efa609b38cb127a26f0db45e3bd",442,TRUE,TRUE,"aa535b99c7dbd3e03cb7ae32e8d87ba4b1419efa609b38cb127a26f0db45e3bd",TRUE
"editable_table_reuse_and_source_bindings.csv",20730,"d7a362e7acd8e62dd9f78c910c7c7c5fb5330e5008ec807d49af799a80aaae38","d7a362e7acd8e62dd9f78c910c7c7c5fb5330e5008ec807d49af799a80aaae38",20730,TRUE,TRUE,"d7a362e7acd8e62dd9f78c910c7c7c5fb5330e5008ec807d49af799a80aaae38",TRUE
"final_docx_paragraph_geometry.csv",114317,"61ebf32a799eddd8cfd8535f630827d03c1dccb399d7765ffa14e50fb141cfaf","61ebf32a799eddd8cfd8535f630827d03c1dccb399d7765ffa14e50fb141cfaf",114317,TRUE,TRUE,"61ebf32a799eddd8cfd8535f630827d03c1dccb399d7765ffa14e50fb141cfaf",TRUE
