"route","file","target","tier","basis"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/12_manifests/import_alignment_artifacts.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/12_manifests/import_alignment_artifacts.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/12_manifests/state_interval_artifacts.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/12_manifests/state_interval_artifacts.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/12_manifests/pinned_downloads.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/12_manifests/pinned_downloads.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","config/site_display_registry.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","config/site_display_registry.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/02_aligned/source_audit.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/02_aligned/source_audit.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/02_aligned/key_audit.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/02_aligned/key_audit.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/02_aligned/time_audit.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/02_aligned/time_audit.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/02_aligned/stream_epoch_audit.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/02_aligned/stream_epoch_audit.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/02_aligned/join_cardinality_audit.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/02_aligned/join_cardinality_audit.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/02_aligned/state_conflict_audit.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/02_aligned/state_conflict_audit.csv"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd","artifacts/02_aligned/state_interval_summary.csv","REACHABLE_LITERAL_FRONTIER_NOT_PROOF_OF_READ","artifacts/02_aligned/state_interval_summary.csv"
