"file","unit","scope","node","start_line","call","expression","eligible_unit","context","route"
"notebooks/preparation/02_coverage_sample_flow.qmd","chunk_1","TOP_LEVEL","40/3/2/2/2/2/4",21,"stats::quantile","stats::quantile(.data$day_valid_fraction_raw, 0.25, names = FALSE)",TRUE,"notebooks/preparation/02_coverage_sample_flow.qmd::TOP_LEVEL","notebooks/preparation/02_coverage_sample_flow.qmd"
"notebooks/preparation/02_coverage_sample_flow.qmd","chunk_1","TOP_LEVEL","40/3/2/2/2/2/6",21,"stats::quantile","stats::quantile(.data$day_valid_fraction_raw, 0.75, names = FALSE)",TRUE,"notebooks/preparation/02_coverage_sample_flow.qmd::TOP_LEVEL","notebooks/preparation/02_coverage_sample_flow.qmd"
"scripts/descriptives/build_publication_tables.R","R_SOURCE","metric_thumbnail_html","12/body/2/3/2",1,"gt::ggplot_image","gt::ggplot_image(plot, height = 72, aspect_ratio = 2.5)",TRUE,"scripts/descriptives/build_publication_tables.R::metric_thumbnail_html","notebooks/descriptives.qmd"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","chunk_25","TOP_LEVEL","1/3/2/2",1403,"system2","system2(""quarto"", ""--version"", stdout = TRUE, stderr = FALSE)",TRUE,"audit/hypotheses/H01/H01_analysis_preparation.qmd::TOP_LEVEL","audit/hypotheses/H01/H01_analysis_preparation.qmd"
"audit/hypotheses/H02/H02_analysis_preparation.qmd","chunk_7","TOP_LEVEL","1/3/2/2/8",475,"quantile","quantile(.data$metric_value_lx, 0.9)",TRUE,"audit/hypotheses/H02/H02_analysis_preparation.qmd::TOP_LEVEL","audit/hypotheses/H02/H02_analysis_preparation.qmd"
"audit/hypotheses/H03/H03_analysis_preparation.qmd","chunk_7","TOP_LEVEL","1/3/5/2",584,"stats::quantile","stats::quantile(.data$hours, 0.25, names = FALSE)",TRUE,"audit/hypotheses/H03/H03_analysis_preparation.qmd::TOP_LEVEL","audit/hypotheses/H03/H03_analysis_preparation.qmd"
"audit/hypotheses/H03/H03_analysis_preparation.qmd","chunk_7","TOP_LEVEL","1/3/5/4",584,"stats::quantile","stats::quantile(.data$hours, 0.75, names = FALSE)",TRUE,"audit/hypotheses/H03/H03_analysis_preparation.qmd::TOP_LEVEL","audit/hypotheses/H03/H03_analysis_preparation.qmd"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","chunk_9","TOP_LEVEL","1/3/5/2",770,"quantile","quantile(.data$unique_participant_hours, 0.25, names = FALSE)",TRUE,"audit/hypotheses/H04/H04_analysis_preparation.qmd::TOP_LEVEL","audit/hypotheses/H04/H04_analysis_preparation.qmd"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","chunk_9","TOP_LEVEL","1/3/5/4",770,"quantile","quantile(.data$unique_participant_hours, 0.75, names = FALSE)",TRUE,"audit/hypotheses/H04/H04_analysis_preparation.qmd::TOP_LEVEL","audit/hypotheses/H04/H04_analysis_preparation.qmd"
"scripts/report_harmonization/post_render_gt_html_semantics.R","R_SOURCE","run_post_render_gt_html_semantics","19/body/10",1,"dir.create","dir.create(staging_dir)",TRUE,"scripts/report_harmonization/post_render_gt_html_semantics.R::run_post_render_gt_html_semantics","scripts/report_harmonization/post_render_gt_html_semantics.R"
