"file","unit","scope","node","symbol"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","1/1","library"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","1/2","digest"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","2/1","library"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","2/2","dplyr"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","3/1","library"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","3/2","gt"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","4/1","library"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","4/2","readr"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","5/1","library"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","5/2","scales"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","6/1","library"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","6/2","tibble"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","7/1","library"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","7/2","tidyr"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","8/1","<-"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","8/2","root"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","8/3/1","normalizePath"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","8/3/2/1","Sys.getenv"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","9/1","stopifnot"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","9/2/1",">="
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","9/2/2/1","getRversion"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","9/2/3/1","numeric_version"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","9/3/1","<"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","9/3/2/1","getRversion"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","9/3/3/1","numeric_version"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","absolute_path","10/body/1","{"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","absolute_path","10/body/2/1","ifelse"
