"file","unit","outer_scope","name","node","start_line","expression"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","absolute_path","10",22,"function(path) {
    ifelse(grepl(""^/"", path), path, file.path(root, path))
}"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","read_stored_csv","11",22,"function(path) {
    full_path <- absolute_path(path)
    stopifnot(file.exists(full_path))
    readr::read_csv(full_path, show_col_types = FALSE)
}"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","assert_columns","12",22,"function(data, required, label) {
    missing_columns <- setdiff(required, names(data))
    if (length(missing_columns) > 0L) {
        stop(label, "" is missing required columns: "", paste(missing_columns, collapse = "", ""))
    }
    invisible(data)
}"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","prep_gt","13",22,"function(data, source_note = NULL, groupname_col = NULL) {
    output <- gt::tab_options(gt::sub_missing(gt::opt_row_striping(gt::gt(data, groupname_col = groupname_col)), missing_text = ""—""), table.font.size = gt::px(13), table.width = gt::pct(100), data_row.padding = gt::px(4), heading.align = ""left"", source_notes.font.size = gt::px(11))
    if (!is.null(source_note)) {
        output <- gt::tab_source_note(output, gt::md(source_note))
    }
    output
}"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","wrap_provenance_path","14",22,"function(path) {
    gsub(""/"", ""/<wbr>"", path, fixed = TRUE)
}"
"notebooks/preparation/02_coverage_sample_flow.qmd","chunk_1","TOP_LEVEL","absolute_path","10",21,"function(path) {
    ifelse(grepl(""^/"", path), path, file.path(root, path))
}"
"notebooks/preparation/02_coverage_sample_flow.qmd","chunk_1","TOP_LEVEL","read_stored_csv","11",21,"function(path) {
    full_path <- absolute_path(path)
    stopifnot(file.exists(full_path))
    readr::read_csv(full_path, show_col_types = FALSE)
}"
"notebooks/preparation/02_coverage_sample_flow.qmd","chunk_1","TOP_LEVEL","assert_columns","12",21,"function(data, required, label) {
    missing_columns <- setdiff(required, names(data))
    if (length(missing_columns) > 0L) {
        stop(label, "" is missing required columns: "", paste(missing_columns, collapse = "", ""))
    }
    invisible(data)
}"
"notebooks/preparation/02_coverage_sample_flow.qmd","chunk_1","TOP_LEVEL","prep_gt","13",21,"function(data, source_note = NULL, groupname_col = NULL) {
    output <- gt::tab_options(gt::sub_missing(gt::opt_row_striping(gt::gt(data, groupname_col = groupname_col)), missing_text = ""—""), table.font.size = gt::px(13), table.width = gt::pct(100), data_row.padding = gt::px(4), heading.align = ""left"", source_notes.font.size = gt::px(11))
    if (!is.null(source_note)) {
        output <- gt::tab_source_note(output, gt::md(source_note))
    }
    output
}"
"notebooks/preparation/02_coverage_sample_flow.qmd","chunk_1","TOP_LEVEL","wrap_provenance_path","14",21,"function(path) {
    gsub(""/"", ""/<wbr>"", path, fixed = TRUE)
}"
