"file","unit","start_line","options","source_text_sha256","parsed_expression_sha256","historical_expression_comparison"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1",22,"```{r}
#| label: setup-preparation-01
#| include: false","fdf46c840e8e375f20ec6001d326944e6387348475719e4ef73aed556b0c3f3c","6e23f49c1ee26034641ca49613b73fed4d38695fdefc0118e77b515e178cd55e","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_2",627,"```{r}
#| label: tbl-preparation01-source-identity
#| tbl-cap: ""Fixed source releases used for the Preparation 01 production build. The displayed revision is shortened for readability; the stored audit retains the complete revision, URL, byte size, and SHA-256 fingerprint.""","a2fe124af70f704c50284693ba9b86963ebfd4dbd77c3fe56e752e4a51d55329","43d386593b5d59a3f83455f3981232bd3228e91ae1a4be5b8dc8203600b7738b","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_3",653,"```{r}
#| label: tbl-preparation01-source-file-check
#| tbl-cap: ""Identity check for the fixed local source files.""","7a8498fa7ef2daa7cbce0d1bfc387fdcdbf8265ab16e3d91b160725823e6e938","0ccd96a98556666a355c026345de4160ab1f3707242c8d5bd59f068a9b7ffbaf","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_4",688,"```{r}
#| label: tbl-preparation01-aggregation-regimes
#| tbl-cap: ""Original logger recording intervals and the completeness requirement used to create one-minute values.""","3a2af0d55ba500812634e1f92d722daef2c8d525b2a387951bb1893d60315b6c","9f34524cb748b7270dd0738051d7f3bdeb5a9c955e5a6246492988f0de64516f","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_5",727,"```{r}
#| label: tbl-preparation01-state-rules
#| tbl-cap: ""Rules used to translate sleep-diary and wear-log information into measurement context and signal availability.""","7de772a49f1c837ecceeaf4f77f101a0af16e00a39b7b60cdd2112691d1dd425","33cfb7240e2027091f36ce8e944c7145d3485d114cfc895b3f60fa9d5e829092","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_6",746,"```{r}
#| label: tbl-preparation01-state-intervals
#| tbl-cap: ""Usable sleep and wear periods stored for each study site, with source entries retained for review.""","2697b6d1e2f4611024bbc1255a0accf3c52990b1f06f48d15422b03860a17cfe","d1f7730805f8195f6ffa28716b8fc46ddc9ad1f20b91e2bca96116633e20c87f","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_7",797,"```{r}
#| label: tbl-preparation01-state-outcomes
#| tbl-cap: ""Stored sleep and wear outcomes after alignment to one-minute light records. Counts are minutes.""","ae513ef7271a2f094df0cdb6e47d400d507cfd5a88341b4dd9900b01e81fb5e3","6a92f83410117f24767b070125c5b39dde70aea6e0acaaf50fbe172def4e1995","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_8",824,"```{r}
#| label: tbl-preparation01-saturation
#| tbl-cap: ""One-minute values at or above the 100,000 lx melEDI operating limit.""","57d58638a5dbfe174bf79641e4b5963d7d7bc1f88f0e298f91e2cad32bbc9d3f","50683c3464d0160503eb310ce0f0a06f676b3df178fbd34687f34b0244a38d52","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_9",866,"```{r}
#| label: tbl-preparation01-placement-sample
#| tbl-cap: ""Overall measurement sample stored after one-minute aggregation and state alignment.""","63d1cbec534047e3dc652ee82044572815673749313c683b4100f7421140c207","aa750c9d0ee5e5893bd1971b49b7bd8b4e9d7dfc73a6918d2eb35c17d17689a5","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_10",883,"```{r}
#| label: tbl-preparation01-site-sample
#| tbl-cap: ""Participants, participant-days, and one-minute grid rows by site and measurement placement.""","9a9ae3c3afc0f079841c85e516606da8566b7b8c34eac844c27666f154c51de1","3fea4bb2fa99a266cdfe84e15f960322153448ad8b9847f43939c40c219a6f66","NOT_PROVEN: current signatures are not a substitute for accepted preimage expressions"
