"route","source_files","reached_contexts","calls","effect_calls","loaded_sources","disabled_units"
"index.qmd",1,1,0,0,"index.qmd",0
"supplementary_information.qmd",1,1,0,0,"supplementary_information.qmd",0
"notebooks/preparation/01_import_state_alignment.qmd",1,6,765,29,"notebooks/preparation/01_import_state_alignment.qmd",0
"notebooks/preparation/02_coverage_sample_flow.qmd",1,6,584,27,"notebooks/preparation/02_coverage_sample_flow.qmd",0
"notebooks/preparation/03_reference_profiles.qmd",1,7,869,31,"notebooks/preparation/03_reference_profiles.qmd",0
"notebooks/preparation/04_metric_derivation.qmd",1,15,1658,58,"notebooks/preparation/04_metric_derivation.qmd",0
"notebooks/preparation/05_model_input_acquisition.qmd",1,8,728,23,"notebooks/preparation/05_model_input_acquisition.qmd",0
"notebooks/preparation/06_model_ready_datasets.qmd",1,14,1683,62,"notebooks/preparation/06_model_ready_datasets.qmd",0
"notebooks/preparation/07_example_days.qmd",1,11,947,25,"notebooks/preparation/07_example_days.qmd",0
"notebooks/placement_decision.qmd",1,1,0,0,"notebooks/placement_decision.qmd",0
"notebooks/descriptives.qmd",12,47,1632,37,"notebooks/descriptives.qmd | scripts/descriptives/build_descriptives.R | scripts/pipeline/paths_io.R | scripts/pipeline/assertions.R | scripts/pipeline/site_solar_context.R | scripts/descriptives/descriptive_contract.R | scripts/descriptives/build_descriptive_data.R | scripts/descriptives/build_descriptive_replications.R | scripts/descriptives/build_previous_comparisons.R | scripts/descriptives/build_publication_tables.R | scripts/descriptives/plot_descriptive_figures.R | scripts/descriptives/plot_descriptive_replications.R",0
"notebooks/preregistration_deviations.qmd",1,1,0,0,"notebooks/preregistration_deviations.qmd",0
"notebooks/hypotheses/H01.qmd",3,42,2077,38,"notebooks/hypotheses/H01.qmd | scripts/hypotheses/H01/h01_contract.R | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H01/H01_analysis_preparation.qmd",4,19,1305,55,"audit/hypotheses/H01/H01_analysis_preparation.qmd | scripts/pipeline/paths_io.R | scripts/pipeline/p_value_display.R | scripts/hypotheses/H01/h01_contract.R",0
"notebooks/hypotheses/H02.qmd",2,21,1016,33,"notebooks/hypotheses/H02.qmd | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H02/H02_analysis_preparation.qmd",4,17,1105,41,"audit/hypotheses/H02/H02_analysis_preparation.qmd | scripts/pipeline/paths_io.R | scripts/pipeline/p_value_display.R | scripts/hypotheses/H02/h02_contract.R",0
"notebooks/hypotheses/H03.qmd",2,14,1179,52,"notebooks/hypotheses/H03.qmd | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H03/H03_analysis_preparation.qmd",2,6,1240,54,"audit/hypotheses/H03/H03_analysis_preparation.qmd | scripts/pipeline/paths_io.R",0
"notebooks/hypotheses/H04.qmd",2,15,1484,54,"notebooks/hypotheses/H04.qmd | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H04/H04_analysis_preparation.qmd",2,6,1452,67,"audit/hypotheses/H04/H04_analysis_preparation.qmd | scripts/pipeline/paths_io.R",0
"notebooks/hypotheses/H05.qmd",2,21,1274,47,"notebooks/hypotheses/H05.qmd | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H05/H05_analysis_preparation.qmd",3,8,1389,55,"audit/hypotheses/H05/H05_analysis_preparation.qmd | scripts/pipeline/paths_io.R | scripts/hypotheses/H01/h01_contract.R",0
"notebooks/hypotheses/H06.qmd",4,18,1094,50,"notebooks/hypotheses/H06.qmd | scripts/pipeline/paths_io.R | scripts/pipeline/p_value_display.R | scripts/hypotheses/H06/h06_contract.R",0
"audit/hypotheses/H06/H06_analysis_preparation.qmd",3,11,1027,53,"audit/hypotheses/H06/H06_analysis_preparation.qmd | scripts/pipeline/paths_io.R | scripts/pipeline/p_value_display.R",0
