"route","manifest","row","path","recorded_sha256","recorded_bytes","basis","actual_sha256","actual_bytes","sha256_exact","bytes_exact","disposition","expected_historical_exception","branch_identity_predicate_satisfied"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",1,"artifacts/06_model_data/H01.rds","0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00",253472,"All members are file-identity reads in the reviewed report branch, not scientific object loads","0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00",253472,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",2,"artifacts/06_model_data/H01/scenarios/manuscript_prepared_data/H01.rds","3c70363fc0468202a431904aa9d9444f2858af2e3add3475a56c872b49a18bd6",192816,"All members are file-identity reads in the reviewed report branch, not scientific object loads","3c70363fc0468202a431904aa9d9444f2858af2e3add3475a56c872b49a18bd6",192816,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",3,"artifacts/07_models/H01/main/chest/all_available/l10_mean_medi_model_frame.rds","be0e2204a8bf0b1bea576b1228ec4a6614d3e81d7cc6118ba001b262eac7bdf8",26952,"All members are file-identity reads in the reviewed report branch, not scientific object loads","be0e2204a8bf0b1bea576b1228ec4a6614d3e81d7cc6118ba001b262eac7bdf8",26952,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",4,"artifacts/07_models/H01/main/chest/all_available/l10_mean_medi_models.rds","422f885b18b86db35967bb574c450fcda16eb4846fea8dd1ef3915565b376e8e",1009692,"All members are file-identity reads in the reviewed report branch, not scientific object loads","422f885b18b86db35967bb574c450fcda16eb4846fea8dd1ef3915565b376e8e",1009692,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",5,"artifacts/07_models/H01/main/chest/all_available/l10_mean_medi_r2_bootstrap_draws.rds","7fc3cc129512a4cd0e59f64d32c454aab4d6ccff119131201dc89739f25fad41",57420,"All members are file-identity reads in the reviewed report branch, not scientific object loads","7fc3cc129512a4cd0e59f64d32c454aab4d6ccff119131201dc89739f25fad41",57420,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",6,"artifacts/07_models/H01/main/chest/paired_common_sample/l10_mean_medi_model_frame.rds","fdd694f488b99cf9207d5ce2e918ff734d17173594bea782a30d6e5f0c2d602d",21240,"All members are file-identity reads in the reviewed report branch, not scientific object loads","fdd694f488b99cf9207d5ce2e918ff734d17173594bea782a30d6e5f0c2d602d",21240,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",7,"artifacts/07_models/H01/main/chest/paired_common_sample/l10_mean_medi_models.rds","340dc342d9f4fb21003baf9f0a83975e665119048b99d14cd67287b19f0cee62",1051068,"All members are file-identity reads in the reviewed report branch, not scientific object loads","340dc342d9f4fb21003baf9f0a83975e665119048b99d14cd67287b19f0cee62",1051068,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",8,"artifacts/07_models/H01/main/chest/paired_common_sample/l10_mean_medi_r2_bootstrap_draws.rds","52d57679b3b21399cc8b9a99f0296ae43d713ac553008ca4028c480a13a003e7",57116,"All members are file-identity reads in the reviewed report branch, not scientific object loads","52d57679b3b21399cc8b9a99f0296ae43d713ac553008ca4028c480a13a003e7",57116,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",9,"artifacts/07_models/H01/main/glasses/all_available/l10_mean_medi_model_frame.rds","08dd6721847e803998f4c0611893c0969c0e1c4459adaf8fd8292638e9b94bae",25376,"All members are file-identity reads in the reviewed report branch, not scientific object loads","08dd6721847e803998f4c0611893c0969c0e1c4459adaf8fd8292638e9b94bae",25376,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv",10,"artifacts/07_models/H01/main/glasses/all_available/l10_mean_medi_models.rds","645b7b80ba27747932c08509b857b709b3b29126e3c0f2f2491e823ae091e75f",1086928,"All members are file-identity reads in the reviewed report branch, not scientific object loads","645b7b80ba27747932c08509b857b709b3b29126e3c0f2f2491e823ae091e75f",1086928,TRUE,TRUE,"Identity matches recorded member",FALSE,TRUE
