"route","file"
"index.qmd","index.qmd"
"supplementary_information.qmd","supplementary_information.qmd"
"notebooks/preparation/01_import_state_alignment.qmd","notebooks/preparation/01_import_state_alignment.qmd"
"notebooks/preparation/02_coverage_sample_flow.qmd","notebooks/preparation/02_coverage_sample_flow.qmd"
"notebooks/preparation/03_reference_profiles.qmd","notebooks/preparation/03_reference_profiles.qmd"
"notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd"
"notebooks/preparation/05_model_input_acquisition.qmd","notebooks/preparation/05_model_input_acquisition.qmd"
"notebooks/preparation/06_model_ready_datasets.qmd","notebooks/preparation/06_model_ready_datasets.qmd"
"notebooks/preparation/07_example_days.qmd","notebooks/preparation/07_example_days.qmd"
"notebooks/placement_decision.qmd","notebooks/placement_decision.qmd"
"notebooks/descriptives.qmd","notebooks/descriptives.qmd"
"notebooks/descriptives.qmd","scripts/descriptives/build_descriptives.R"
"notebooks/descriptives.qmd","scripts/pipeline/paths_io.R"
"notebooks/descriptives.qmd","scripts/pipeline/assertions.R"
"notebooks/descriptives.qmd","scripts/pipeline/site_solar_context.R"
"notebooks/descriptives.qmd","scripts/descriptives/descriptive_contract.R"
"notebooks/descriptives.qmd","scripts/descriptives/build_descriptive_data.R"
"notebooks/descriptives.qmd","scripts/descriptives/build_descriptive_replications.R"
"notebooks/descriptives.qmd","scripts/descriptives/build_previous_comparisons.R"
"notebooks/descriptives.qmd","scripts/descriptives/build_publication_tables.R"
"notebooks/descriptives.qmd","scripts/descriptives/plot_descriptive_figures.R"
"notebooks/descriptives.qmd","scripts/descriptives/plot_descriptive_replications.R"
"notebooks/preregistration_deviations.qmd","notebooks/preregistration_deviations.qmd"
"notebooks/hypotheses/H01.qmd","notebooks/hypotheses/H01.qmd"
"notebooks/hypotheses/H01.qmd","scripts/hypotheses/H01/h01_contract.R"
"notebooks/hypotheses/H01.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/H01_analysis_preparation.qmd"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","scripts/pipeline/paths_io.R"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","scripts/hypotheses/H01/h01_contract.R"
"notebooks/hypotheses/H02.qmd","notebooks/hypotheses/H02.qmd"
"notebooks/hypotheses/H02.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H02/H02_analysis_preparation.qmd","audit/hypotheses/H02/H02_analysis_preparation.qmd"
"audit/hypotheses/H02/H02_analysis_preparation.qmd","scripts/pipeline/paths_io.R"
"audit/hypotheses/H02/H02_analysis_preparation.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H02/H02_analysis_preparation.qmd","scripts/hypotheses/H02/h02_contract.R"
"notebooks/hypotheses/H03.qmd","notebooks/hypotheses/H03.qmd"
"notebooks/hypotheses/H03.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H03/H03_analysis_preparation.qmd","audit/hypotheses/H03/H03_analysis_preparation.qmd"
"audit/hypotheses/H03/H03_analysis_preparation.qmd","scripts/pipeline/paths_io.R"
"notebooks/hypotheses/H04.qmd","notebooks/hypotheses/H04.qmd"
"notebooks/hypotheses/H04.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","audit/hypotheses/H04/H04_analysis_preparation.qmd"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","scripts/pipeline/paths_io.R"
"notebooks/hypotheses/H05.qmd","notebooks/hypotheses/H05.qmd"
"notebooks/hypotheses/H05.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H05/H05_analysis_preparation.qmd","audit/hypotheses/H05/H05_analysis_preparation.qmd"
"audit/hypotheses/H05/H05_analysis_preparation.qmd","scripts/pipeline/paths_io.R"
"audit/hypotheses/H05/H05_analysis_preparation.qmd","scripts/hypotheses/H01/h01_contract.R"
"notebooks/hypotheses/H06.qmd","notebooks/hypotheses/H06.qmd"
"notebooks/hypotheses/H06.qmd","scripts/pipeline/paths_io.R"
"notebooks/hypotheses/H06.qmd","scripts/pipeline/p_value_display.R"
"notebooks/hypotheses/H06.qmd","scripts/hypotheses/H06/h06_contract.R"
"audit/hypotheses/H06/H06_analysis_preparation.qmd","audit/hypotheses/H06/H06_analysis_preparation.qmd"
"audit/hypotheses/H06/H06_analysis_preparation.qmd","scripts/pipeline/paths_io.R"
"audit/hypotheses/H06/H06_analysis_preparation.qmd","scripts/pipeline/p_value_display.R"
"notebooks/hypotheses/H06_daily.qmd","notebooks/hypotheses/H06_daily.qmd"
"notebooks/hypotheses/H06_daily.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd","audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd"
"notebooks/hypotheses/H07.qmd","notebooks/hypotheses/H07.qmd"
"audit/hypotheses/H07/H07_analysis_preparation.qmd","audit/hypotheses/H07/H07_analysis_preparation.qmd"
"notebooks/hypotheses/H08.qmd","notebooks/hypotheses/H08.qmd"
"notebooks/hypotheses/H08.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H08/H08_analysis_preparation.qmd","audit/hypotheses/H08/H08_analysis_preparation.qmd"
"audit/hypotheses/H08/H08_analysis_preparation.qmd","scripts/pipeline/paths_io.R"
"notebooks/hypotheses/H09.qmd","notebooks/hypotheses/H09.qmd"
"notebooks/hypotheses/H09.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H09/H09_analysis_preparation.qmd","audit/hypotheses/H09/H09_analysis_preparation.qmd"
"audit/hypotheses/H09/H09_analysis_preparation.qmd","scripts/pipeline/paths_io.R"
"notebooks/hypotheses/H10.qmd","notebooks/hypotheses/H10.qmd"
"notebooks/hypotheses/H10.qmd","scripts/pipeline/p_value_display.R"
"audit/hypotheses/H10/H10_analysis_preparation.qmd","audit/hypotheses/H10/H10_analysis_preparation.qmd"
"audit/hypotheses/H10/H10_analysis_preparation.qmd","scripts/pipeline/paths_io.R"
