"package","version","library","description_path","description_sha256","direct_or_dependency","built","depends","imports","linking_to"
"gt","1.3.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/gt/DESCRIPTION","67a58679e934d87b1fcf69e736e066258de4c6349c340a65148481e1a68bc946","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 15:56:16 UTC; unix","R (>= 4.1.0)","base64enc (>= 0.1-3), bigD (>= 0.2), bitops (>= 1.0-7), cli (>=
3.6.3), commonmark (>= 1.9.1), dplyr (>= 1.1.4), fs (>= 1.6.4), glue (>=
1.8.0), htmltools (>= 0.5.8.1), htmlwidgets (>= 1.6.4), juicyjuice (>=
0.1.0), magrittr (>= 2.0.3), markdown (>= 1.13), reactable (>= 0.4.4),
rlang (>= 1.1.4), sass (>= 0.4.9), scales (>= 1.3.0), tidyselect (>=
1.2.1), vctrs, xml2 (>= 1.3.6)",""
"gt","1.3.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/gt/DESCRIPTION","30d4caa7900f0b04427444d6c105aba001ce9e40b0da23a4a8dc121dd5d54db5","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 15:56:16 UTC; unix","R (>= 4.1.0)","base64enc (>= 0.1-3), bigD (>= 0.2), bitops (>= 1.0-7), cli
(>= 3.6.3), commonmark (>= 1.9.1), dplyr (>= 1.1.4), fs (>=
1.6.4), glue (>= 1.8.0), htmltools (>= 0.5.8.1), htmlwidgets
(>= 1.6.4), juicyjuice (>= 0.1.0), magrittr (>= 2.0.3),
markdown (>= 1.13), reactable (>= 0.4.4), rlang (>= 1.1.4),
sass (>= 0.4.9), scales (>= 1.3.0), tidyselect (>= 1.2.1),
vctrs, xml2 (>= 1.3.6)",""
"xml2","1.6.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/xml2/DESCRIPTION","ba57a612ed635db7eadbe9d33baf8752e8be1e5db8ec36706694e11964227bff","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-06-22 16:51:32 UTC; unix","R (>= 3.6.0)","cli, methods, rlang (>= 1.1.0)",""
"xml2","1.6.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/xml2/DESCRIPTION","4a284cec018ca2fa42ea2e8aad909355f1499f591884175fa826e47403ec3099","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-06-22 16:51:32 UTC; unix","R (>= 3.6.0)","cli, methods, rlang (>= 1.1.0)",""
"digest","0.6.39","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/digest/DESCRIPTION","cfd44904db794458a5db186d88f1cd71f193858154df8e5219755ab7747adc6f","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:02:44 UTC; unix","R (>= 3.3.0)","utils",""
"digest","0.6.39","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/digest/DESCRIPTION","d1e1b06b9c0efa3f1f5ed36d91782952fc804bd1d4693593344f5c82cd287873","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:38:59 UTC; unix","R (>= 3.3.0)","utils",""
"knitr","1.51","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/knitr/DESCRIPTION","994436222029aae111284b9babdb60cd9ae3e4a9f92af1997ad04990403127db","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 02:18:51 UTC; unix","R (>= 3.6.0)","evaluate (>= 0.15), highr (>= 0.11), methods, tools, xfun (>= 0.52),
yaml (>= 2.1.19)",""
"knitr","1.51","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/knitr/DESCRIPTION","a863de8c6c56011c342ed2081ee10b0beb8f055ed9afcb8d6b18ab55f1b1b9fc","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 02:18:51 UTC; unix","R (>= 3.6.0)","evaluate (>= 0.15), highr (>= 0.11), methods, tools, xfun (>=
0.52), yaml (>= 2.1.19)",""
"rmarkdown","2.31","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/rmarkdown/DESCRIPTION","7132eb9f6f41639b6506b816da6a6272620a7ff2ada92bcf76d386e559327b13","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 11:07:48 UTC; unix","R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), fontawesome (>= 0.5.0),
htmltools (>= 0.5.1), jquerylib, jsonlite, knitr (>= 1.43), methods,
tinytex (>= 0.31), tools, utils, xfun (>= 0.36), yaml (>= 2.1.19)",""
"rmarkdown","2.31","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/rmarkdown/DESCRIPTION","6064829ad6557aa7eb7b76c67a0b6c187fae459b8f7d28366c5802b7e178e524","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 11:07:48 UTC; unix","R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), fontawesome (>=
0.5.0), htmltools (>= 0.5.1), jquerylib, jsonlite, knitr (>=
1.43), methods, tinytex (>= 0.31), tools, utils, xfun (>=
0.36), yaml (>= 2.1.19)",""
