"source","source_sha256","authority_candidate","line","evidence_text"
"notebooks/hypotheses/H06.qmd","5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e","audit/report_harmonization/report018_navigation_order67a_dispatch_manifest.csv",23,"""notebooks/hypotheses/H06.qmd"",""5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e"",65023,""accepted H06 result source"""
"audit/hypotheses/H06/H06_analysis_preparation.qmd","5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0","audit/report_harmonization/report018_navigation_order67a_dispatch_manifest.csv",24,"""audit/hypotheses/H06/H06_analysis_preparation.qmd"",""5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0"",63867,""held H06 preparation source"""
"audit/hypotheses/H01/H01_analysis_preparation.qmd","c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044","artifacts/12_manifests/H01_worker_artifacts.csv",9,"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.qmd,c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044,59212,scripts/hypotheses/H01/build_h01_worker_manifest.R,4.6.1"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044","artifacts/12_manifests/H01_worker_artifacts.csv",1223,"audit/hypotheses/H01/H01_analysis_preparation.qmd,c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044,59212,scripts/hypotheses/H01/build_h01_worker_manifest.R,4.6.1"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044","artifacts/12_manifests/H01/H01_preparation_report_manifest.csv",51,"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.qmd,preparation_rendered_source,c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044,59212,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044","artifacts/12_manifests/H01/H01_preparation_report_manifest.csv",52,"audit/hypotheses/H01/H01_analysis_preparation.qmd,preparation_source,c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044,59212,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1"
"notebooks/hypotheses/H07.qmd","c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca","audit/hypotheses/H09/report018_order72j_split_svg_export/qa/final_pin_rehash.csv",112,"""release_manifest"",""notebooks/hypotheses/H07.qmd"",""c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca"",""c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca"",45410,45410,""PASS"""
"notebooks/hypotheses/H09.qmd","ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c","audit/hypotheses/H09/report018_order72j_split_svg_export/qa/final_pin_rehash.csv",113,"""release_manifest"",""notebooks/hypotheses/H09.qmd"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",40160,40160,""PASS"""
"notebooks/hypotheses/H09.qmd","ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c","audit/hypotheses/H09/report018_order72j_split_svg_export/qa/final_pin_rehash.csv",158,"""H09_execution_inputs"",""notebooks/hypotheses/H09.qmd"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",40160,40160,""PASS"""
"notebooks/hypotheses/H09.qmd","ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c","audit/hypotheses/H09/report018_order72j_split_svg_export/qa/final_pin_rehash.csv",710,"""H09_preservation"",""notebooks/hypotheses/H09.qmd"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",40160,40160,""PASS"""
"notebooks/hypotheses/H11.qmd","a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5","audit/hypotheses/H09/report018_order72j_split_svg_export/qa/final_pin_rehash.csv",114,"""release_manifest"",""notebooks/hypotheses/H11.qmd"",""a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5"",""a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5"",58146,58146,""PASS"""
"notebooks/hypotheses/H06.qmd","5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e","audit/report_harmonization/report018_navigation_order67_dispatch_manifest.csv",14,"""notebooks/hypotheses/H06.qmd"",""5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e"",65023,""accepted H06 result source"""
"audit/hypotheses/H06/H06_analysis_preparation.qmd","5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0","audit/report_harmonization/report018_navigation_order67_dispatch_manifest.csv",15,"""audit/hypotheses/H06/H06_analysis_preparation.qmd"",""5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0"",63867,""held H06 preparation source"""
"notebooks/hypotheses/H07.qmd","c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/post_candidate_rehash.csv",112,"""release_manifest"",""notebooks/hypotheses/H07.qmd"",""c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca"",""c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca"",45410,45410,""PASS"""
"notebooks/hypotheses/H09.qmd","ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/post_candidate_rehash.csv",113,"""release_manifest"",""notebooks/hypotheses/H09.qmd"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",40160,40160,""PASS"""
"notebooks/hypotheses/H09.qmd","ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/post_candidate_rehash.csv",158,"""H09_execution_inputs"",""notebooks/hypotheses/H09.qmd"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",40160,40160,""PASS"""
"notebooks/hypotheses/H09.qmd","ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/post_candidate_rehash.csv",710,"""H09_preservation"",""notebooks/hypotheses/H09.qmd"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",40160,40160,""PASS"""
"notebooks/hypotheses/H11.qmd","a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/post_candidate_rehash.csv",114,"""release_manifest"",""notebooks/hypotheses/H11.qmd"",""a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5"",""a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5"",58146,58146,""PASS"""
"notebooks/hypotheses/H07.qmd","c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/preflight_rehash.csv",112,"""release_manifest"",""notebooks/hypotheses/H07.qmd"",""c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca"",""c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca"",45410,45410,""PASS"""
"notebooks/hypotheses/H09.qmd","ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/preflight_rehash.csv",113,"""release_manifest"",""notebooks/hypotheses/H09.qmd"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",40160,40160,""PASS"""
"notebooks/hypotheses/H09.qmd","ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/preflight_rehash.csv",158,"""H09_execution_inputs"",""notebooks/hypotheses/H09.qmd"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",40160,40160,""PASS"""
"notebooks/hypotheses/H09.qmd","ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/preflight_rehash.csv",710,"""H09_preservation"",""notebooks/hypotheses/H09.qmd"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",""ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c"",40160,40160,""PASS"""
"notebooks/hypotheses/H11.qmd","a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5","audit/hypotheses/H09/report018_order72j_split_svg_export/evidence/preflight_rehash.csv",114,"""release_manifest"",""notebooks/hypotheses/H11.qmd"",""a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5"",""a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5"",58146,58146,""PASS"""
"notebooks/hypotheses/H11.qmd","a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5","audit/report_harmonization/report018_order72j_h11_static_independent_acceptance/protected_rehash.csv",506,"""notebooks/hypotheses/H11.qmd"",""a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5"",58146,""a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5"",58146,TRUE"
