"route","manifest","row","recorded_path","absolute_literal","resolved_path","resolved_inside_project","stage_behavior"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_30_minute.csv",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_30_minute.csv",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_30_minute.csv",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_30_minute.csv",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",3,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_30_minute.rds",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_30_minute.rds",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",4,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_30_minute.rds",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_30_minute.rds",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",5,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_one_hour.csv",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_one_hour.csv",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",6,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_one_hour.csv",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_one_hour.csv",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",7,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_one_hour.rds",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_one_hour.rds",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",8,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_one_hour.rds",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_one_hour.rds",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",9,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_values_long.csv",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_chest_values_long.csv",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv",10,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_values_long.csv",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/05_metrics/metrics_glasses_values_long.csv",TRUE,"Absolute literal must not be silently rebased; current branch would read that original location"
