"package","version","library","description_path","description_sha256","direct_or_dependency","built","depends","imports","linking_to"
"xfun","0.59","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/xfun/DESCRIPTION","2d9fde3498979d1e24a043bcc383eff7a53ba0db132a018ccd7b52059425bcab","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-07-29 20:28:07 UTC; unix","R (>= 3.2.0)","grDevices, stats, tools",""
"xfun","0.60","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/xfun/DESCRIPTION","8e66c9d202da264ee19093d982ed48f849264e9a052f91a922086c3b6968d0a6","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-07-09 11:38:03 UTC; unix","R (>= 3.2.0)","grDevices, stats, tools",""
"ragg","1.5.2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ragg/DESCRIPTION","327741d178633a43df8719c8c0056cf1d03f4bc4d019d89a425b8642eeeb7ef5","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 23:22:07 UTC; unix","","systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping"
"ragg","1.5.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/ragg/DESCRIPTION","54d254c9b2551bea2a58bc3c5b77c095e3015b85d86c4713e06547c12a8a9c79","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:05:40 UTC; unix","","systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping"
"forcats","1.0.1","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/forcats/DESCRIPTION","22ab9b934f2b9d22e03f131200bbb3c65c10f69993b7d4953fe9fe6838b50b01","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-29 23:56:15 UTC; unix","R (>= 4.1)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0), tibble",""
"forcats","1.0.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/forcats/DESCRIPTION","0315dca9a79ea4fed5cb6d4a44631b95b7a97c01cf7c829956538820e3ed00d4","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; ; 2026-07-28 17:05:28 UTC; unix","R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0), tibble",""
"lubridate","1.9.5","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/lubridate/DESCRIPTION","5370a9e8b1d861cf82f2b501a9025f4fae5c4ada7a79e54e79c86b949285a714","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 23:16:04 UTC; unix","methods, R (>= 3.2)","generics, timechange (>= 0.4.0)",""
"lubridate","1.9.4","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/lubridate/DESCRIPTION","a25e6e6a18a9ff0408abbd32a3b5b029dd332dec508e5f5ec0b29c3e70d9bc95","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:05:10 UTC; unix","methods, R (>= 3.2)","generics, timechange (>= 0.3.0)",""
"ggtext","0.1.2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ggtext/DESCRIPTION","d564b6a8c56786ba0aa10e3b41462f011c41a6a472544ad3c68d7eb60362c242","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-29 21:38:34 UTC; unix","R (>= 3.5)","ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",""
"ggtext","0.2.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/ggtext/DESCRIPTION","882d2a478696aaa00ae30ac67ca7732cf47e44d85edc8e1abb9522358c03df3a","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; ; 2026-08-28 14:32:45 UTC; unix","R (>= 3.5)","ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",""
"png","0.1-9","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/png/DESCRIPTION","0b6da0ee10c6593e222f03630b853eceed37489502bae9410d6a0b966b0a8030","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:50:44 UTC; unix","R (>= 2.9.0)","",""
"png","0.1-8","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/png/DESCRIPTION","6a7ad53a6ea789131f9147e2933235479c4cf561a864d893bccf86812ad0d0f9","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:04:36 UTC; unix","R (>= 2.9.0)","",""
