"file","unit","scope","node","value"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","8/3/2/2","QUARTO_PROJECT_DIR"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","8/3/3","/"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","9/2/3/2","4.6.1"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","9/3/3/2","4.7.0"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","absolute_path","10/body/2/2/2","^/"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","assert_columns","12/body/3/3/2/3"," is missing required columns: "
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","assert_columns","12/body/3/3/2/4/3",", "
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","prep_gt","13/body/2/3/2/3","—"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","prep_gt","13/body/2/3/6","left"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","wrap_provenance_path","14/body/2/2","/"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","wrap_provenance_path","14/body/2/3","/<wbr>"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","15/3/4","Imported and state-aligned measurements"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","15/3/5","artifacts/12_manifests/import_alignment_artifacts.csv"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","15/3/6","Prepared sleep and wear intervals"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","15/3/7","artifacts/12_manifests/state_interval_artifacts.csv"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","16/3/2","list"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","17/3/2","list"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","18/4/3/3/2","path"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","18/4/3/3/3","sha256"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","18/4/3/3/4","bytes"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","18/4/7/3/2",NA
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","18/4/9/3/5","sha256"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","18/4/10/3/7/3","PASS"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","18/4/10/3/7/4","FAIL"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","20/2/2/3","PASS"
"notebooks/preparation/01_import_state_alignment.qmd","chunk_1","TOP_LEVEL","21/3/2","artifacts/12_manifests/pinned_downloads.csv"
