"route","target"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/metric_artifacts.csv"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/state_support_gate_artifacts.csv"
"notebooks/preparation/04_metric_derivation.qmd","artifacts/12_manifests/manuscript_prepared_data_artifacts.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","audit/reconciliation/mder_METRIC-010_gap_repair/gap_repair_evidence_manifest.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","artifacts/08_diagnostics/mder_METRIC-010/downstream_rebuild/rebuild_manifest.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","audit/reconciliation/l10_METRIC-011/METRIC-011_evidence_manifest.csv"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","artifacts/12_manifests/H01_model_data_artifacts.csv"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","artifacts/12_manifests/H01_manuscript_prepared_data_artifacts.csv"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","artifacts/12_manifests/H01_response_family_bootstrap_production_artifacts.csv"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/l10_METRIC-011/production_integration/H01_METRIC-011_production_integration_manifest.csv"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/mder_METRIC-010/bootstrap_production/H01_METRIC-010_bootstrap_production_manifest.csv"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","audit/hypotheses/H01/mder_METRIC-010/production_integration/H01_METRIC-010_production_integration_manifest.csv"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","artifacts/12_manifests/H01_stage3_reporting_artifacts.csv"
"notebooks/preparation/01_import_state_alignment.qmd","artifacts/12_manifests/import_alignment_artifacts.csv"
"notebooks/preparation/01_import_state_alignment.qmd","artifacts/12_manifests/state_interval_artifacts.csv"
"notebooks/preparation/01_import_state_alignment.qmd","artifacts/12_manifests/pinned_downloads.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","artifacts/12_manifests/model_input_normalization.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","artifacts/12_manifests/manuscript_prepared_data_artifacts.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","artifacts/12_manifests/site_solar_context_artifacts.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","artifacts/06_model_data/temporal_provenance/artifact_manifest.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","artifacts/12_manifests/base_model_data_artifacts.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","artifacts/12_manifests/H01_model_data_artifacts.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","artifacts/12_manifests/H01_manuscript_prepared_data_artifacts.csv"
"notebooks/preparation/06_model_ready_datasets.qmd","artifacts/12_manifests/preanalysis_comparison_artifacts.csv"
