"route","key","value","target","external","exists","disposition"
"notebooks/preparation/01_import_state_alignment.qmd",".bibliography","../../bibliography.bib","bibliography.bib",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/descriptives.qmd",".bibliography","../bibliography.bib","bibliography.bib",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".format.html.css","H06.css","notebooks/hypotheses/H06.css",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/06_model_data/H06/H06_category_cells.csv","artifacts/06_model_data/H06/H06_category_cells.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/09_tables/H06/H06_stage3_site_specific_significance_screen.csv","artifacts/09_tables/H06/H06_stage3_site_specific_significance_screen.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_reader_primary_effects_figure.csv","artifacts/11_source_data/H06/H06_reader_primary_effects_figure.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_stage3_site_specific_significance_screen_figure.csv","artifacts/11_source_data/H06/H06_stage3_site_specific_significance_screen_figure.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_paired_placement_effects_figure.csv","artifacts/11_source_data/H06/H06_paired_placement_effects_figure.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_primary_residual_clock_figure.csv","artifacts/11_source_data/H06/H06_primary_residual_clock_figure.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_reader_temporal_day_type_curves.csv","artifacts/11_source_data/H06/H06_reader_temporal_day_type_curves.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_reader_temporal_day_type_ratios.csv","artifacts/11_source_data/H06/H06_reader_temporal_day_type_ratios.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_reader_temporal_day_type_support.csv","artifacts/11_source_data/H06/H06_reader_temporal_day_type_support.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
