run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,inference_status,pilot_contract_sha256,approximation,measure,estimate,conf_low,conf_high,bootstrap_successful_used,interval_method,status,dataset_label,placement_label,sample_label,run_label,component
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,marginal_r2,0.08428344958398735,0.0750146050740028,0.1921839101528177,50,joint_parametric_percentile,PASS,Primary dataset,Chest,All available,Primary dataset | Chest | All available,Marginal R²
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,conditional_r2,0.8857452443231839,0.8628469855087162,0.9087003371369826,50,joint_parametric_percentile,PASS,Primary dataset,Chest,All available,Primary dataset | Chest | All available,Conditional R²
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,participant_associated_share,0.8014617947391965,0.6904950125638241,0.8150043894479873,50,joint_parametric_percentile,PASS,Primary dataset,Chest,All available,Primary dataset | Chest | All available,Participant-associated share
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,site_part_r2,0.07684677048662496,0.056356710193400134,0.1725857037539702,50,joint_parametric_percentile,PASS,Primary dataset,Chest,All available,Primary dataset | Chest | All available,Site part R²
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,photoperiod_part_r2,0.02173593511610319,0.001962768672833792,0.09299614177488444,50,joint_parametric_percentile,PASS,Primary dataset,Chest,All available,Primary dataset | Chest | All available,Photoperiod part R²
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,latitude_part_r2,0.05158071203125391,0.01394754932493868,0.09199873981732856,50,joint_parametric_percentile,PASS,Primary dataset,Chest,All available,Primary dataset | Chest | All available,Latitude part R²
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,marginal_r2,0.29592367022621047,0.22288961964292764,0.4326594454117351,50,joint_parametric_percentile,PASS,Primary dataset,Chest,Paired/common,Primary dataset | Chest | Paired/common,Marginal R²
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,conditional_r2,0.6407137227209366,0.5859517065704312,0.7223915973409385,50,joint_parametric_percentile,PASS,Primary dataset,Chest,Paired/common,Primary dataset | Chest | Paired/common,Conditional R²
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,participant_associated_share,0.34479005249472616,0.22438028624649908,0.41880551688472156,50,joint_parametric_percentile,PASS,Primary dataset,Chest,Paired/common,Primary dataset | Chest | Paired/common,Participant-associated share
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,site_part_r2,0.11027606143952604,0.06958677092612145,0.23502000702300285,50,joint_parametric_percentile,PASS,Primary dataset,Chest,Paired/common,Primary dataset | Chest | Paired/common,Site part R²
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,photoperiod_part_r2,0.192053139833387,0.10616504388483362,0.3057444621670567,50,joint_parametric_percentile,PASS,Primary dataset,Chest,Paired/common,Primary dataset | Chest | Paired/common,Photoperiod part R²
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,latitude_part_r2,0.02694631476968321,0.002234838109007382,0.06102707191573019,50,joint_parametric_percentile,PASS,Primary dataset,Chest,Paired/common,Primary dataset | Chest | Paired/common,Latitude part R²
main__glasses__all_available,main,glasses,all_available,primary,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,marginal_r2,0.2779912438854622,0.19258654021321525,0.3670766881578341,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,All available,Primary dataset | Near eye | All available,Marginal R²
main__glasses__all_available,main,glasses,all_available,primary,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,conditional_r2,0.6048423325610649,0.5527551592491624,0.6778041018950682,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,All available,Primary dataset | Near eye | All available,Conditional R²
main__glasses__all_available,main,glasses,all_available,primary,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,participant_associated_share,0.3268510886756027,0.27195958303134676,0.4100590144161958,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,All available,Primary dataset | Near eye | All available,Participant-associated share
main__glasses__all_available,main,glasses,all_available,primary,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,site_part_r2,0.0957448485769388,0.044511105101868634,0.15503432670807132,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,All available,Primary dataset | Near eye | All available,Site part R²
main__glasses__all_available,main,glasses,all_available,primary,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,photoperiod_part_r2,0.13020112811701484,0.06441827690528881,0.1800313552133232,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,All available,Primary dataset | Near eye | All available,Photoperiod part R²
main__glasses__all_available,main,glasses,all_available,primary,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,latitude_part_r2,0.02741024149147912,0.004305156460635367,0.04813011260065592,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,All available,Primary dataset | Near eye | All available,Latitude part R²
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,marginal_r2,0.22632207663050613,0.1416267933643444,0.3333456391777486,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,Paired/common,Primary dataset | Near eye | Paired/common,Marginal R²
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,conditional_r2,0.5157975270533834,0.4351051999962242,0.5934588984812871,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,Paired/common,Primary dataset | Near eye | Paired/common,Conditional R²
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,participant_associated_share,0.2894754504228773,0.19089182223310713,0.3602366061982467,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,Paired/common,Primary dataset | Near eye | Paired/common,Participant-associated share
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,site_part_r2,0.07364087049750256,0.03862599035982775,0.17278596370605592,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,Paired/common,Primary dataset | Near eye | Paired/common,Site part R²
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,PILOT - NOT FOR INFERENCE OR MANUSCRIPT REPORTING,f5c104779cbb98e2898218f9e61576eb414ecf46b674f01cfaff88ac733f864e,lognormal,photoperiod_part_r2,0.10980308364184418,0.03607649677279135,0.18031529912974717,50,joint_parametric_percentile,PASS,Primary dataset,Near eye,Paired/common,Primary dataset | Near eye | Paired/common,Photoperiod part R²
