dataset_id,predictor_order,predictor_id,reader_name,test_type,multiplicity_family_id,named_slots,estimable_slots,named_na_slots,fdr_supported_slots,claim_eligible_slots,family_construct_valid
gap_timing_unaware,1,work_free_day,Work/free day,association,gap_timing_unaware__H06-D-A01,15,14,1,10,10,TRUE
gap_timing_unaware,3,activity_status,Daily activity status,association,gap_timing_unaware__H06-D-A03,15,14,1,6,6,TRUE
gap_timing_unaware,11,previous_sleep_duration_centered_h,Previous-night sleep duration,association,gap_timing_unaware__H06-D-A11,15,14,1,13,13,TRUE
gap_timing_unaware,1,work_free_day,Work/free day,site_heterogeneity,gap_timing_unaware__H06-D-H01,15,14,1,8,7,TRUE
gap_timing_unaware,3,activity_status,Daily activity status,site_heterogeneity,gap_timing_unaware__H06-D-H03,15,14,1,3,3,TRUE
gap_timing_unaware,11,previous_sleep_duration_centered_h,Previous-night sleep duration,site_heterogeneity,gap_timing_unaware__H06-D-H11,15,14,1,1,1,TRUE
primary,1,work_free_day,Work/free day,association,primary__H06-D-A01,15,14,1,10,10,TRUE
primary,3,activity_status,Daily activity status,association,primary__H06-D-A03,15,14,1,6,6,TRUE
primary,11,previous_sleep_duration_centered_h,Previous-night sleep duration,association,primary__H06-D-A11,15,14,1,12,12,TRUE
primary,1,work_free_day,Work/free day,site_heterogeneity,primary__H06-D-H01,15,14,1,8,7,TRUE
primary,3,activity_status,Daily activity status,site_heterogeneity,primary__H06-D-H03,15,14,1,2,2,TRUE
primary,11,previous_sleep_duration_centered_h,Previous-night sleep duration,site_heterogeneity,primary__H06-D-H11,15,14,1,1,1,TRUE
