"endpoint","row","column","expected","observed","pass"
"tbl-selected-samples",1,1,"Any valid period","Any valid period",TRUE
"tbl-selected-samples",1,2,"1,376","1,376",TRUE
"tbl-selected-samples",1,3,"140","140",TRUE
"tbl-selected-samples",1,4,"761","761",TRUE
"tbl-selected-samples",1,5,"0.781","0.781",TRUE
"tbl-selected-samples",1,6,"acceptable with cautions","acceptable with cautions",TRUE
"tbl-selected-samples",2,1,"At least 80% coverage","At least 80% coverage",TRUE
"tbl-selected-samples",2,2,"1,199","1,199",TRUE
"tbl-selected-samples",2,3,"140","140",TRUE
"tbl-selected-samples",2,4,"713","713",TRUE
"tbl-selected-samples",2,5,"0.809","0.809",TRUE
"tbl-selected-samples",2,6,"acceptable with cautions","acceptable with cautions",TRUE
"tbl-participant-state-summary",1,1,"Sleep","Sleep",TRUE
"tbl-participant-state-summary",1,2,"139","139",TRUE
"tbl-participant-state-summary",1,3,"95.2%","95.2%",TRUE
"tbl-participant-state-summary",1,4,"80.7% to 99.6%","80.7% to 99.6%",TRUE
"tbl-participant-state-summary",1,5,"37.6% to 100.0%","37.6% to 100.0%",TRUE
"tbl-participant-state-summary",1,6,"6","6",TRUE
"tbl-participant-state-summary",2,1,"Daytime","Daytime",TRUE
"tbl-participant-state-summary",2,2,"139","139",TRUE
"tbl-participant-state-summary",2,3,"21.9%","21.9%",TRUE
"tbl-participant-state-summary",2,4,"12.2% to 35.5%","12.2% to 35.5%",TRUE
"tbl-participant-state-summary",2,5,"0.0% to 74.7%","0.0% to 74.7%",TRUE
"tbl-participant-state-summary",2,6,"6","6",TRUE
"tbl-participant-state-summary",3,1,"Pre-sleep","Pre-sleep",TRUE
"tbl-participant-state-summary",3,2,"139","139",TRUE
"tbl-participant-state-summary",3,3,"63.8%","63.8%",TRUE
"tbl-participant-state-summary",3,4,"43.7% to 84.0%","43.7% to 84.0%",TRUE
"tbl-participant-state-summary",3,5,"10.5% to 100.0%","10.5% to 100.0%",TRUE
"tbl-participant-state-summary",3,6,"5","5",TRUE
"tbl-cross-state-effects",1,1,"Sleep","Sleep",TRUE
"tbl-cross-state-effects",1,2,"-0.3 pp (-1.0 pp to +0.4 pp)","-0.3 pp (-1.0 pp to +0.4 pp)",TRUE
"tbl-cross-state-effects",1,3,"0.453","0.453",TRUE
