"v0_order","metric_id","manuscript_name","analysis_unit","paired_participants","common_participant_days","sites"
1,"interdaily_stability","Interdaily stability","participant",112,,8
2,"intradaily_variability","Intradaily variability","participant",112,,8
3,"daily_geometric_mean_medi","Mean melEDI","participant-day",112,640,8
4,"m10_mean_medi","Brightest 10 h mean","participant-day",112,640,8
5,"m10_midpoint","Midpoint of the brightest 10 hours","participant-day",112,640,8
6,"l10_mean_medi","Darkest 10 h mean","participant-day",112,640,8
7,"l10_midpoint","Midpoint of the darkest 10 hours","participant-day",112,640,8
8,"duration_above_1000","Time above 1,000 lx melEDI","participant-day",112,640,8
9,"longest_bout_above_250","Longest continuous period above 250 lx melEDI","participant-day",112,640,8
10,"mean_timing_above_250","Mean timing of exposure above 250 lx melEDI","participant-day",112,603,8
11,"first_timing_above_250","First light timing above 250 lx melEDI","participant-day",112,603,8
12,"last_timing_above_250","Last light timing above 250 lx melEDI","participant-day",112,603,8
13,"dose_observed_medi","melEDI dose","participant-day",112,640,8
14,"mder_ratio_of_integrals","Melanopic daylight efficacy ratio","participant-day",111,476,8
15,"duration_below_10_pre_sleep","Time below 10 lx melEDI before sleep","participant-day",112,615,8
16,"duration_below_1_sleep_environment","Time below 1 lx melEDI during sleep","participant-day",112,621,8
17,"duration_above_250_wake","Time above 250 lx melEDI during wake","participant-day",111,592,8
