"placement","v0_order","metric_id","manuscript_name","analysis_unit","factor_id","spearman_rho","v0_pearson_raw_p","consistent_spearman_raw_p","participants","sites","represented_days_total","days_per_participant_min","days_per_participant_median","days_per_participant_max","factor_label","v0_scalar_bh_p","consistent_spearman_vector_bh_p","v0_display_flag","consistent_spearman_vector_bh_flag"
"near-eye",1,"interdaily_stability","Interdaily stability","participant","leba_f2",0.0379874911858671,0.937328589566893,0.654714317220357,141,9,811,3,6,8,"Spending time outdoors",1,0.998808604073692,FALSE,FALSE
"near-eye",1,"interdaily_stability","Interdaily stability","participant","leba_f3",-0.13065920347734,0.0462325314715701,0.122513405508762,141,9,811,3,6,8,"Using phones and smartwatches in bed before sleep",1,0.448231683097292,FALSE,FALSE
"near-eye",1,"interdaily_stability","Interdaily stability","participant","leba_f4",-0.0899164655352899,0.189361519847975,0.288988059906667,141,9,811,3,6,8,"Controlling and using ambient light before bedtime",1,0.729334353200648,FALSE,FALSE
"near-eye",1,"interdaily_stability","Interdaily stability","participant","leba_f5",0.239873663359742,0.00580578076018372,0.00417091461847964,141,9,811,3,6,8,"Using light in the morning and during daytime",0.394793091692493,0.0945407313522051,FALSE,FALSE
"near-eye",2,"intradaily_variability","Intradaily variability","participant","leba_f2",-0.192801762578779,0.0118855319071577,0.021989484973726,141,9,811,3,6,8,"Spending time outdoors",0.808216169686723,0.200355001896608,FALSE,FALSE
"near-eye",2,"intradaily_variability","Intradaily variability","participant","leba_f3",-0.00103039115803819,0.870921441532215,0.990324844400136,141,9,811,3,6,8,"Using phones and smartwatches in bed before sleep",1,0.999081532286731,FALSE,FALSE
"near-eye",2,"intradaily_variability","Intradaily variability","participant","leba_f4",-0.0181909563525862,0.662875081355396,0.830468644859781,141,9,811,3,6,8,"Controlling and using ambient light before bedtime",1,0.998808604073692,FALSE,FALSE
"near-eye",2,"intradaily_variability","Intradaily variability","participant","leba_f5",0.0705447594140914,0.333555681847194,0.405831145858749,141,9,811,3,6,8,"Using light in the morning and during daytime",1,0.858965974665107,FALSE,FALSE
"near-eye",3,"daily_geometric_mean_medi","Mean melEDI","participant-day","leba_f2",0.138137307565157,0.616180448042821,0.102357664530755,141,9,811,3,6,8,"Spending time outdoors",1,0.448231683097292,FALSE,FALSE
"near-eye",3,"daily_geometric_mean_medi","Mean melEDI","participant-day","leba_f3",-0.133435654965945,0.083973319152467,0.11469918188018,141,9,811,3,6,8,"Using phones and smartwatches in bed before sleep",1,0.448231683097292,FALSE,FALSE
"near-eye",3,"daily_geometric_mean_medi","Mean melEDI","participant-day","leba_f4",-0.0275508504626264,0.950934356471712,0.74571269975877,141,9,811,3,6,8,"Controlling and using ambient light before bedtime",1,0.998808604073692,FALSE,FALSE
"near-eye",3,"daily_geometric_mean_medi","Mean melEDI","participant-day","leba_f5",-0.051447837636038,0.085305165128453,0.544599367329872,141,9,811,3,6,8,"Using light in the morning and during daytime",1,0.94043339779918,FALSE,FALSE
