"finding_id","severity","status","finding","evidence","required_resolution"
"H05-S1-001","major","open_author_gate","The registered site-adjusted Metric ~ LEBA + (1|Site) analysis is absent; V0 reports pooled correlations.","AsPredicted p. 2; RQ2.qmd:1578–1720; RQ2_chest.qmd:1579–1721; DEV-028","Choose H05-G1 before any proposed model is fitted."
"H05-S1-002","major","confirmed","V0 displays Spearman rho but obtains each p-value from the default Pearson cor.test().","RQ2.qmd H05 summarize block; frozen-input R reconstruction","Use one correlation method for coefficient, test, and interval."
"H05-S1-003","major","confirmed","Each association p-value is BH-adjusted as a scalar with n = 68; no 68-value vector is assembled.","RQ2.qmd H05 grouped summarize block; IMP-001","Assemble the complete declared family first, then call p.adjust once."
"H05-S1-004","major","confirmed","The preliminary LEBA-by-site screen cannot justify omitting site from the outcome model.","Four lm(factor ~ site) screens; DEV-028","Treat the screen as a diagnostic only and retain the approved site structure."
"H05-S1-005","moderate","confirmed","V0 gives every participant equal weight after arithmetic averaging, requires no minimum days, and does not persist metric-specific support.","Exact V0 preparation and reconstructed support tables","Approve the Stage 2 analysis unit and persist exact model frames and denominators."
"H05-S1-006","major","confirmed","Clock metrics are arithmetically averaged in V0 without an unwrap/support rule.","V0 mean(metric, na.rm = TRUE) for all daily metrics","Apply the approved clock rules; do not default all clock variables to circular summaries."
"H05-S1-007","major","confirmed","The RQ2 interpretation misnames the highlighted 1,000-lx outcome as duration above 250 lx.","RQ2.qmd:1720 versus Fig6 and index.qmd:337–339","Use Time above 1,000 lx melEDI; keep the distinct wake-state 250-lx metric separate."
"H05-S1-008","moderate","confirmed","V0 describes squared Spearman rho as variance explained.","RQ2.qmd H05 interpretation","Report rho or model-scale effect estimates and intervals without variance-explanation language."
"H05-S1-009","major","confirmed","Chest prose duplicates the near-eye interpretation and is inconsistent with the chest V0 matrix.","RQ2_chest.qmd H05 interpretation and chest Fig6","Generate placement-specific prose only from verified result rows."
"H05-S1-010","major","open_author_gate","The registration does not enumerate the four-factor × 17-metric family or its primary/secondary relation.","AsPredicted pp. 1–2; DEV-029","Approve the exact factor, metric, scenario, and multiplicity manifest."
"H05-S1-011","moderate","shared_change_requested","The migration map says the four site-screen p-values were scalar-adjusted, but source-level R evaluation shows one four-value adjustment after unnesting.","RQ2.qmd H05 site block and exact R reproduction in this document","Correct the shared migration description; do not alter the separate association-level scalar-BH finding."
