"factor_id","factor_label","item_id","item_label","reverse_coded","ordered_levels","missing_n","observed_min","observed_max"
"leba_f2","Spending time outdoors","leba_f2_04","I spend 30 minutes or less per day (in total) outside.",TRUE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f2","Spending time outdoors","leba_f2_05","I spend between 30 minutes and 1 hour per day (in total) outside.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f2","Spending time outdoors","leba_f2_06","I spend between 1 and 3 hours per day (in total) outside.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f2","Spending time outdoors","leba_f2_07","I spend more than 3 hours per day (in total) outside.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f2","Spending time outdoors","leba_f2_08","I spend as much time outside as possible.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f2","Spending time outdoors","leba_f2_09","I go for a walk or exercise outside within 2 hours after waking up.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f3","Using phones and smartwatches in bed before sleep","leba_f3_10","I use my mobile phone within 1 hour before attempting to fall asleep.Note: this does not include the time spent filling in the questionnaires.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f3","Using phones and smartwatches in bed before sleep","leba_f3_11","I look at my mobile phone screen immediately after waking up.Note: this does not include the time spent filling in the questionnaires.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f3","Using phones and smartwatches in bed before sleep","leba_f3_12","I check my phone when I wake up at night.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f3","Using phones and smartwatches in bed before sleep","leba_f3_13","I look at my smartwatch within 1 hour before attempting to fall asleep.Note: please answer with regard to your personal smartwatch (if you own one), not the one actimeter given to you for the study",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f3","Using phones and smartwatches in bed before sleep","leba_f3_14","I look at my smartwatch when I wake up at night.Note: please answer with regard to your personal smartwatch (if you own one), not the one actimeter given to you for the study",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f4","Controlling and using ambient light before bedtime","leba_f4_15","I dim my mobile phone screen within 1 hour before attempting to fall asleep.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f4","Controlling and using ambient light before bedtime","leba_f4_16","I use a blue-ﬁlter app on my computer screen within 1 hour before attempting to fall asleep.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f4","Controlling and using ambient light before bedtime","leba_f4_17","I use as little light as possible when I get up during the night.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f4","Controlling and using ambient light before bedtime","leba_f4_18","I dim my computer screen within 1 hour before attempting to fall asleep.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f5","Using light in the morning and during daytime","leba_f5_19","I use tunable lights to create a healthy light environment.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f5","Using light in the morning and during daytime","leba_f5_20","I use LEDs to create a healthy light environment.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f5","Using light in the morning and during daytime","leba_f5_21","I use a desk lamp when I do focused work.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f5","Using light in the morning and during daytime","leba_f5_22","I use an alarm with a dawn simulation light.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
"leba_f5","Using light in the morning and during daytime","leba_f5_23","I turn on the lights immediately after waking up.",FALSE,"Never < Rarely < Sometimes < Often < Always",0,1,5
