"site","display_name","display_order","color_hex","factor_id","factor_label","participants","complete_scores","missing_scores","observed_min","observed_max"
"RISE","Borås (SE)",1,"#88CCEE","leba_f2","Spending time outdoors",17,17,0,10,26
"RISE","Borås (SE)",1,"#88CCEE","leba_f3","Using phones and smartwatches in bed before sleep",17,17,0,7,16
"RISE","Borås (SE)",1,"#88CCEE","leba_f4","Controlling and using ambient light before bedtime",17,17,0,7,20
"RISE","Borås (SE)",1,"#88CCEE","leba_f5","Using light in the morning and during daytime",17,17,0,10,17
"THUAS","Delft (NL)",2,"#117733","leba_f2","Spending time outdoors",15,15,0,11,24
"THUAS","Delft (NL)",2,"#117733","leba_f3","Using phones and smartwatches in bed before sleep",15,15,0,7,20
"THUAS","Delft (NL)",2,"#117733","leba_f4","Controlling and using ambient light before bedtime",15,15,0,5,20
"THUAS","Delft (NL)",2,"#117733","leba_f5","Using light in the morning and during daytime",15,15,0,6,21
"BAUA","Dortmund (DE)",3,"#DDCC77","leba_f2","Spending time outdoors",22,22,0,9,22
"BAUA","Dortmund (DE)",3,"#DDCC77","leba_f3","Using phones and smartwatches in bed before sleep",22,22,0,6,23
"BAUA","Dortmund (DE)",3,"#DDCC77","leba_f4","Controlling and using ambient light before bedtime",22,22,0,6,20
"BAUA","Dortmund (DE)",3,"#DDCC77","leba_f5","Using light in the morning and during daytime",22,22,0,5,19
"MPI","Tübingen (DE)",4,"#DDCC77","leba_f2","Spending time outdoors",26,26,0,9,23
"MPI","Tübingen (DE)",4,"#DDCC77","leba_f3","Using phones and smartwatches in bed before sleep",26,26,0,11,22
"MPI","Tübingen (DE)",4,"#DDCC77","leba_f4","Controlling and using ambient light before bedtime",26,26,0,4,20
"MPI","Tübingen (DE)",4,"#DDCC77","leba_f5","Using light in the morning and during daytime",26,26,0,5,22
"TUM","Munich (DE)",5,"#DDCC77","leba_f2","Spending time outdoors",10,10,0,9,21
"TUM","Munich (DE)",5,"#DDCC77","leba_f3","Using phones and smartwatches in bed before sleep",10,10,0,10,21
"TUM","Munich (DE)",5,"#DDCC77","leba_f4","Controlling and using ambient light before bedtime",10,10,0,4,16
"TUM","Munich (DE)",5,"#DDCC77","leba_f5","Using light in the morning and during daytime",10,10,0,9,14
"FUSPCEU","Madrid (ES)",6,"#CC6677","leba_f2","Spending time outdoors",23,23,0,9,25
"FUSPCEU","Madrid (ES)",6,"#CC6677","leba_f3","Using phones and smartwatches in bed before sleep",23,23,0,6,23
"FUSPCEU","Madrid (ES)",6,"#CC6677","leba_f4","Controlling and using ambient light before bedtime",23,23,0,4,20
"FUSPCEU","Madrid (ES)",6,"#CC6677","leba_f5","Using light in the morning and during daytime",23,23,0,8,19
"IZTECH","Izmir (TR)",7,"#332288","leba_f2","Spending time outdoors",17,17,0,11,20
"IZTECH","Izmir (TR)",7,"#332288","leba_f3","Using phones and smartwatches in bed before sleep",17,17,0,9,17
"IZTECH","Izmir (TR)",7,"#332288","leba_f4","Controlling and using ambient light before bedtime",17,17,0,5,20
"IZTECH","Izmir (TR)",7,"#332288","leba_f5","Using light in the morning and during daytime",17,17,0,5,20
"UCR","San José (CR)",8,"#44AA99","leba_f2","Spending time outdoors",39,39,0,6,21
"UCR","San José (CR)",8,"#44AA99","leba_f3","Using phones and smartwatches in bed before sleep",39,39,0,6,23
"UCR","San José (CR)",8,"#44AA99","leba_f4","Controlling and using ambient light before bedtime",39,39,0,4,20
"UCR","San José (CR)",8,"#44AA99","leba_f5","Using light in the morning and during daytime",39,39,0,5,21
"KNUST","Kumasi (GH)",9,"#AA4499","leba_f2","Spending time outdoors",15,15,0,12,24
"KNUST","Kumasi (GH)",9,"#AA4499","leba_f3","Using phones and smartwatches in bed before sleep",15,15,0,11,23
"KNUST","Kumasi (GH)",9,"#AA4499","leba_f4","Controlling and using ambient light before bedtime",15,15,0,8,16
"KNUST","Kumasi (GH)",9,"#AA4499","leba_f5","Using light in the morning and during daytime",15,15,0,7,16
