"placement","v0_order","metric_id","manuscript_name","analysis_unit","participant_summaries","finite_participant_summaries","represented_days_total","days_per_participant_min","days_per_participant_median","days_per_participant_max","source_rows","nonmissing_source_rows","sites"
"near-eye",1,"interdaily_stability","Interdaily stability","participant",141,141,811,3,6,8,141,141,9
"near-eye",2,"intradaily_variability","Intradaily variability","participant",141,141,811,3,6,8,141,141,9
"near-eye",3,"daily_geometric_mean_medi","Mean melEDI","participant-day",141,141,811,3,6,8,811,811,9
"near-eye",4,"m10_mean_medi","Brightest 10 h mean","participant-day",141,141,811,3,6,8,811,811,9
"near-eye",5,"m10_midpoint","Midpoint of the brightest 10 hours","participant-day",141,141,811,3,6,8,811,811,9
"near-eye",6,"l10_mean_medi","Darkest 10 h mean","participant-day",141,141,811,3,6,8,811,811,9
"near-eye",7,"l10_midpoint","Midpoint of the darkest 10 hours","participant-day",141,141,811,3,6,8,811,811,9
"near-eye",8,"duration_above_1000","Time above 1,000 lx melEDI","participant-day",141,141,811,3,6,8,811,811,9
"near-eye",9,"longest_bout_above_250","Longest continuous period above 250 lx melEDI","participant-day",141,141,811,3,6,8,811,811,9
"near-eye",10,"mean_timing_above_250","Mean timing of exposure above 250 lx melEDI","participant-day",141,141,778,2,6,7,811,778,9
"near-eye",11,"first_timing_above_250","First light timing above 250 lx melEDI","participant-day",141,141,778,2,6,7,811,778,9
"near-eye",12,"last_timing_above_250","Last light timing above 250 lx melEDI","participant-day",141,141,778,2,6,7,811,778,9
"near-eye",13,"dose_observed_medi","melEDI dose","participant-day",141,141,811,3,6,8,811,811,9
"near-eye",14,"mder_ratio_of_integrals","Melanopic daylight efficacy ratio","participant-day",141,140,725,0,5,8,811,725,9
"near-eye",15,"duration_below_10_pre_sleep","Time below 10 lx melEDI before sleep","participant-day",141,141,780,1,6,8,811,780,9
"near-eye",16,"duration_below_1_sleep_environment","Time below 1 lx melEDI during sleep","participant-day",141,141,790,3,6,7,811,790,9
"near-eye",17,"duration_above_250_wake","Time above 250 lx melEDI during wake","participant-day",141,140,755,0,6,7,811,755,9
"chest",1,"interdaily_stability","Interdaily stability","participant",154,154,897,2,6,8,154,154,8
"chest",2,"intradaily_variability","Intradaily variability","participant",154,154,897,2,6,8,154,154,8
"chest",3,"daily_geometric_mean_medi","Mean melEDI","participant-day",154,154,897,2,6,8,897,897,8
"chest",4,"m10_mean_medi","Brightest 10 h mean","participant-day",154,154,897,2,6,8,897,897,8
"chest",5,"m10_midpoint","Midpoint of the brightest 10 hours","participant-day",154,154,897,2,6,8,897,897,8
"chest",6,"l10_mean_medi","Darkest 10 h mean","participant-day",154,154,897,2,6,8,897,897,8
"chest",7,"l10_midpoint","Midpoint of the darkest 10 hours","participant-day",154,154,897,2,6,8,897,897,8
"chest",8,"duration_above_1000","Time above 1,000 lx melEDI","participant-day",154,154,897,2,6,8,897,897,8
"chest",9,"longest_bout_above_250","Longest continuous period above 250 lx melEDI","participant-day",154,154,897,2,6,8,897,897,8
"chest",10,"mean_timing_above_250","Mean timing of exposure above 250 lx melEDI","participant-day",154,154,867,2,6,7,897,867,8
"chest",11,"first_timing_above_250","First light timing above 250 lx melEDI","participant-day",154,154,867,2,6,7,897,867,8
"chest",12,"last_timing_above_250","Last light timing above 250 lx melEDI","participant-day",154,154,867,2,6,7,897,867,8
"chest",13,"dose_observed_medi","melEDI dose","participant-day",154,154,897,2,6,8,897,897,8
"chest",14,"mder_ratio_of_integrals","Melanopic daylight efficacy ratio","participant-day",154,154,729,1,5,7,897,729,8
"chest",15,"duration_below_10_pre_sleep","Time below 10 lx melEDI before sleep","participant-day",154,154,867,1,6,8,897,867,8
"chest",16,"duration_below_1_sleep_environment","Time below 1 lx melEDI during sleep","participant-day",154,154,878,2,6,7,897,878,8
"chest",17,"duration_above_250_wake","Time above 250 lx melEDI during wake","participant-day",154,153,839,0,6,7,897,839,8
