"placement","v0_order","metric_id","manuscript_name","factor_id","factor_label","site","display_name","display_order","color_hex","participants","represented_days_total","days_per_participant_min","days_per_participant_median","days_per_participant_max"
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f2","Spending time outdoors","RISE","Borås (SE)",1,"#88CCEE",13,78,5,6,7
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f2","Spending time outdoors","THUAS","Delft (NL)",2,"#117733",13,78,5,6,8
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f2","Spending time outdoors","BAUA","Dortmund (DE)",3,"#DDCC77",18,106,5,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f2","Spending time outdoors","MPI","Tübingen (DE)",4,"#DDCC77",26,150,4,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f2","Spending time outdoors","TUM","Munich (DE)",5,"#DDCC77",10,60,6,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f2","Spending time outdoors","FUSPCEU","Madrid (ES)",6,"#CC6677",23,127,3,6,7
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f2","Spending time outdoors","IZTECH","Izmir (TR)",7,"#332288",17,102,5,6,8
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f2","Spending time outdoors","UCR","San José (CR)",8,"#44AA99",6,30,4,5,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f2","Spending time outdoors","KNUST","Kumasi (GH)",9,"#AA4499",15,80,3,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f3","Using phones and smartwatches in bed before sleep","RISE","Borås (SE)",1,"#88CCEE",13,78,5,6,7
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f3","Using phones and smartwatches in bed before sleep","THUAS","Delft (NL)",2,"#117733",13,78,5,6,8
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f3","Using phones and smartwatches in bed before sleep","BAUA","Dortmund (DE)",3,"#DDCC77",18,106,5,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f3","Using phones and smartwatches in bed before sleep","MPI","Tübingen (DE)",4,"#DDCC77",26,150,4,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f3","Using phones and smartwatches in bed before sleep","TUM","Munich (DE)",5,"#DDCC77",10,60,6,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f3","Using phones and smartwatches in bed before sleep","FUSPCEU","Madrid (ES)",6,"#CC6677",23,127,3,6,7
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f3","Using phones and smartwatches in bed before sleep","IZTECH","Izmir (TR)",7,"#332288",17,102,5,6,8
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f3","Using phones and smartwatches in bed before sleep","UCR","San José (CR)",8,"#44AA99",6,30,4,5,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f3","Using phones and smartwatches in bed before sleep","KNUST","Kumasi (GH)",9,"#AA4499",15,80,3,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f4","Controlling and using ambient light before bedtime","RISE","Borås (SE)",1,"#88CCEE",13,78,5,6,7
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f4","Controlling and using ambient light before bedtime","THUAS","Delft (NL)",2,"#117733",13,78,5,6,8
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f4","Controlling and using ambient light before bedtime","BAUA","Dortmund (DE)",3,"#DDCC77",18,106,5,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f4","Controlling and using ambient light before bedtime","MPI","Tübingen (DE)",4,"#DDCC77",26,150,4,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f4","Controlling and using ambient light before bedtime","TUM","Munich (DE)",5,"#DDCC77",10,60,6,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f4","Controlling and using ambient light before bedtime","FUSPCEU","Madrid (ES)",6,"#CC6677",23,127,3,6,7
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f4","Controlling and using ambient light before bedtime","IZTECH","Izmir (TR)",7,"#332288",17,102,5,6,8
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f4","Controlling and using ambient light before bedtime","UCR","San José (CR)",8,"#44AA99",6,30,4,5,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f4","Controlling and using ambient light before bedtime","KNUST","Kumasi (GH)",9,"#AA4499",15,80,3,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f5","Using light in the morning and during daytime","RISE","Borås (SE)",1,"#88CCEE",13,78,5,6,7
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f5","Using light in the morning and during daytime","THUAS","Delft (NL)",2,"#117733",13,78,5,6,8
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f5","Using light in the morning and during daytime","BAUA","Dortmund (DE)",3,"#DDCC77",18,106,5,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f5","Using light in the morning and during daytime","MPI","Tübingen (DE)",4,"#DDCC77",26,150,4,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f5","Using light in the morning and during daytime","TUM","Munich (DE)",5,"#DDCC77",10,60,6,6,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f5","Using light in the morning and during daytime","FUSPCEU","Madrid (ES)",6,"#CC6677",23,127,3,6,7
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f5","Using light in the morning and during daytime","IZTECH","Izmir (TR)",7,"#332288",17,102,5,6,8
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f5","Using light in the morning and during daytime","UCR","San José (CR)",8,"#44AA99",6,30,4,5,6
"near-eye",1,"interdaily_stability","Interdaily stability","leba_f5","Using light in the morning and during daytime","KNUST","Kumasi (GH)",9,"#AA4499",15,80,3,6,6
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f2","Spending time outdoors","RISE","Borås (SE)",1,"#88CCEE",13,78,5,6,7
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f2","Spending time outdoors","THUAS","Delft (NL)",2,"#117733",13,78,5,6,8
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f2","Spending time outdoors","BAUA","Dortmund (DE)",3,"#DDCC77",18,106,5,6,6
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f2","Spending time outdoors","MPI","Tübingen (DE)",4,"#DDCC77",26,150,4,6,6
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f2","Spending time outdoors","TUM","Munich (DE)",5,"#DDCC77",10,60,6,6,6
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f2","Spending time outdoors","FUSPCEU","Madrid (ES)",6,"#CC6677",23,127,3,6,7
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f2","Spending time outdoors","IZTECH","Izmir (TR)",7,"#332288",17,102,5,6,8
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f2","Spending time outdoors","UCR","San José (CR)",8,"#44AA99",6,30,4,5,6
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f2","Spending time outdoors","KNUST","Kumasi (GH)",9,"#AA4499",15,80,3,6,6
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f3","Using phones and smartwatches in bed before sleep","RISE","Borås (SE)",1,"#88CCEE",13,78,5,6,7
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f3","Using phones and smartwatches in bed before sleep","THUAS","Delft (NL)",2,"#117733",13,78,5,6,8
"near-eye",2,"intradaily_variability","Intradaily variability","leba_f3","Using phones and smartwatches in bed before sleep","BAUA","Dortmund (DE)",3,"#DDCC77",18,106,5,6,6
